CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
">>>>GERD, financed by other national sources",Latest available,,,,,,,,,G_ONF_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by other national sources, million NC",,metadata/G_ONF_NC.html,,,,,,G_ONF_NC,,0,,,,,,125.9,,,533.9,48.99,0.733,,,,,0.002,136.559,,,,,2.052,,,,,0,0.463,1.269,0,43.001,,4449,,,,,71358.21,,6.32,,,,0.739,,0.451,,0.6,674.446,,,2821,,,,3.269,,0.014,,,1.344,0.042,,111,944.445,,45.564,,263.882,0.107,,45.38,,,,,,,,,,3315.6,4067.2,,,,0,38.2,549.9,805.016,,1073123.952,,6.899,3.528,,0.043,0,,3.4,,,,,,0.195,16.762,,,,0,,,0.192,,,,7814.093,,,0,0.016,,0.013,3.02,,,,,383,,354,,,1.726,,787.5,0,1.658,,,0.963,,2.144,,0.909,438.6,121.618,,685430.548,,62.22,12441.9,,,,,,,,,3.229,0.016,,,166.942,33.148,2.96,,,722.361,618.475,0.004,,,,5059,320,,,0.317,0.019,,,,,,0,3835.232,,,,6.048,0.042,,1922.7,,35915,0.078,,,,,,,,,,4625.709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by other national sources, million USD PPPs",,metadata/G_ONF_PPP.html,,,,,,G_ONF_PPP,,0,,,,,,78.101,,,360.969,61.473,0.002,,,,,0,169.546,,,,,0.003,,,,,0,0.003,0.003,0,0.021,,3598.475,,,,,189.998,,0.011,,,,0.004,,0.004,,0.003,52.738,,,387.707,,,,0.004,,0,,,2.529,0,,122.828,1174.317,,0.061,,344.233,0,,73.727,,,,,,,,,,25.397,29.005,,,,0,46.853,143.348,1096.088,,10467.901,,0.011,0.028,,0,0,,6.87,,,,,,0.002,18.74,,,,0,,,0,,,,930.171,,,0,0.044,,,0.013,,,,,475.544,,244.874,,,0.002,,87.294,0,0.005,,,0.002,,0.001,,0.001,248.872,210.717,,771.249,,36.241,551.206,,,,,,,,,0.017,0,,,197.099,68.389,5.065,,,140.048,933.86,0,,,,588.946,236.324,,,0.027,0,,,,,,0,3342.613,,,,0.008,0.012,,2795.122,,35915,0.005,,,,,,,,,,304.965,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by other national sources, million constant USD PPPs",,metadata/G_ONF_PPPK.html,,,,,,G_ONF_PPPK,,,,,,,,79.652,,,381.073,52.493,,,,,,,155.276,,,,,,,,,,,,,,,,3368.072,,,,,170.158,,,,,,,,,,,46.386,,,352.249,,,,,,,,,2.268,,,110.301,1070.229,,,,308.174,,,66.115,,,,,,,,,,22.968,25.687,,,,,42.253,128.238,993.093,,9589.71,,,,,,,,6.132,,,,,,,16.619,,,,,,,,,,,858.778,,,,0.042,,,,,,,,435.367,,221.917,,,,,79.503,,,,,,,,,,227.262,191.05,,766.075,,33.115,509.686,,,,,,,,,,0,,,183.328,64.176,4.465,,,132.572,850.815,0,,,,543.479,218.655,,,0.027,,,,,,,0,3127.314,,,,0.008,0.012,,2542.627,,33049.227,0.005,,,,,,,,,,280.637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by other national sources, % of total GERD",,metadata/G_ONF_XG.html,,,,,,G_ONF_XG,,,,,,,,3.069,37.212,,1.887,0.454,,,,,,,1.431,,,,,,,,0,,,,5.92,,10.623,,14.233,,,,,11.748,,0,,,,11.889,,,,,0.761,,,4.704,,,,6.241,,20.889,,,0.444,2.165,,1.828,1.971,0.009,,,0.359,,,2.882,,,,,,,,,,0.708,8.385,,0.65,,,1.662,1.253,3.611,,6.135,,,,,,1.454,,2.232,,51.893,,,,,2.767,,,,0.159,,,,,,,9.571,,1.239,17.991,0.127,,,,,,,,2.81,,11.505,,,0.641,,1.636,21.675,1.304,,,0.2,,0,,0.55,2.428,5.448,,1.039,90.645,1.789,1.36,,,,,,,,,0.054,0,,,1.958,3.575,0.347,,,2.815,5.185,0,,,,4.059,1.944,,15.078,0.001,,,,,,,0,21.28,,,,0.003,0,,6.037,,7.142,0.002,,,,0.84,,,,,,0.906,,,,,,,,,,,,,,,,,,,,,,,,,2.463,,2.529,2.391,,,,,,,,,,,,,,,,,,,,5.318,,,,,,,,,,,,
,,"GERD, financed by other national sources, % of GDP",,metadata/G_ONF_XGDP.html,,,,,,G_ONF_XGDP,,0,,,,,,0.023,0.009,,0.042,0.014,0.001,,,,,0,0.035,,,,,0.002,,,,,0,0.001,0,0,0,,0.224,,,,,0.045,0.018,0,,,,0,,0,,0.004,0.015,,,0.139,,,,0.006,,0,,,0.007,0,,0.053,0.044,0.018,0.172,,0.009,0,,0.026,,0.025,,,,,,,,0.01,0.184,,,,0,0.02,0.052,0.05,,0.202,,0,0,,0.001,0,0.02,0.014,,0,,,,0.001,0.036,,0.016,,0,,0.058,0.003,,,,0.043,,,0,0,,,0.001,,0.002,,,0.056,,0.152,,,0,,0.026,0,0,,,0.004,,0,,0,0.024,0.07,,0.044,0.038,0.009,0.015,,,,,,,,,0,0,,,0.043,0.042,0.008,,,0.02,0.06,0,,,,0.134,0.051,,0.001,0,0,,0.03,,,,0,0.188,,,,0,0,,0.103,,0.199,0,,,,0.012,,,,,,0.028,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by other national sources, compound annual growth rate at constant prices, %",,metadata/G_ONF_GRO.html,,,,,,G_ONF_GRO,,,,,,,,0.024,0.101,,0.042,0.013,,,,,,,0.075,,,,,,,,0,,,,0.012,,0.005,,0.207,,,,,0.042,,0,,,,0.056,,,,,0.01,,,0.114,,,,0.008,,0.014,,,0.007,0.005,,0.052,0.045,0,,,0.011,,,0.028,,,,,,,,,,0.01,0.049,,0,,,0.016,0.147,0.047,,0.233,,,,,,0.002,,,,0.007,,,,,0.018,,,,0.002,,,,,,,0.012,,,0.041,,,,,,,,,0.084,,0.153,,,0.001,,0.026,0.03,0.004,,,0,,0,,0.001,0.02,0.078,,0.049,0.367,0.005,0.013,,,,,,,,,0,,,,0.044,0.024,0.01,,,0.024,0.059,,,,,0.134,0.051,,0.018,0.004,,,,,,,0.131,0.224,,,,,0.006,,0.093,,0.176,0.003,,,,0.002,,,,,,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by other national sources, million NC",,,,,,,,,,,,,,,,,,,,48.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by other national sources, million USD PPPs",,,,,,,,,,,,,,,,,,,,61.473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
