CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>HERD (Higher education expenditure on R&D),Latest available,,,metadata/HE.html,,,,,,HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"HERD, million NC",,metadata/HE_NC.html,,,,,,HE_NC,,797.8,,,,,,8266.346,1991.2,,10145.1,2581.005,10.4,,7.763,,,485358,2008.68,,,0,,64.288,28.689,340.06,,,0.414,45.854,,165,15818.4,,13150,107.457,,,,234015.69,99858.85,673000.6,,,,55742,,691.771,,43.2,22082.697,,,20010,,,,87.662,10669.25,12.755,,,125.217,3884.89,,1480.45,9864.327,,,45.8,15827.044,6.582,,643.77,,145.3,,,,,,,8631.8,56742,14798,33654.9,2823963,8374000,46219.02,816.567,5798.4,6254.4,,2140809,,18926.09,9726,,90.625,74.566,800,75.6,,13.385,,,,216.394,119.7,486.56,9251.076,,4288.84,,5377,22.96,,,154.3,26014.649,,,3467.1,6.394,,2634.77,747.65,,165.153,,,4375,,960,,,29717.5,,18708.7,28.457,40099.03,,,0.693,,78099.42,135.33,5366.028,5215.2,1041.661,1362.983,5998872.479,54.6,606.508,87730.8,,,,,,,,,10888.82,14260.7,,,2338.709,406.069,86.934,,,7292.853,3703.884,1931.13,52.24,,,36630,5884.607,,8.2,15992,1685.3,,4900.278,,,38,164.003,8175.744,,,,49482,653.5,1368.28,8157.7,230387.5,66514,2670.052,65029.2,,,712200,,,,,,48107.673,,,,142.8,,,,1.3,,,,,1.95,,,,,,,,,,,,,,,,,,10.858,,,,10.292,,,,,,,,,,,,,8509660,,,,,,,,,,,,
,,"HERD, million USD PPPs",,metadata/HE_PPP.html,,,,,,HE_PPP,,17.903,,,,,,1532.602,10.053,,6952.884,3239.739,32.828,,38.161,,,93.952,2517.654,,,0,,35.8,41.566,92.56,,,0.81,67.814,,0.434,11.714,,10360.979,2.211,,,,617.851,28863.94,560.484,,,,147.576,,195.891,,65.484,1725.348,,,2747.876,,,,156.811,4385.146,25.961,,,235.431,583.388,,1636.877,12333.341,,,53.968,20343.229,10.504,,1045.056,,39.497,,,,,,,1535.274,434.276,105.445,1982.76,744.042,2562.369,123.294,1009.931,1525.903,8599.981,,20873.074,,212.921,307.819,,506.185,3.6,0.522,152.759,,2.9,,,,487.254,135.747,86.453,13.731,,3029.753,,28.11,38.356,,,9.621,3095.905,,,5.42,17.76,,697.226,42.122,,28.477,,,5427.734,,665.034,,,891.052,,1932.242,190.234,1380.726,,21.963,1.17,,33.821,101.054,298.917,2956.842,1784.467,539.527,6734.831,8.02,373.01,3886.687,,,,,,,,,46.979,353.141,,,2761.579,837.11,148.669,,,1408.722,5549.306,43.911,76.203,,,4105.59,4718.645,,4.072,1312.175,88.026,,22.145,,,10.211,256.537,6585.124,,,,61.743,112.305,644.662,11849.664,382.691,66514,143.328,72.289,,,94.533,,,,,,3163.314,,,,174.241,,,,,,,,,,,,,,,,,,,,,81759.648,,76822.884,89481.392,,,,,,,,,,,,,,,,,,,,219188.648,,,,,,,,,,,,
,,"HERD, million constant USD PPPs",,metadata/HE_PPPK.html,,,,,,HE_PPPK,,18.831,,,,,,1333.242,9.247,,6578.471,2804.508,29.859,,35.497,,,861987.6,2249.526,,,,,42.609,37.482,86.614,,,0.83,65.709,,0.411,10.551,,9972.896,2.167,,,,557.561,26558.224,516.64,,,,137.135,,173.816,,64.161,1518.785,,,2498.584,,,,145.927,4305.479,24.135,,,211.347,549.454,,1470.57,11051.994,,,50.186,17868.537,10.498,,937.924,,37.998,,,,,,,1428.197,393.067,93.371,1812.476,704.432,2613.363,117.355,871.937,1301.344,7659.297,,18992.841,,201.971,307.824,,479.509,3.26,0.604,136.35,,2.735,,,,443.315,116.088,79.403,13.453,,2787.825,,28.11,37.027,,,9.202,2845.61,,,4.987,16.216,,697.214,38.761,,26.487,,,4937.71,,592.368,,,557.673,,1797.374,172.503,1250.258,,,1.108,,30.907,112.673,283,2698.237,1602.938,519.114,6704.667,7.36,334.69,3522.506,,,,,,,,,46.977,317.134,,,2577.23,786.178,131.155,,,1338.429,5069.814,41.574,89.356,,,3789.209,4066.325,,3.64,1198.832,81.039,,20.584,,,9.497,235.523,6223.074,,,,65.876,102.993,645.727,10787.949,362.317,61206.635,133.311,65.763,,,89.501,,,,,,2910.985,,,,171.393,,,,,,,,,,,,,,,,,,,,,73369.823,,,80327.865,,,,,,,,,,,,,,,,,,,,200402.389,,,,,,,,,,,,
,,"HERD, % of total gross domestic R&D expenditures (GERD)",,metadata/HE_XG.html,,,,,,HE_XG,,47.902,,,,,,30.469,15.791,,29.633,24.32,8.602,,61.131,,,10.797,19.942,,,0,,41,45.907,50.57,,,8.406,5.412,,4.809,18.222,,38.783,100,,,,38.527,7.047,34.752,,,,35.786,,24.241,,53.731,24.906,,,33.363,,,,19.467,60.754,60.202,,,41.358,74.102,,24.386,20.279,,,84.972,17.283,3.796,,37.784,,82.323,,,,,,,51.603,12.114,30.507,3.944,34.927,33.319,59.095,24.659,11.716,28.569,,12.278,,30.688,39.055,,60.849,14.552,12.195,49.639,,87.151,,,,55.916,17.837,99.106,43.613,,28.481,,17.42,33.963,,,24.759,26.773,,,9.682,46.778,,46.995,37.439,,35.01,,,32.098,,29.851,,,64.811,,31.073,43.001,59.384,,22.989,2.449,,42.833,38.114,33.717,28.876,45.504,41.876,9.095,12.106,17.444,9.592,,,,,,,,,31.432,40.756,,,27.429,43.792,10.191,,,28.42,28.12,19.97,27.09,,,26.709,26.677,,15.56,18.887,67.89,,81.386,,,26.272,31,39.659,,,,25.405,5.346,11.623,25.615,61.353,13.226,59.762,17.808,,,5.319,,,,,,9.425,,,,31.78,,,,100,,,,,100,,,,,,,,,,,,22.955,,24.129,23.154,,,12.872,,,,95.392,,,,,,,,,,,,,17.563,,,,,,,,,,,,
,,"HERD, % of public sector R&D expenditures (PSERD)",,metadata/HE_XPUB.html,,,,,,HE_XPUB,,47.902,,,,,,38.963,10.868,,72.556,84.564,11.925,,,,,31.844,71.094,,,,,66.129,84.516,1.496,,,8.406,26.271,,5.229,31.777,,81.454,,,,,82.711,30.394,93.055,,,,55.276,,49.641,,79.417,58.258,,,93.478,,,,1.563,55.456,,,,80.136,50.086,,72.567,61.124,,,26.818,54.376,3.802,,57.274,,87.436,,,,,,,92.747,49.554,84.41,6.294,46.737,37.274,8.037,81.763,86.942,65.04,,60.171,,39.592,49.006,,60.999,19.078,19.324,62.857,,92.335,,,,75.414,39.045,99.976,43.613,,66.755,,17.42,77.667,,,25.233,48.691,,,14.292,66.678,,67.077,39.607,,,,,73.052,,56.776,,,64.811,,67.073,60.563,25.298,,,15.658,,74.063,59.791,56.842,54.903,87.923,56.47,44.659,13.546,26.162,24.292,,,,,,,,,37.652,65.217,,,70.639,54.841,46.218,,,57.305,59.954,20.427,40.864,,,88.549,96.742,,33.046,43.231,43.972,,41.846,,,39.756,0,80.704,,,,39.706,14.313,42.517,77.106,86.252,55.902,55.538,,,,21.233,,,,,,44.212,,,,91.591,,,,,,,,,,,,,,,,,,,,,,,,66.158,,,17.043,,,,,,,,,,,,,,,,,71.094,,,,,,,,,,,,
,,"HERD, % of GDP",,metadata/HE_XGDP.html,,,,,,HE_XGDP,,0.074,,,,,,0.179,0.04,,0.627,0.759,0.019,,0.062,,,0.056,0.49,,,0,,0.113,0.101,0.274,,,0.007,0.052,,0.007,0.022,,0.649,0.073,,,,0.148,0.146,0.084,,,,0.206,,0.207,,0.245,0.485,,,0.987,,,,0.086,0.439,0.051,,,0.618,0.448,,0.707,0.45,,,0.157,0.505,0.014,,0.366,,0.037,,,,,,,0.382,0.167,0.668,0.025,0.03,0.224,0.022,0.307,0.498,0.38,,0.404,,0.053,0.307,,0.183,0.018,0.005,0.31,,0.046,,,,0.583,0.229,0.132,0.046,,0.37,,0.102,0.261,,,0.044,0.143,,,0.015,0.178,,0.336,0.126,,0.118,,,0.64,,0.381,,,0.142,,0.6,0.106,0.146,,0.113,0.017,,0.055,0.059,0.047,0.29,0.58,0.2,0.385,0.045,0.085,0.109,,,,,,,,,0.17,0.353,,,0.603,0.516,0.225,,,0.205,0.344,0.02,0.081,,,0.876,0.912,,0.017,0.118,0.301,,0.221,,,0.023,0.203,0.35,,,,0.121,0.033,0.101,0.436,0.324,0.369,0.201,0.038,,,0.02,,,,,,0.287,,,,0.139,,,,,,,,,,,,,,,,,,,,,0.481,,0.467,0.453,,,0.111,,,,,,,,,,,,,,,,,0.418,,,,,,,,,,,,
,,"HERD, compound annual growth rate at constant prices, %",,metadata/HE_GRO.html,,,,,,HE_GRO,,,,,,,,-6.469,,,3.006,1.894,,,,,,,-0.238,,,,,,,,,,,,,,,,0.391,,,,,3.415,11.671,,,,,,,,,,1.091,,,2.447,,,,,,,,,-2.418,,,-2.263,-1.275,,,,1.678,,,17.6,,,,,,,,,,-6.318,5.184,,,,,8.178,-2.488,-1.783,,-4.534,,,,,,,,14.093,,,,,,,14.967,,,,,,,,,,,2.277,,,,,,,,,,,,1.827,,7.458,,,,,9.342,,,,,,,,,,9.783,0.232,,1.772,,52.28,-2.138,,,,,,,,,,,,,6.156,76.582,-7.486,,,-6.166,2.196,,,,,0.056,4.572,,,,,,,,,,,6.326,,,,,,,2.847,,1.559,,,,,,,,,,,-3.218,,,,,,,,,,,,,,,,,,,,,,,,,0.795,,,1.623,,,,,,,,,,,,,,,,,,,,1.288,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"HERD, million NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15827.044,,,,,,,,,,,,,,,,,,,816.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
