CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>>Industry funding,Latest available,,,,,,,,,HE_BEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"HERD, financed by industry, million NC",,metadata/HE_BEF_NC.html,,,,,,HE_BEF_NC,,,,,,,,16.236,,,512.4,118.508,0.2,,0.165,,,129020,241.626,,,,,,0.458,,,,,8.417,,,3317.98,,921,,,,,6983.952,30149.58,34548.3,,,,,,57.919,,0.22,874.993,,,523,,,,0.345,3.583,0.1,,,6.757,1.123,,55.1,266.652,,,,2111.282,0.025,,48.77,,,,,,,,,,4552.1,296.4,,,,2.5,13.9,517.3,80.9,,56621,,3601.3,326,,,1.933,,5.9,,0.12,,,,25.023,1.071,,,,69.62,,648,0.051,,,1.7,201.255,,,1880.5,0.024,,,,,0.687,,,350,,33,,,72.8,,659.5,2.509,,,,,,10,,74.524,135.8,16.683,,740658.209,,30.674,24028.4,,,,,,,,,66,342.1,,,171.744,6.499,9.895,,,588.598,214.39,19.13,,,,1270,565.332,,,2059,2.4,,,,,,,1061.154,,,,818.4,108.9,,347.9,122.234,3616,9.485,5637.1,,,17500,,,,,,4735.541,,,,3.329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726017.38,,,,,,,,,,,,
,,"HERD, financed by industry, million USD PPPs",,metadata/HE_BEF_PPP.html,,,,,,HE_BEF_PPP,,,,,,,,4.161,,,351.241,148.812,0.56,,0.809,,,24.975,299.994,,,,,,0.664,,,,,12.655,,,2.457,,744.931,,,,,18.595,8714.659,28.772,,,,,,16.401,,0.325,68.42,,,71.879,,,,0.618,1.617,0.203,,,12.715,0.169,,60.971,331.553,,,,2754.159,0.062,,79.234,,,,,,,,,,34.868,2.114,,,,0.005,17.288,134.85,110.151,,552.316,,40.515,10.318,,,0.094,,11.922,,0.026,,,,56.344,1.197,,,,49.181,,3.817,0.085,,,0.106,23.957,,,2.94,0.068,,,,,0.118,,,434.57,,22.827,,,2.183,,73.106,16.773,,,0.886,,,0.004,,4.151,77.056,28.905,,833.391,,18.865,1064.516,,,,,,,,,0.285,8.472,,,202.798,13.409,16.936,,,113.696,323.716,0.435,,,,147.848,440.666,,,168.945,0.125,,,,,,,924.853,,,,1.021,18.715,,505.759,0.256,3616,0.509,6.266,,,2.323,,,,,,312.206,,,,4.062,,,,,,,,,,,,,,,,,,,,,,,,3936.41,,,,,,,,,,,,,,,,,,,,11448.188,,,,,,,,,,,,
,,"HERD, financed by industry, million constant USD PPPs",,metadata/HE_BEF_PPPK.html,,,,,,HE_BEF_PPPK,,,,,,,,3.251,,,332.26,133.544,,,,,,,274.744,,,,,,17.694,,,,,12.328,,,,,697.234,,,,,16.654,8018.512,,,,,,,14.553,,0.323,60.18,,,65.305,,,,,,,,,11.405,,,54.753,302.166,,,,2465.659,,,71.054,,,,,,,,,,31.534,1.872,,,,,14.66,120.635,99.801,,505.98,,,,,,,,10.641,,,,,,51.263,1.062,,,,,,,0.082,,,,22.118,,,,0.17,,,,,,,,397.855,,20.687,,,,,66.581,,,,,,,,,,70.365,26.207,,827.8,,16.325,984.331,,,,,,,,,,10.666,,,188.601,12.583,14.929,,,108.023,294.929,,,,,136.434,388.454,,,,,,,,,,,865.283,,,,,,,460.072,,3327.468,,,,,,,,,,,287.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10762.379,,,,,,,,,,,,
,,"HERD, financed by industry, % of total HERD",,metadata/HE_BEF_XHE.html,,,,,,HE_BEF_XHE,,,,,,,,0.141,,,5.051,5.091,,,,,,,12.137,,,,,,,,,,,,,,,,7.779,,,,,2.984,30.192,,,,,,,,,,3.962,,,2.614,,,,,,,,,5.397,,,3.722,2.698,,,,13.873,,,7.576,,,,,,,,,,8.022,2.003,,,,,3.67,9.28,1.279,,2.645,,,,,,,,7.804,,,,,,,0.953,,,,,,,,,,,0.718,,,,,,,,,,,,8,,4.583,,,,,3.134,,,,,,,,,,2.604,1.639,,12.347,,5.057,27.389,,,,,,,,,,,,,7.344,1.601,11.383,,,8.071,5.694,,,,,3.754,9.782,,,,,,,,,,,15.11,,,,,,,4.265,,5.436,,,,,,,,,,,9.844,,,,,,,,,,,,,,,,,,,,,,,,,6.571,,,6.381,,,,,,,,,,,,,,,,,,,,6.164,,,,,,,,,,,,
,,"HERD, financed by industry, % of total GERD",,,,,,,,HE_BEF_XG,,,,,,,,0.07,,,1.297,1.238,,,,,,,2.531,,,,,,18.537,,,,,1.266,,,,,2.67,,,,,1.15,2.128,,,,,,,2.03,,0.262,0.987,,,0.872,,,,,,,,,2.232,,,0.908,0.556,,,,2.506,,,2.862,,,,,,,,,,0.972,0.611,,,,,0.455,1.178,0.363,,0.325,,,,,,,,3.874,,,,,,6.466,0.179,,,,,,,0.075,,,,0.207,,,,0.526,,,,,,,,2.568,,1.229,,,,,1.3,,,,,,,,,,0.752,0.747,,1.123,,0.882,2.627,,,,,,,,,,1.553,,,2.014,0.701,1.16,,,2.294,1.672,,,,,1.019,2.855,,,,,,,,,,,6.03,,,,,,,1.092,,0.719,,,,,,,,,,,0.928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"HERD, financed by industry, % of GDP",,metadata/HE_BEF_XGDP.html,,,,,,HE_BEF_XGDP,,,,,,,,0,,,0.032,0.037,,,,,,,0.062,,,,,,0.049,,,,,0.01,,,,,0.046,,,,,0.004,0.044,,,,,,,0.017,,0.001,0.019,,,0.026,,,,,,,,,0.033,,,0.026,0.012,,,,0.072,,,0.028,,,,,,,,,,0.013,0.013,,,,,0.005,0.049,0.005,,0.011,,,,,,,,0.024,,,,,,0.067,0.002,,,,,,,0.001,,,,0.001,,,,0.002,,,,,,,,0.051,,0.014,,,,,0.021,,,,,,,,,,0.008,0.01,,0.048,,0.004,0.029,,,,,,,,,,0.012,,,0.044,0.008,0.026,,,0.017,0.021,,,,,0.034,0.088,,,,,,,,,,,0.052,,,,,,,0.019,,0.02,,,,,,,,,,,0.028,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.03,,,,,,,,,,,,,,,,,,,,0.023,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"HERD, financed by industry, million NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"HERD, financed by industry, million USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
