CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>Basic research,Latest available,,,,,,,,,HE_BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Basic research expenditures, higher education, million NC",,metadata/HE_BR_NC.html,,,,,,HE_BR_NC,,,,,,,,3243.272,,,4347.3,1271.157,,,,,,,915.75,,,,,,,,,,,19.353,,,,,,,,,,61172.715,39102.881,,,,,,,244.117,,8.952,12536.211,,,8216,,,,,,,,,61.693,,,,8113.1,,,,,,,297.64,,,,,,,,,,30867.5,8694.3,,,,,348.126,4050.41,3540.6,,827626,,,,,,,,32.3,,,,,,71.002,,,,,,,,22.862,,,,10960.994,,,,,,,,,,,,2446.162,,424,,,,,4457.2,,,,,,,,,,3364.9,448.684,,2119484.663,,221.558,1184,,,,,,,,,,6732.26,,,1102.033,169.301,47.596,,,,1782.084,,,,,,4467.033,,,,,,,,,,,,,,,,,,2624.1,,40045,,,,,,,,,,,23554.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Basic research expenditures, higher education, million USD PPPs",,metadata/HE_BR_PPP.html,,,,,,HE_BR_PPP,,,,,,,,599.377,,,2979.994,1596.206,,,,,,,1136.959,,,,,,,,,,,30.477,,,,,,,,,,176.174,11281.949,,,,,,,66.013,,14.12,990.614,,,1122.036,,,,,,,,,116.087,,,,10087.778,,,,,,,471.908,,,,,,,,,,239.852,62.002,,,,,426.983,1052.963,4820.786,,8073.166,,,,,,,,65.095,,,,,,156.737,,,,,,,,40.109,,,,1304.771,,,,,,,,,,,,3052.386,,293.296,,,,,494.958,,,,,,,,,,1913.725,777.4,,2384.851,,130.737,892.781,,,,,,,,,,180.548,,,1301.102,350.855,81.553,,,,2690.838,,,,,,3481.966,,,,,,,,,,,,,,,,,,3790.662,,40045,,,,,,,,,,,1552.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Basic research expenditures, higher education, million constant USD PPPs",,metadata/HE_BR_PPPK.html,,,,,,HE_BR_PPPK,,,,,,,,558.243,,,2818.956,1432.44,,,,,,,1041.262,,,,,,,,,,,28.345,,,,,,,,,,169.162,10399.71,,,,,,,61.4,,13.128,870.841,,,1035.178,,,,,,,,,104.128,,,,9193.629,,,,,,,421.181,,,,,,,,,,217.531,54.91,,,,,385.063,934.179,4367.793,,7395.878,,,,,,,,58.486,,,,,,145.808,,,,,,,,36.869,,,,1204.627,,,,,,,,,,,,2783.019,,265.799,,,,,588.372,,,,,,,,,,1754.094,704.841,,2368.852,,120.746,682.459,,,,,,,,,,176.899,,,1210.201,327.071,72.508,,,,2451.55,,,,,,3069.408,,,,,,,,,,,,,,,,,,3489.264,,39466.172,,,,,,,,,,,1429.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Basic research expenditures, higher education, % of higher education R&D",,,,,,,,HE_BR_XHE,,,,,,,,39.399,,,46.468,53.872,,,,,,,,,,,,,,,,,,32.718,,,,,,,,,,,35.906,,,,,,,34.101,,19.562,49.103,,,43.718,,,,,,,,,49.254,,,,82.472,,,,,,,45.327,,,,,,,,,,51.112,64.641,,,,,53.705,68,55.997,,38.518,,,,,,,,40.97,,,,,,38.631,,,,,,,,99.548,,,,41.744,,,,,,,,,,,,57.286,,48.923,,,,,44.033,,,,,,,,,,41.902,41.186,,39.917,,67.558,27.075,,,,,,,,,,48.091,,,46.197,71.715,32.234,,,,44.339,,,,,,78.983,,,,,,,,,,,,,,,,,,33.264,,,,,,,,,,,,,48.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Basic research expenditures, higher education, % of GDP",,metadata/HE_BR_XGDP.html,,,,,,HE_BR_XGDP,,,,,,,,0.07,,,0.269,0.394,,,,,,,0.234,,,,,,,,,,,0.023,,,,,,,,,,0.047,0.057,,,,,,,0.074,,0.051,0.291,,,0.416,,,,,,,,,0.305,,,,0.378,,,,,,,0.165,,,,,,,,,,0.095,0.393,,,,,0.18,0.367,0.218,,0.156,,,,,,,,0.137,,,,,,0.194,,,,,,,,0.246,,,,0.06,,,,,,,,,,,,0.369,,0.183,,,,,0.224,,,,,,,,,,0.196,0.259,,0.136,,0.033,0.028,,,,,,,,,,0.198,,,0.282,0.223,0.127,,,,0.172,,,,,,0.694,,,,,,,,,,,,,,,,,,0.144,,0.248,,,,,,,,,,,0.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Basic research expenditures, higher education, % of  total basic research",,,,,,,,HE_BR_XBR,,,,,,,,34.041,,,59.361,70.373,,,,,,,48.033,,,,,,,,,,,22.683,,,,,,,,,,53.866,53.565,,,,,,,25.032,,52.882,51.617,,,75.905,,,,,,,,,76.881,,,,70.841,,,,,,,58.648,,,,,,,,,,39.853,54.546,,,,,61.126,70.543,62.506,,39.832,,,,,,,,72.059,,,,,,68.454,,,,,,,,64.991,,,,49.961,,,,,,,,,,,,65.068,,62.722,,,,,74.783,,,,,,,,,,59.192,86.891,,19.312,,30.063,16.71,,,,,,,,,,64.983,,,66.182,56.06,27.575,,,,59.44,,,,,,73.091,,,,,,,,,,,,,,,,,,56.185,,51.299,,,,,,,,,,,54.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Basic research expenditures, higher education, million NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39102.881,,,,,,,,,,,,,,,,,,,,,,61.693,,,,,,,,,,,,,,,,,,,,,,8694.3,,,,,,,,,827626,,,,,,,,,,,,,,,,,,,,,,22.862,,,,10960.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2119484.663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23554.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Basic research expenditures, higher education, million USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11281.949,,,,,,,,,,,,,,,,,,,,,,116.087,,,,,,,,,,,,,,,,,,,,,,62.002,,,,,,,,,8073.166,,,,,,,,,,,,,,,,,,,,,,40.109,,,,1304.771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2384.851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1552.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
