CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>Regional inequalities for workers in high-tech manufacturing,Latest available,,,,,,,,,HITECH_LF_INEQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Concentration of workers in high-tech manufacturing in the 20% top region, percentage",,,,,,,,HITECH_LF_TOP20,,,,,,,,,,,,0.167,,,,,,,0.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.351,,,0.348,,,,,,,,,0.2,,,0.333,0.164,,,,0.391,,,,,,,,,,,,,0.252,,,,,,0.226,,0.433,,0.199,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,0.356,,,,,,,0.2,,,,,,,,,,0.222,0.276,,,,,,,,,,,,,,,,,,,0.361,0.201,,,,0.603,,,,,0.245,0.278,,,,,,,,,,,0.318,,,,,,,0.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.326,,,,,,,,,,,,
,,Workers in high-tech manufacturing Hirshman-Herfindal index,,,,,,,,HITECH_LF_HHI,,,,,,,,,,,,0.066,,,,,,,0.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032,,,0.277,,,,,,,,,,,,0.16,0.479,,,,0.093,,,,,,,,,,,,,0.093,,,,,,0.421,,0.125,,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,,,,,,,1,,,,,,,,,,0.123,0.44,,,,,,,,,,,,,,,,,,,0.245,0.003,,,,0.256,,,,,0.106,0.067,,,,,,,,,,,0.261,,,,,,,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Concentration of workers in high-tech manufacturing in the 20% top region, percentage",,,,,,,,,,,,,,,,,,,,0.167,,,,,,,0.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.351,,,0.348,,,,,,,,,0.2,,,0.333,0.164,,,,0.391,,,,,,,,,,,,,0.252,,,,,,0.226,,0.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.356,,,,,,,0.2,,,,,,,,,,0.222,0.276,,,,,,,,,,,,,,,,,,,0.361,0.201,,,,0.603,,,,,0.245,0.278,,,,,,,,,,,0.318,,,,,,,0.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.326,,,,,,,,,,,,
,,Workers in high-tech manufacturing Hirshman-Herfindal index,,,,,,,,,,,,,,,,,,,,0.066,,,,,,,0.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032,,,0.277,,,,,,,,,,,,0.16,0.479,,,,0.093,,,,,,,,,,,,,0.093,,,,,,0.421,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,,,,,,,1,,,,,,,,,,0.123,0.44,,,,,,,,,,,,,,,,,,,0.245,0.003,,,,0.256,,,,,0.106,0.067,,,,,,,,,,,0.261,,,,,,,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Concentration of workers in high-tech manufacturing in the 20% top region, percentage",,,,,,,,,,,,,,,,,,,,0.304,,,,,,,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.373,,,0.374,,,,,,,,,0.2,,,0.297,0.17,,,,0.386,,,,,,,,,,,,,0.205,,,,,,0.225,,0.397,,0.199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.395,,,,,,,0.2,,,,,,,,,,0.398,0.246,,,,,,,,,,,,,,,,,,,0.338,0.202,,,,0.548,,,,,0.305,0.305,,,,,,,,,,,0.303,,,,,,,0.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.318,,,,,,,,,,,,
,,Workers in high-tech manufacturing Hirshman-Herfindal index,,,,,,,,,,,,,,,,,,,,0.066,,,,,,,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039,,,0.229,,,,,,,,,,,,0.12,0.36,,,,0.095,,,,,,,,,,,,,0.057,,,,,,0.413,,0.106,,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.084,,,,,,,1,,,,,,,,,,0.098,0.419,,,,,,,,,,,,,,,,,,,0.202,0.004,,,,0.22,,,,,0.131,0.082,,,,,,,,,,,0.328,,,,,,,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
