CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Households expenditure,Latest available,,,,,,,,,HSHDEXP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Household final consumption expenditure, million NC",,metadata/HHFCEXP_NC.html,,,,,,HHFCEXP_NC,,,,,,,,,,,953842,186188.9,,,,,,,205114.6,,,,,,,,,,,,,,,,1153523,,,,,107079441.3,,501844000,,,,,,,,,2213886,,,950330,,,,,,,,,10771.45,,,113451,1187380,,,,1619138,,,118100.97,,,,,,,,,,17019808,1137131,37820130,,,,85171.832,655009.822,1012803.6,,292713900,,,,,,,,14583.84,,,,,,23486.331,15248.225,,,,,,,,,,,12448130,,,,,,,,,,,,296144,,141421,,,,,1342768,,,,,,,,363910,,1038238.1,117565.938,,760320400,,,43941388.2,,,,,,,,,,,,,,42468.568,19772.875,,,,632736,,,,,1889382,337563.93,,,,,,,,,,,1551976.649,,,,,,,1202758,,12461841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Household final consumption expenditure, million current USD PPPs",,,,,,,,HHFCEXP_PPP,,,,,,,,,,,652187.6,217127,,,,,,,257088,,,,,,,,,,,,,,,,908869.1,,,,,274776.7,,418650.6,,,,,,,,,172135.2,,,131336.3,,,,,,,,,19303.1,,,125384.8,1477758,,,,2044686,,,191717.8,,,,,,,,,,124027,8066.252,2779053,,,,105843.9,163165.8,1329248,,2853986,,,,,,,,29468.42,,,,,,52191.85,16904.46,,,,,,,,,,,1481405,,,,,,,,,,,,367403.6,,97968.57,,,,,133868.6,,,,,,,,233275.6,,588645.9,195626,,850705.5,,,1734993,,,,,,,,,,,,,,87548.77,33814.33,,,,919559.6,,,,,204667.8,262892.1,,,,,,,,,,,1131536,,,,,,,1734239,,12461840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Household final consumption expenditure, million constant USD PPPs",,,,,,,,HHFCEXP_PPPK,,,,,,,,,,,621077.2,187957.9,,,,,,,229708.4,,,,,,,,,,,,,,,,874826.2,,,,,245865.1,,385248.9,,,,,,,,,150651.7,,,118227.2,,,,,,,,,17328.48,,,111828.2,1325235,,,,1811374,,,172064.1,,,,,,,,,,112257.7,7031.359,2812909,,,,89826.08,139153.6,1204595,,2596901,,,,,,,,26303,,,,,,48115.19,14456.35,,,,,,,,,,,1361637,,,,,,,,,,,,334233.9,,87263.84,,,,,125815.7,,,,,,,,216978.6,,537163.1,175725.5,,834690.3,,,1702826,,,,,,,,,,,,,,82222.07,29830.82,,,,840104.3,,,,,188895.9,231948.4,,,,,,,,,,,1069324,,,,,,,1563413,,11318610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Household final consumption expenditure, % of GDP",,metadata/HHFCEXP_XGDP.html,,,,,,HHFCEXP_XGDP,,,,,,,,,,,57.639,52.688,,,,,,,51.226,,,,,,,,62.96,,,,,,,,58.305,,,,,64.032,38.622,61.311,,,,,,,,,46.963,,,47.498,,,,,,,,,52.768,,,55.217,55.315,,,,53.256,,,70.517,,,,,,,,,,50.384,49.014,57.738,57.051,,,32.967,54.695,60.637,,56.561,,,,,,,,62.011,,,,,,63.152,29.227,,,,,,,,,,,68.416,,,,,,,,,,,,44.218,,57.31,,,,,45.514,,,,,,,,63.18,,58.637,65.844,,48.757,,,51.454,,,,,,,,,,,,,,54.737,53.394,,,,57.803,,,,,44.551,53.942,,,,,,,,,,,60.402,,,,,,,65.074,,68.838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.697,,,,,,,,62.068,,,,
,,Housing prices index at constant prices,,,,,,,,HSPRC,,,,,,,,,,,,141.323,,,,,,,111.593,,,,,,,,151.729,,,,,,,,,,,,,143.732,,,,,,,,,,,112.559,,,115.47,,,,,,,,,163.92,,,105.502,101.126,,,,126.357,,,,,,,,,,,,,121.052,152.411,236.529,,,,117.338,,85.297,,116.719,,,,,,,,135.025,,,,,,121.737,132.275,,,,,,,,,,,135.685,,,,,,,,,,,,94.47,,155.719,,,,,,,,,,,,,,,96.447,99.774,,,,,,,,,,,,,,,,,,,110.247,88.096,,,,77.754,,,,,147.051,,,,,,,,,,,,242.47,,,,,,,180.408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Household final consumption expenditure, million NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1153523,,,,,107079441.3,,,,,,,,,,,2213886,,,950330,,,,,,,,,,,,113451,1187380,,,,,,,,,,,,,,,,,,1137131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1336075,,,,,,,,,,,,,,,,43941388.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1202758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Household final consumption expenditure, million current USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,908869.1,,,,,274776.7,,,,,,,,,,,172135.2,,,131336.3,,,,,,,,,,,,125384.8,1477758,,,,,,,,,,,,,,,,,,8066.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133201.4,,,,,,,,,,,,,,,,1734993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1734239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Household final consumption expenditure, million constant USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,874826.2,,,,,245865.1,,,,,,,,,,,150651.7,,,118227.2,,,,,,,,,,,,111828.2,1325235,,,,,,,,,,,,,,,,,,7031.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125188.6,,,,,,,,,,,,,,,,1702826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1563413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Household final consumption expenditure, % of GDP",,,,,,,,,,,,,,,,,,,,52.688,,,,,,,51.226,,,,,,,,,,,,,,,,58.305,,,,,64.032,,,,,,,,,,,46.963,,,47.498,,,,,,,,,53.305,,,55.217,55.315,,,,53.652,,,70.517,,,,,,,,,,50.384,49.014,,,,,32.967,,60.637,,,,,,,,,,62.011,,,,,,,29.227,,,,,,,,,,,,,,,,,,,,,,,44.218,,,,,,,45.21,,,,,,,,,,58.637,65.844,,,,,51.454,,,,,,,,,,,,,,54.737,51.733,,,,57.803,,,,,44.551,53.942,,,,,,,,,,,,,,,,,,65.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Housing prices index at constant prices,,,,,,,,,,,,,,,,,,,,141.323,,,,,,,111.593,,,,,,,,151.625,,,,,,,,,,,,,143.732,,,,,,,,,,,112.523,,,115.47,,,,,,,,,163.92,,,105.502,101.126,,,,126.416,,,,,,,,,,,,,115.604,152.411,236.529,,,,116.169,,85.297,,107.181,,,,,,,,135.025,,,,,,125.174,132.275,,,,,,,,,,,135.685,,,,,,,,,,,,94.47,,155.719,,,,,,,,,,,,,,,96.447,99.774,,,,,,,,,,,,,,,,,,,110.247,88.096,,,,77.754,,,,,147.051,,,,,,,,,,,,242.47,,,,,,,180.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Household final consumption expenditure, million NC",,,,,,,,,,,,,,,,,,,953842,172978.71,,,,,,,205114.6,,,,,,,,,,,,,,,,1115965,,,,,100870063.6,,501844000,,,,,,,,,2125028,,,926525,,,,,,,,,10266.63,,,110362,1166584,,,,1581581,,,118100.97,,,,,,,,,,16205207,1058465,,,,,85171.832,620027,,,292713900,,,,,,,,14583.84,,,,,,23486.331,14906.183,,,,,,,,,,,12448130,,,,,,,,,,,,296144,,141421,,,,,1272611,,,,,,,,,,1038238.1,114194.291,,734644700,,,43242622.7,,,,,,,,,,,,,,42468.568,19772.875,,,,613760,,,,,1826042,,,,,,,,,,,,1404855.496,,,,,,,1156561,,11955773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Household final consumption expenditure, million current USD PPPs",,,,,,,,,,,,,,,,,,,652187.6,217127,,,,,,,257088,,,,,,,,,,,,,,,,890374.1,,,,,266318.1,,418650.6,,,,,,,,,166031.1,,,127235.2,,,,,,,,,19303.1,,,122023.1,1458577,,,,2044686,,,191717.8,,,,,,,,,,124027,7542.199,,,,,105843.9,163165.8,,,2853986,,,,,,,,29468.42,,,,,,52191.85,16904.46,,,,,,,,,,,1481405,,,,,,,,,,,,367403.6,,97968.57,,,,,131435.8,,,,,,,,,,588645.9,195626,,824773,,,1802926,,,,,,,,,,,,,,87548.77,33814.33,,,,919559.6,,,,,204667.8,,,,,,,,,,,,1131536,,,,,,,1679991,,11955770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Household final consumption expenditure, million constant USD PPPs",,,,,,,,,,,,,,,,,,,621077.2,187957.9,,,,,,,229708.4,,,,,,,,,,,,,,,,851465.3,,,,,240331.1,,385248.9,,,,,,,,,146153.3,,,115692.2,,,,,,,,,17328.48,,,109625.5,1307041,,,,1811374,,,172064.1,,,,,,,,,,112257.7,6678.579,,,,,89826.08,139153.6,,,2596901,,,,,,,,26303,,,,,,48115.19,14456.35,,,,,,,,,,,1361637,,,,,,,,,,,,334233.9,,87263.84,,,,,122261.7,,,,,,,,,,537163.1,175725.5,,821079.1,,,1736248,,,,,,,,,,,,,,82222.07,29830.82,,,,840104.3,,,,,188895.9,,,,,,,,,,,,1069324,,,,,,,1529465,,11001780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Household final consumption expenditure, % of GDP",,,,,,,,,,,,,,,,,,,57.639,52.69,,,,,,,51.226,,,,,,,,,,,,,,,,57.584,,,,,63.586,38.622,,,,,,,,,,46.829,,,47.153,,,,,,,,,52.362,,,55.28,54.984,,,,53.942,,,69.912,,,,,,,,,,49.34,49.789,,57.051,,,33.326,54.695,60.836,,56.561,,,,,,,,60.997,,,,,,63.152,29.918,,,,,,,,,,,68.416,,,,,,,,,,,,44.402,,57.31,,,,,43.026,,,,,,,,,,58.438,65.637,,49.481,,,52.324,,,,,,,,,,,,,,54.918,52.143,,,,58.108,,,,,45.064,53.928,,,,,,,,,,,60.402,,,,,,,64.862,,68.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.733,,,,,,,,,,,,
,,Housing prices index at constant prices,,,,,,,,,,,,,,,,,,,,130.213,,,,,,,108.722,,,,,,,,152.649,,,,,,,,,,,,,139.495,,,,,,,,,,,105.014,,,110.305,,,,,,,,,156.495,,,104.591,100.075,,,,119.231,,,,,,,,,,,,,105.111,138.845,221.702,,,,94.377,,85.985,,104.854,,,,,,,,124.458,,,,,,115.684,124.782,,,,,,,,,,,126.161,,,,,,,,,,,,89.74,,137.66,,,,,,,,,,,,,,,94.688,93.147,,,,,,,,,,,,,,,,,,,103.322,85.321,,,,74.319,,,,,135.368,,,,,,,,,,,,166.756,,,,,,,167.581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Household final consumption expenditure, million NC",,,,,,,,,,,,,,,,,,,914653,170685.38,,,,,,,202182.4,,,,,,,,,,,,,,,,1083548,,,,,93735492.01,,463523000,,,,,,,,,2044283,,,902889,,,,,,,,,9818.19,,,108064,1147652,,,,1540986,,,120264.969,,,,,,,,,,15730217,1008104,,,,,80704.942,598172,977121.878,,293112500,,,,,,,,14165.835,,,,,,22761.873,14519.153,,,,,,,,,,,11725290,,,,,,,,,,,,291027,,136521,,,,,1220052,,,,,,,,363910,,1019427.8,110546.095,,712682400,,,42015788.5,,,,,,,,,,,,,,41605.16,19826.826,,,,597918,,,,,1758938,337563.93,,,,,,,,,,,1236990.171,,,,,,,1126230,,11549804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Household final consumption expenditure, million current USD PPPs",,,,,,,,,,,,,,,,,,,626852,214511.4,,,,,,,253288.3,,,,,,,,,,,,,,,,875540.8,,,,,256019.1,,391952.8,,,,,,,,,161397,,,123196.1,,,,,,,,,18644.99,,,119236.2,1425723,,,,2008435,,,194578.4,,,,,,,,,,122121.6,7287.143,,,,,98898.83,155381.1,1329248,,2860388,,,,,,,,28548.79,,,,,,50246.96,16460.06,,,,,,,,,,,1465325,,,,,,,,,,,,362830.5,,94623.78,,,,,131038,,,,,,,,233275.6,,579268.6,191365.6,,818480.6,,,1974530,,,,,,,,,,,,,,86145.01,33942.21,,,,902021.9,,,,,201030.8,262892.1,,,,,,,,,,,1077152,,,,,,,1625466,,11549800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Household final consumption expenditure, million constant USD PPPs",,,,,,,,,,,,,,,,,,,593096,188966.4,,,,,,,228392.1,,,,,,,,,,,,,,,,820289.4,,,,,232764.7,,364561.4,,,,,,,,,142008.3,,,113759.9,,,,,,,,,16743.62,,,109158.7,1299875,,,,1799639,,,173388,,,,,,,,,,110854.8,6744.549,,,,,89267.93,137961.2,1204595,,2653365,,,,,,,,25650.38,,,,,,46743.11,14180.67,,,,,,,,,,,1320937,,,,,,,,,,,,331103.9,,84840.81,,,,,119948.2,,,,,,,,216978.6,,531419,173657.8,,814134.4,,,1824494,,,,,,,,,,,,,,80376.48,30204.12,,,,822534.6,,,,,185659.6,231948.4,,,,,,,,,,,1015031,,,,,,,1497547,,10742560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Household final consumption expenditure, % of GDP",,,,,,,,,,,,,,,,,,,56.564,53.477,,,,,,,51.708,,,,,,,,62.96,,,,,,,,55.988,,,,,62.971,37.663,61.311,,,,,,,,,48.071,,,47.159,,,,,,,,,51.239,,,55.304,55.229,,,,54.528,,,70.297,,,,,,,,,,50.192,52.242,,57.165,,,42.888,55.528,60.795,,58.423,,,,,,,,61.176,,,,,,62.457,30.49,,,,,,,,,,,68.103,,,,,,,,,,,,44.748,,57.556,,,,,40.915,,,,,,,,63.18,,60.047,65.9,,50.347,,,53.414,,,,,,,,,,,,,,55.76,53.982,,,,58.72,,,,,46.133,53.948,,,,,,,,,,,60.761,,,,,,,64.906,,68.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.119,,,,,,,,,,,,
,,Housing prices index at constant prices,,,,,,,,,,,,,,,,,,,,124.132,,,,,,,107.001,,,,,,,,156.344,,,,,,,,,,,,,128.167,,,,,,,,,,,100.998,,,103.122,,,,,,,,,146.448,,,108.546,101.602,,,,113.864,,,,,,,,,,,,,94.413,128.272,195.169,,,,102.016,,88.285,,102.384,,,,,,,,128.78,,,,,,114.569,118.39,,,,,,,,,,,118.368,,,,,,,,,,,,86.656,,123.154,,,,,,,,,,,,,,,93.268,90.387,,,,,,,,,,,,,,,,,,,98.06,84.64,,,,71.747,,,,,119.669,,,,,,,,,,,,145.624,,,,,,,109.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Household final consumption expenditure, million NC",,,,,,,,,,,,,,,,,,,878420,167668.86,,,,,,,199444.1,,,,,,,,,,,,,,,,1034804,,,,,86376886.55,,430201000,,,,,,,,,1996648,,,890590,,,,,,,,,9465.14,,,105890,1142231,,,,1514110,,,122909.47,,,,,,,,,,15207273,952806,,,,,78114.557,570484,970551.521,,289446000,,,,,,,,13779.68,,,,,,21791.524,14059.222,,,,,,,,,,,11049464,,,,,,,,,,,,288086,,131478,,,,,1173971,,,,,,,,340122,,995261.5,107717.276,,693861000,,,38465140.8,,,,,,,,,,,,,,41084.432,19459.942,,,,587697,,,,,1703908,334180.473,,,,,,,,,,,1116247.513,,,,,,,1084011,,11056323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Household final consumption expenditure, million current USD PPPs",,,,,,,,,,,,,,,,,,,607112.9,210353.5,,,,,,,247398.3,,,,,,,,,,,,,,,,845427.8,,,,,247016.6,,364774,,,,,,,,,156167.8,,,121088.9,,,,,,,,,18117.74,,,116959.4,1407308,,,,1954235,,,194696.9,,,,,,,,,,121678.2,6953.64,,,,,96291.73,148580.3,1316360,,2857240,,,,,,,,27599.63,,,,,,47683.86,15704.17,,,,,,,,,,,1401441,,,,,,,,,,,,360935,,90926.62,,,,,130017.2,,,,,,,,225545.1,,564833.3,184571.5,,798384.3,,,1980568,,,,,,,,,,,,,,83653.93,32960.23,,,,870920.1,,,,,198182.3,254618.3,,,,,,,,,,,1042935,,,,,,,1559172,,11056320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
