CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Net lending/borrowing position,Latest available,,,,,,,,,HSHDNTBRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Net lending/borrowing, households, million NC",,metadata/HHNTLB_NC.html,,,,,,HHNTLB_NC,,,,,,,,,,,,8403,,,,,,,1843.8,,,,,,,,35524,,,,,,,,-47582,,,,,4903046.603,9523493,8472000,,,,-513130.788,,,,,78942,,,35517,,,,,,,,,36.7,,,-7131,62853,,,,151100,,,-10261.267,,,,,,,,,,1779354,-51437.816,,,,,3349.264,,20858.3,,4168000,,,,,,,,-900.283,,,,,,-1877.005,1446,,,,,,,,,,,374012,,,,,,,,,,,,6163,,-8968,,,,,5503,,,,,,,,13024,,-59794,1447.227,,87809000,,,2904429.806,,,,,,,,,,,,,,766.4,2179.243,,,,27182,,,,,297220,77778.2,,,,,,,,,,,7582.97,,,,,,,-22813,,450418.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213512.852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Net lending/borrowing, households, million current USD PPPs",,,,,,,,HHNTLB_PPP,,,,,,,,,,,,10547.64,,,,,,,2310.995,,,,,,,,20322.65,,,,,,,,,,,,,12945.07,2708126,7067.55,,,,-1357.248,,,,,6167.836,,,4908.475,,,,,,,,,69.003,,,-7881.103,78223.91,,,,195343.8,,,-16657.51,,,,,,,,,,13618.33,-371.822,,,,,4162.166,,28841.74,,40638.36,,,,,,,,-1819.131,,,,,,-4171.121,1599.632,,,,,,,,,,,44509.76,,,,,,,,,,,,7660.554,,-6215.792,,,,,548.627,,,,,,,,8348.718,,-33901.18,2474.338,,100844.3,,,121095.1,,,,,,,,,,,,,,1579.93,3726.805,,,,40725.15,,,,,33082.46,62367.41,,,,,,,,,,,6107.677,,,,,,,-32893.73,,450418.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329830.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Net lending/borrowing, households, million constant USD PPPs",,,,,,,,HHNTLB_PPPK,,,,,,,,,,,,9130.66,,,,,,,2064.876,,,,,,,,18907.21,,,,,,,,,,,,,11681.91,2521798,6503.672,,,,-1262.391,,,,,5429.405,,,4418.546,,,,,,,,,61.944,,,-7028.997,70150.25,,,,173053.8,,,-14949.88,,,,,,,,,,12326.05,-344.136,,,,,3532.286,,25352.37,,36977.68,,,,,,,,-1623.725,,,,,,-3845.319,1264.002,,,,,,,,,,,40911.27,,,,,,,,,,,,6915.292,,-5573.153,,,,,515.624,,,,,,,,7765.46,,-30936.19,2191.885,,100308.8,,,116616.6,,,,,,,,,,,,,,1483.803,3287.767,,,,37206.27,,,,,30315.94,53745.55,,,,,,,,,,,5771.876,,,,,,,-29653.64,,414478.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Net lending/borrowing, households, % of GDP",,metadata/HHNTLB_XGDP.html,,,,,,HHNTLB_XGDP,,,,,,,,,,,1.617,2.472,,,,,,,0.449,,,,,,,,0.615,,,,,,,,-2.347,,,,,3.091,14.789,1.57,,,,-1.922,,,,,1.718,,,1.72,,,,,,,,,0.18,,,-3.307,2.82,,,,4.964,,,-5.84,,,,,,,,,,5.234,-2.564,,,,,1.278,,1.247,,0.786,,,,,,,,-3.694,,,,,,-5.047,3.318,,,,,,,,,,,2.056,,,,,,,,,,,,0.877,,-3.52,,,,,0.177,,,,,,,,2.261,,-3.323,0.783,,5.909,,,3.49,,,,,,,,,,,,,,0.974,5.611,,,,2.527,,,,,6.793,12.048,,,,,,,,,,,0.324,,,,,,,-1.176,,2.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Net lending/borrowing, households, million NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35517,,,,,,,,,,,,-7131,,,,,,,,,,,,,,,,,,,,,,,,,,20858.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6163,,,,,,,5503,,,,,,,,,,,1447.227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297220,,,,,,,,,,,,,,,,,,,-22813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Net lending/borrowing, households, million current USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4908.475,,,,,,,,,,,,-7881.103,,,,,,,,,,,,,,,,,,,,,,,,,,28841.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7660.554,,,,,,,548.627,,,,,,,,,,,2474.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33082.46,,,,,,,,,,,,,,,,,,,-32893.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Net lending/borrowing, households, million constant USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4418.546,,,,,,,,,,,,-7028.997,,,,,,,,,,,,,,,,,,,,,,,,,,25352.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6915.292,,,,,,,515.624,,,,,,,,,,,2191.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30315.94,,,,,,,,,,,,,,,,,,,-29653.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Net lending/borrowing, households, % of GDP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.347,,,,,,,,,,,,,,,,,,,1.72,,,,,,,,,,,,-3.307,,,,,,,,,,,,,,,,,,,,,,,,,,1.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.877,,,,,,,0.177,,,,,,,,,,,0.783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.793,,,,,,,,,,,,,,,,,,,-1.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
