CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>Innovation expenditure by innovative firms,Latest available,,,,,,,,,INNFRM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Innovation expenditure, total, thousand EUR",,metadata/INN_EUR.html,,,,,,INN_EUR,,,,,,,,,,,,6335482,,,,,,,8634778,,,,,,,,,,,200768,,,,,,,,,,,,,,,,,,887800,,276885,3242530,,,6492985,,,,,,,,,352865,,,7250680,37900270,,,,92230000,,,,,,,,,,,,,1581406,,,,,,2545129,,23385537,,,,,,,,,,130368,,,,,,478306,597524,,,,,,,93307,,,,,,,,,,,,,,,,10460477,,,,,,,3007896,,,,,,,,,,6435532,2279132,,,,895863,,,,,,,,,,,20934,,,,833081,625287,,,,11987427,,,,,12516168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Innovation expenditure, average per innovating company, thousand EUR",,metadata/INN_FRMAVG_EUR.html,,,,,,INN_FRMAVG_EUR,,,,,,,,,,,,957.455,,,,,,,,,,,,,,,,,,77.817,,,,,,,,,,,,,,,,,,414.472,,547.204,,,,,,,,,,,,,233.685,,,2137.583,1606.897,,,,,,,,,,,,,,,,,545.124,,,,,,,,,,,,,,,,,,,,,,,,,865.977,,,,,,,,,,,,,,,,,,,,,,,995.572,,,,,,,1124.868,,,,,,,,,,,,,,,238.071,,,,,,,,,,,7.788,,,,507.976,461.126,,,,769.609,,,,,1559.453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Expenditure for acquisition of machinery, equipment and software, thousand EUR",,metadata/INN_MES_EUR.html,,,,,,INN_MES_EUR,,,,,,,,,,,,1175188,,,,,,,2020705,,,,,,,,,,,168584,,,,,,,,,,,,,,,,,,288005,,253527,1649299,,,358014,,,,,,,,,195092,,,1091750,7865963,,,,,,,,,,,,,,,,,604592,,,,,,603919,,9367398,,,,,,,,,,100932,,,,,,384983,214589,,,,,,,67569,,,,,,,,,,,,,,,,3590072,,,,,,,367440,,,,,,,,,,4821416,923387,,,,619364,,,,,,,,,,,15180,,,,597330,222325,,,,3575757,,,,,1894423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Expenditure for acquisition of external knowledge, thousand EUR",,metadata/INN_AEK_EUR.html,,,,,,INN_AEK_EUR,,,,,,,,,,,,113751,,,,,,,362680,,,,,,,,,,,4539,,,,,,,,,,,,,,,,,,14949,,10382,131251,,,230900,,,,,,,,,11073,,,160130,1024359,,,,,,,,,,,,,,,,,40382,,,,,,206592,,1082366,,,,,,,,,,3448,,,,,,5673,42186,,,,,,,3141,,,,,,,,,,,,,,,,327881,,,,,,,86089,,,,,,,,,,434829,63555,,,,12420,,,,,,,,,,,995,,,,30340,20924,,,,664279,,,,,842028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Expenditure for purchase of external R&D, thousand EUR",,metadata/INN_PERD_EUR.html,,,,,,INN_PERD_EUR,,,,,,,,,,,,655194,,,,,,,1697546,,,,,,,,,,,5263,,,,,,,,,,,,,,,,,,29757,,6335,670003,,,1822123,,,,,,,,,28745,,,1329126,6300242,,,,,,,,,,,,,,,,,513578,,,,,,481700,,2553415,,,,,,,,,,10522,,,,,,37390,46595,,,,,,,122,,,,,,,,,,,,,,,,1647519,,,,,,,564138,,,,,,,,,,358825,222392,,,,99841,,,,,,,,,,,850,,,,63878,53385,,,,2474905,,,,,2732695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Expenditure for in-house R&D, thousand EUR",,metadata/INN_INHO_EUR.html,,,,,,INN_INHO_EUR,,,,,,,,,,,,4391348,,,,,,,4553847,,,,,,,,,,,22382,,,,,,,,,,,,,,,,,,555089,,6641,791978,,,4081948,,,,,,,,,117954,,,4669674,22709706,,,,,,,,,,,,,,,,,422854,,,,,,1252918,,10382358,,,,,,,,,,15466,,,,,,50297,294153,,,,,,,22475,,,,,,,,,,,,,,,,4895005,,,,,,,1990228,,,,,,,,,,820463,1069798,,,,164238,,,,,,,,,,,2978,,,,141534,326838,,,,5272486,,,,,7047022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Enterprises engaged in other innovation activities, number",,metadata/INN_OTHE_NB.html,,,,,,INN_OTHE_NB,,,,,,,,,,,,6617,,,,,,,,,,,,,,,,,,2580,,,,,,,,,,,,,,,,,,2142,,506,,,,,,,,,,,,,1510,,,3392,23586,,,,,,,,,,,,,,,,,2901,,,,,,,,,,,,,,,,,,,,,,,,,690,,,,,,,,,,,,,,,,,,,,,,,10507,,,,,,,2674,,,,,,,,,,,,,,,3763,,,,,,,,,,,2688,,,,1640,1356,,,,15576,,,,,8026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Innovation expenditure, total, thousand EUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Innovation expenditure, average per innovating company, thousand EUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Expenditure for acquisition of machinery, equipment and software, thousand EUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Expenditure for acquisition of external knowledge, thousand EUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Expenditure for purchase of external R&D, thousand EUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Expenditure for in-house R&D, thousand EUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Enterprises engaged in other innovation activities, number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
