CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>All types of innovation,Latest available,,,,,,,,,INNOALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Innovative firms, % of total firms",,,,,,,,INFRM_XB,,,,,,,,,,,58.049,53.857,,,,,,,53.745,,,,,,,,72.254,,,,,,,,68.6,,,,,23.681,,,,,,,,,,,41.949,,,50.237,,,,,,,,,45.498,,,50.758,52.013,,,,61.373,,,50.951,,,,,,,,,,31.313,40.12,56.194,,,,33.59,48.371,55,,46.183,,,,,,,,27.476,,,,,,,41.88,,,,,,,,,,,11.69,,,,,,,,,,,,49.437,,20.17,,,,,40.355,,,,,,,,,,22.016,53.545,,28.736,,,9.1,,,,,,,,,,,,,,33.707,45.487,,,,31.283,,,,,53.765,77.367,,,,,,,,,,,47.614,,,,,,,43.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Innovative firms, SMEs, % of total SMEs",,,,,,,,INFRMSME_XSME,,,,,,,,,,,57.738,52.408,,,,,,,52.548,,,,,,,,71.763,,,,,,,,68,,,,,22.66,,,,,,,,,,,40.083,,,48.951,,,,,,,,,44.648,,,49.437,50.764,,,,60.007,,,50.513,,,,,,,,,,29.922,38.639,55.313,,,,32.083,47.477,54.429,,45.32,,,,,,,,26.515,,,,,,,39.93,,,,,,,,,,,11.355,,,,,,,,,,,,48.934,,19.711,,,,,39.786,,,,,,,,,,20.32,52.713,,27.979,,,4.9,,,,,,,,,,,,,,31.974,43.742,,,,30.231,,,,,52.857,76.831,,,,,,,,,,,39.488,,,,,,,42.883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Innovative firms, large firms, % of total large firms",,,,,,,,INFRMLGE_XLGE,,,,,,,,,,,68.332,83.119,,,,,,,81.525,,,,,,,,86.343,,,,,,,,78,,,,,40.062,,,,,,,,,,,76.479,,,78.378,,,,,,,,,78.295,,,76.755,79.783,,,,88.667,,,74.815,,,,,,,,,,65.541,58.929,75.641,,,,69.675,75.998,83.391,,64.54,,,,,,,,61.538,,,,,,,77.215,,,,,,,,,,,14.741,,,,,,,,,,,,64.757,,41.667,,,,,54.261,,,,,,,,,,61.659,86.705,,55.771,,,23.8,,,,,,,,,,,,,,61.616,85.714,,,,74.155,,,,,77.984,90.338,,,,,,,,,,,308.952,,,,,,,48.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Innovative firms, % of total firms",,,,,,,,,,,,,,,,,,,58.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.476,,,,,,,,,,,,,,,,,,11.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Innovative firms, SMEs, % of total SMEs",,,,,,,,,,,,,,,,,,,57.738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.515,,,,,,,,,,,,,,,,,,11.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Innovative firms, large firms, % of total large firms",,,,,,,,,,,,,,,,,,,68.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.538,,,,,,,,,,,,,,,,,,14.741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Innovative firms, % of total firms",,,,,,,,,,,,,,,,,,,,53.857,,,,,,,53.745,,,,,,,,72.254,,,,,,,,68.6,,,,,23.681,,,,,,,,,,,,,,50.237,,,,,,,,,45.498,,,50.758,52.013,,,,61.373,,,50.951,,,,,,,,,,31.313,,,,,,,48.371,55,,46.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.437,,,,,,,,,,,,,,,,,22.016,53.545,,28.736,,,9.1,,,,,,,,,,,,,,33.707,45.487,,,,31.283,,,,,53.765,77.367,,,,,,,,,,,47.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
