CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>Resolving insolvency,Latest available,,,,,,,,,INSOLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Resolving insolvency - Time required to close a business,,,,,,,,CLSBUSTIME,2,2,1.3,,,,3,2.8,1.9,,1,1.1,1.5,,2.5,4,1.8,3,0.9,2,4,,,1.8,3.3,1.7,4,,2.5,3.3,4,5,6,2.8,0.8,,,4.8,4,3.2,1.7,1.7,,3.3,,3,2.2,3.1,,1.5,2.1,,,1,2.3,4,3.5,5.3,2.5,3.5,,,3,3,1.8,0.9,1.9,5,2,2,1.2,1.9,,3.5,,3,3.8,,3,,,3.8,0.8,2,1,4.3,1.9,4.5,,0.4,2,1.8,1.1,0.6,3,1.5,4.5,,4.2,1.5,,1.5,3,2.6,3,,,2.3,2,,3,2.6,1,1.5,3.6,3,2,,1.7,1.8,,,4,1.4,,3.5,1.5,5,2.5,,2,1.1,,1.3,2.2,5,2,,0.9,4,2.6,2,,2.5,3,3.9,3.1,2.7,3,2,2.8,1.5,2.8,3.3,2,2.5,,,,2,2.3,,2.8,3,2,2,2.3,0.8,4,0.8,1,,2,1.5,1.7,2,5,2,2,3,4.1,1.7,1.5,1.8,,3,,2.7,2.5,1.3,4.5,,,,2.2,2.9,3.2,1,3,1.5,1.8,2,2.6,4,5,,1.5,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,"Resolving insolvency - Cost of bankruptcy proceedings, % of estate value",,,,,,,,INSBKRCST_XEV,25,10,7,,,,7,14.5,11,,8,10,12,,9.5,8,15,22,3.5,22.5,21.5,,,14.5,9,18,12,,3.5,9,21,30,18,33.5,7,,,76,60,14.5,22,8.5,,25,,14.5,18,14.5,,14.5,17,,,4,11,10,38,18,22,12,,,9,14.5,10,3.5,9,14.5,14.5,10,8,22,,9,,14.5,8,,28.5,,,14.5,5,14.5,3.5,9,21.6,15,,9,23,22,18,4.2,20,15,22,,10,15,,10,15,20,42.5,,,10,14.5,,8.5,25,10,4,18,10,38,,14.5,18,,,15,8,,18,20.5,18,14.5,,9,3.5,,3.5,14.5,18,22,,1,3.5,4,22.5,,25,23,9,7,32,15,9,22,3.5,15,10.5,9,29,,,,38,5,,22,20,20,11,42,4,18,4,38,,18,11,10,20,30,14.5,9,4.5,16,9,18,10,,15,,22,25,7,14.5,,,,29.5,42,20,6,22,10,7,10,38,38,14.5,,9,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,
,,"Resolving insolvency - Recovery rate, cents on the dollar recouped by creditors",,,,,,,,INSRCVYRT_X,26.5,42.3,50.8,,0,,36,23.1,36.9,,82.1,82.7,39.5,,41.6,25.8,65.4,19.7,89.3,55,18.5,,0,39.8,36.3,63.8,22.4,,47.2,34,18.5,7.2,13.2,15.5,87.3,0,,0,0,31,36.2,70,0,17.9,,26.7,31.3,30.5,,71.4,66,,0,87.8,38.1,28.4,9.2,17.9,26.6,33,0,0,40,29.6,46.5,90.1,77.5,15.2,27.8,39.9,83.7,23.2,,34.9,0,27.5,19.9,0,18.4,0,,18.2,87.2,41.7,84.9,25.7,31.2,19.5,0,87.7,62.1,63.1,64.5,92.3,27,42.8,27.9,0,32,38.3,0,48.1,32.4,28.8,8.4,0,,42.8,43.8,,11.4,12.4,81.3,49.7,22.7,39.6,17.1,0,67.4,68.9,,,17.4,48.3,,28.1,34.1,14.7,34.9,,41.5,88.9,,83.3,33.9,14.7,28,,92.5,38.1,40.9,30.3,,27.6,24.2,19.5,30.3,21.4,58.3,73.4,30,83.6,30.4,32.7,41.7,19.2,,,,18.2,46.6,,0,29.2,30.3,39.3,10.8,88.7,54.7,88.2,24.3,0,35.3,71.2,45.6,31.7,8.4,38.6,76.6,46.6,17.7,36.5,67.5,44.6,0,27.9,,27.6,27.1,52,18.7,,,,39.1,8.3,29,88.6,21,78.6,42.1,41.3,42.7,6.4,20.1,,45.4,,,,81.8,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Resolving insolvency - Time required to close a business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,1.7,2,,2,,,,1.7,2.7,,,3,,2.7,2.5,1.3,,,,,2.2,2.9,3.2,,3,,1.8,2,,4,5,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Resolving insolvency - Cost of bankruptcy proceedings, % of estate value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,38,,,,10,20,,14.5,,,,9,36,,,15,,22,25,7,,,,,29.5,42,20,,22,,7,10,,38,14.5,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Resolving insolvency - Recovery rate, cents on the dollar recouped by creditors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.2,,,,,,24.4,,,,42.4,31.9,,38.7,,,,36.9,42.3,,,27.9,,27.1,27.1,52.3,,,,,37.9,8.6,28.6,,21.2,,44.2,39.9,,6.7,18.6,,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Resolving insolvency - Time required to close a business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,1.7,2,,2,,,,1.7,2.7,,,3,,2.7,2.5,1.3,,,,,2.2,2.9,3.2,,3,,1.8,2,,4,5,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
