CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Investments on intangible fixed assets,Latest available,,,,,,,,,INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Investments on intangible fixed assets, million NC",,,,,,,,INTANG_NC,,,,,,,,5207.371,,,46099,15988.7,,,,,,,18206.1,,,,,,,,114347,,,1237.492,,,,,52701,,,,,2461184.996,,2105000,,,,145615.4,,,,219.192,185087,,,103980,,,,,,,,,535.945,,,8831,118087,,,,119300,,,2740.265,,,,,,,,,,923441,50899,,116800430,,,49433.221,47786.005,47547.3,,29470700,,,,,,,,359.237,,,,,,608.609,790.638,,,,,,,317.111,,,,77094,,,,,,,,,,,,33531,,8419,,,,,103191,,,,,,,,1763,,25253.3,4609.802,,93238900,,15880.1,,,,,,,,,,,,,,,1206.223,1194.357,,,,33009,,,,,279751,46789.804,,,,,,,,,,,,,,,,,,70220,,951641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604638.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Investments on intangible fixed assets, million USD PPPs",,,,,,,,INTANG_PPP,,,,,,,,564.975,,,31520.098,20048.5,,,,,,,22819.292,,,,,,,,66091.138,,,1821.525,,,,,41523.496,,,,,6722.217,,1749.488,,,,393.96,,,,337.456,14390.979,,,14370.112,,,,,,,,,990.543,,,9759.925,146965.579,,,,153341.781,,,4484.286,,,,,,,,,,6910.195,361.053,,28765.355,,,61139.043,12645.425,65745.854,,287341.887,,,,,,,,730.03,,,,,,1350.89,900.509,,,,,,,528.632,,,,9174.666,,,,,,,,,,,,41678.732,,5832.213,,,,,10287.733,,,,,,,,1130.128,,14396.928,7881.422,,104322.918,,9832.176,,,,,,,,,,,,,,,2477.644,2039.238,,,,49975.725,,,,,31138.051,37891.042,,,,,,,,,,,,,,,,,,101249.177,,951641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677051.607,,,826628.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Investments on intangible fixed assets, million constant USD PPPs",,,,,,,,INTANG_PPPK,,,,,,,,2365.912,,,30677.303,19019.845,,,,,,,21803.068,,,,,,,,82492.668,,,1831.47,,,,,43157.413,,,,,6111.634,,1894.399,,,,430.092,,,,313.651,13562.751,,,13723.478,,,,,,,,,1048.509,,,9825.209,138429.026,,,,148465.964,,,3802.538,,,,,,,,,,7318.627,383.752,,34099.354,,,58298.619,12027.702,61613.833,,263987.283,,,,,,,,739.017,,,,,,1353.851,855.737,,,,,,,554.958,,,,10054.283,,,,,,,,,,,,39334.105,,5629.193,,,,,11297.089,,,,,,,,1051.175,,14018.113,7411.62,,110923.518,,10346.733,,,,,,,,,,,,,,,2406.877,1875.797,,,,45493.279,,,,,31056.083,31974.435,,,,,,,,,,,,,,,,,,100179.177,,951641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645819.115,,,791788.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Investments on intangible fixed assets, % of total gross fixed capital formation",,metadata/INTANG_XGFCF.html,,,,,,INTANG_XGFCF,,,,,,,,,,,10.924,19.927,,,,,,,19.302,,,,,,,,9.957,,,,,,,,11.303,,,,,7.246,,,,,,,,,,,15.533,,,25.109,,,,,,,,,11.373,,,19.023,24.131,,,,18.935,,,13.621,,,,,,,,,,11.984,9.895,,3.05,,,56.37,19.825,15.812,,23.708,,,,,,,,7.848,,,,,,,8.561,,,,,,,,,,,1.88,,,,,,,,,,,,23.942,,14.823,,,,,13.75,,,,,,,,,,7.554,15.933,,19.187,,,2.949,,,,,,,,,,,,,,8.467,16.81,,,,14.645,,,,,26.178,26.585,,,,,,,,,,,,,,,,,,21.725,,26.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Investments on intangible fixed assets, % of GDP",,,,,,,,INTANG_XGDP,,,,,,,,0.056,,,2.786,4.577,,,,,,,4.438,,,,,,,,1.979,,,1.336,,,,,2.599,,,,,1.653,,0.263,,,,0.497,,,,1.224,3.925,,,5.045,,,,,,,,,2.525,,,4.125,5.298,,,,3.592,,,1.558,,,,,,,,,,2.597,2.102,,1.013,,,18.595,3.795,2.688,,5.555,,,,,,,,1.436,,,,,,1.575,1.525,,,,,,,3.115,,,,0.424,,,,,,,,,,,,4.772,,3.344,,,,,3.121,,,,,,,,0.306,,1.364,2.367,,5.789,,2.377,,,,,,,,,,,,,,,1.708,3.085,,,,2.918,,,,,6.312,6.351,,,,,,,,,,,,,,,,,,3.62,,5.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Intangible fixed assets (expenditure), USD, constant PPPs, OECD base year, millions",,metadata/INTANG_OBY.html,,,,,,INTANG_OBY,,,,,,,,624.437,,,31834.359,17153.143,,,,,,,,,,,,,,,,,,1636.216,,,,,37213.543,,,,,5298.285,,,,,,329.472,,,,336.05,12281.051,,,12990.583,,,,,,,,,852.206,,,8746.005,133192.527,,,,136195.519,,,3816.272,,,,,,,,,,6025.643,273.881,,,,,55335.572,10268.219,60642.21,,261505.156,,,,,,,,516.485,,,,,,1347.233,712.844,,,,,,,504.882,,,,8271.164,,,,,,,,,,,,38062.052,,5645.743,,,,,9754.474,,,,,,,,1070.292,,13312.242,7520.569,,100709.963,,3736.134,,,,,,,,,,,,,,,2388.422,1691.555,,,,44671.867,,,,,29253.782,31302.711,,,,,,,,,,,,,,,,,,93470.945,,907019.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738095.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Investments on intangible fixed assets, annual growth rates, %",,,,,,,,INTANG_GRO,,,,,,,,-1.247,,,-0.171,,,,,,,,8.508,,,,,,,,,,,-1.158,,,,,-3.097,,,,,-4.482,,3.839,,,,7.148,,,,-29.01,3.163,,,4.171,,,,,,,,,10.489,,,-3.249,3.63,,,,5.523,,,0.228,,,,,,,,,,-2.278,-1.821,,2.026,,,111.148,-3.083,-1.173,,4.529,,,,,,,,-20.794,,,,,,-10.142,1.608,,,,,,,5.407,,,,2.525,,,,,,,,,,,,1.79,,1.815,,,,,,,,,,,,,3.766,,6.394,0.125,,2.265,,6.813,,,,,,,,,,,,,,,-15.353,-0.255,,,,2.716,,,,,1.415,8.148,,,,,,,,,,,,,,,,,,1.28,,5.434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Investments on intangible fixed assets, million NC",,,,,,,,,,,,,,,,,,,,15988.7,,,,,,,,,,,,,,,,,,1237.492,,,,,52701,,,,,,,,,,,,,,,219.192,185087,,,103980,,,,,,,,,528.098,,,8831,118087,,,,112567,,,2740.265,,,,,,,,,,,50899,,,,,49433.221,,44959.189,,,,,,,,,,359.237,,,,,,608.609,826.6,,,,,,,308.368,,,,,,,,,,,,,,,,33531,,,,,,,97154,,,,,,,,,,25253.3,4378,,,,,,,,,,,,,,,,,,,1382.749,1226.806,,,,32507,,,,,276155,,,,,,,,,,,,,,,,,,,70220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589670.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
