CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>Regional inequalities for workers in knowledge-intensive services,Latest available,,,,,,,,,KIS_LF_INEQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Concentration of workers in knowledge-intensive services in the 20% top region, percentage",,,,,,,,KIS_LF_TOP20,,,,,,,,,,,,0.252,,,,,,,0.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.309,,,0.248,,,,,,,,,0.2,,,0.253,0.302,,,,0.191,,,,,,,,,,,,,0.26,,,,,,0.213,,0.272,,0.249,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,0.215,,,,,,,0.241,,,,,,,,,,0.287,0.251,,,,,,,,,,,,,,,,,,,0.172,0.241,,,,0.322,,,,,0.253,0.191,,,,,,,,,,,0.319,,,,,,,0.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243,,,,,,,,,,,,
,,Workers in knowledge-intensive services Hirshman-Herfindal index,,,,,,,,KIS_LF_HHI,,,,,,,,,,,,0.055,,,,,,,0.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.063,,,,,,,,,,,,0.081,0.05,,,,0.054,,,,,,,,,,,,,0.085,,,,,,0.306,,0.041,,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127,,,,,,,0.038,,,,,,,,,,0.031,0.119,,,,,,,,,,,,,,,,,,,0.005,0.02,,,,0.067,,,,,0.056,0.029,,,,,,,,,,,0.049,,,,,,,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Concentration of workers in knowledge-intensive services in the 20% top region, percentage",,,,,,,,,,,,,,,,,,,,0.252,,,,,,,0.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.309,,,0.248,,,,,,,,,0.2,,,0.253,0.302,,,,0.191,,,,,,,,,,,,,0.26,,,,,,0.213,,0.272,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,0.215,,,,,,,0.241,,,,,,,,,,0.287,0.251,,,,,,,,,,,,,,,,,,,0.172,0.241,,,,0.322,,,,,0.253,0.191,,,,,,,,,,,0.319,,,,,,,0.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243,,,,,,,,,,,,
,,Workers in knowledge-intensive services Hirshman-Herfindal index,,,,,,,,,,,,,,,,,,,,0.055,,,,,,,0.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.063,,,,,,,,,,,,0.081,0.05,,,,0.054,,,,,,,,,,,,,0.085,,,,,,0.306,,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127,,,,,,,0.038,,,,,,,,,,0.031,0.119,,,,,,,,,,,,,,,,,,,0.005,0.02,,,,0.067,,,,,0.056,0.029,,,,,,,,,,,0.049,,,,,,,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Concentration of workers in knowledge-intensive services in the 20% top region, percentage",,,,,,,,,,,,,,,,,,,,0.247,,,,,,,0.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.317,,,0.247,,,,,,,,,0.2,,,0.253,0.306,,,,0.191,,,,,,,,,,,,,0.261,,,,,,0.214,,0.267,,0.249,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,0.215,,,,,,,0.248,,,,,,,,,,0.292,0.249,,,,,,,,,,,,,,,,,,,0.178,0.237,,,,0.327,,,,,0.25,0.192,,,,,,,,,,,0.319,,,,,,,0.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204,,,,,,,,,,,,
,,Workers in knowledge-intensive services Hirshman-Herfindal index,,,,,,,,,,,,,,,,,,,,0.053,,,,,,,0.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,,,0.061,,,,,,,,,,,,0.08,0.052,,,,0.054,,,,,,,,,,,,,0.084,,,,,,0.317,,0.039,,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127,,,,,,,0.04,,,,,,,,,,0.032,0.12,,,,,,,,,,,,,,,,,,,0.007,0.015,,,,0.069,,,,,0.054,0.03,,,,,,,,,,,0.049,,,,,,,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
