CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Labour productivity,Latest available,,,,,,,,,LABPROD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Labour productivity, GDP per hour worked, USD PPPs",,metadata/PDYC_PPP.html,,,,,,PDYC_PPP,,,,,,,,28.398,12.058,,55.834,62.937,,,,3.324,22.407,,72.06,,,,,,,,17.453,,,24.15,,,2.307,,50.788,,,,,26.244,,15.679,,,,18.337,,,,43.26,39.761,,,70.398,,,,14.502,,,,,33.646,,,57.916,66.852,,,,67.983,,,34.73,,,,,,,,,50.303,33.793,45.682,,11.955,,,95.831,41.134,53.876,11.708,45.481,,,,,,,,30.008,,,,,,33.423,97.539,,,,25.685,,,40.766,,,,20.161,,,,,,,,,,,,68.295,,42.889,,,10.69,,78.653,,7.621,,,,,,15.094,8.939,32.048,36.91,,32.021,,26.602,23.905,,,15.312,,,,,,,,,,58.972,40.79,43.136,,,,52.421,14.784,,,,61.649,66.445,,,12.853,,,,,,,,38.554,,,,,,,52.701,,69.631,28.548,,,23.935,4.484,,,,,,46.923,,,,,,,,,,,,,,,,,,,,,,,54.633,,,,,53.585,,,,,56.766,,,,,,,,,,,,,,,51.16,,,,,,,,47.448,,,,
,,"Labour productivity, GDP per hour worked, constant USD PPPs",,metadata/PDYC_PPPK.html,,,,,,PDYC_PPPK,,,,,,,,10.861,10.214,,52.694,53.85,,,,2.392,22.968,,64.386,,,,,,,,12.061,,,22.245,,,2.047,,48.885,,,,,23.683,,13.299,,,,16.24,,,,43.323,34.686,,,63.495,,,,12.61,,,,,30.346,,,51.413,59.952,,,,59.778,,,30.891,,,,,,,,,42.942,30.978,40.452,,9.299,,,83.215,35.08,47.358,8.508,41.384,,,,,,,,26.443,,,,,,29.843,83.564,,,,23.593,,,36.802,,,,18.531,,,,,,,,,,,,61.651,,37.784,,,7.838,,79.177,,5.004,,,,,,13.064,8.054,29.027,32.697,,31.82,,22.41,23.843,,,13.753,,,,,,,,,,57.344,38.308,37.441,,,,47.176,9.855,,,,56.416,57.216,,,11.806,,,,,,,,36.435,,,,,,,47.51,,63.26,18.704,,,4.345,3.076,,,,,,44.959,,,,,,,,,,,,,,,,,,,,,,,45.11,,,,,47.66,,,,,48.452,,,,,,,,,,,,,,,46.82,,,,,,,,39.921,,,,
,,"Labour productivity, annual growth rate at constant prices, %",,metadata/PDYC_GRO.html,,,,,,PDYC_GRO,,,,,,,,,,,1.448,0.589,,,,,,,0.862,,,,,,,,,,,,,,,,0.655,,,,,0.767,,,,,,4.282,,,,,0.024,,,0.219,,,,,,,,,1.573,,,1.561,0.983,,,,1.002,,,-1.38,,,,,,,,,,-1.016,-0.16,,,,,2.367,0.141,-0.8,,1.453,,,,,,,,1.973,,,,,,-1.049,1.325,,,,,,,,,,,0.062,,,,,,,,,,,,0.218,,0.633,,,,,0.349,,,,,,,,,,2.032,1.224,,1.917,,,-0.126,,,,,,,,,,,,,,2.139,2.465,,,,0.629,,,,,0.539,-1.041,,,,,,,,,,,3.067,,,,,,,-0.534,,0.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.638,,,,,0.776,,,,,0.824,,,,,,,,,,,,,,,1.058,,,,,,,,0.787,,,,
,,"Labour productivity, GDP per hour worked, index 2005=100",,,,,,,,PDYC_I,,,,,,,,,,,112.981,109.265,,,,,,,103.866,,,,,,,,,,,,,,,,108.209,,,,,122.118,,,,,,,,,,,114.28,,,103.009,,,,,,,,,126.839,,,103.499,106.724,,,,107.264,,,99.827,,,,,,,,,,116.742,111.655,,,,,120.848,110.847,99.954,,107.736,,,,,,,,123.757,,,,,,137.602,99.948,,,,,,,,,,,104.257,,,,,,,,,,,,103.789,,109.339,,,,,96.522,,,,,,,,,,127.86,109.968,,136.318,,,125.17,,,,,,,,,,,,,,129.424,110.064,,,,113.365,,,,,104.907,108.218,,,,,,,,,,,111.479,,,,,,,103.548,,109.339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.825,,,,,,,,,,,,,,,,,,,,108.006,,,,,,,,,,,,
,,"GDP per person employed, USD PPPs",,,,,,,,GDPE_PPP,,,,,,,,48084.94,,,96422.881,100776.836,,,,,,,112946.394,,,,,,,,30265.145,,,,,,,,86489.759,,,,,52173.098,25536.386,31089.457,,,,39552.062,,,,,70711.262,,,99187.819,,,,,,,,,62420.762,,,94689.399,100461.089,,,,92698.524,,,70692.067,,,,,,,,,,59495.803,85882.929,16455.86,24754.053,,,166624.666,77590.885,93194.189,,78181.241,,,,,,,,57301.557,,,,,,63003.431,147512.328,,,,,,,,,,,43079.491,,,,,,,,,,,,98121.161,,75141.694,,,,,112429.992,,,,,,,,,,65710.345,67991.256,,67704.918,,,47188.854,,,,,,,,,,,,,,71549.675,71904.526,,,,89187.865,,,,,100269.415,107375.666,,,,,,,,,,,70869.315,,,,,,,88154.429,,121264.145,,,,,,,,,,,,,,,,,,,,,,23930.094,,,,,,,,,,,,86182.6,,,,,87325.825,,,,,,,,,,,,,,,,,,,,89650.634,,,,,,,,,,,,
,,"GDP per person employed, constant USD PPPs",,metadata/GDPE_PPPK.html,,,,,,GDPE_PPPK,,,,,,,,45552.069,,,91000.277,86225.531,,,,,,,99761.328,,,,,,,,27488.8,,,,,,,,83250.175,,,,,47082.099,23539.464,28237.336,,,,35027.962,,,,,61684.77,,,89461.665,,,,,,,,,56297.445,,,84056.817,90092.27,,,,81509.737,,,62876.366,,,,,,,,,,54538.51,76048.895,14547.3,22825.227,,,144688.824,66172.255,81919.256,,71138.725,,,,,,,,50494.397,,,,,,56254.911,126377.419,,,,,,,,,,,39596.63,,,,,,,,,,,,88575.392,,66198.39,,,,,113179.886,,,,,,,,,,59515.983,60229.847,,67279.989,,,47066.959,,,,,,,,,,,,,,67196.401,62411.246,,,,80262.776,,,,,91758.36,92075.08,,,,,,,,,,,67293.187,,,,,,,79471.068,,110168.426,,,,,,,,,,,,,,,,,,,,,,21952.795,,,,,,,,,,,,71159.841,,,,,77670.676,,,,,,,,,,,,,,,,,,,,82044.047,,,,,,,,70222,,,,
,,"GDP per person employed, annual growth rate at constant prices, %",,metadata/GDPE_GRO.html,,,,,,GDPE_GRO,,,,,,,,1.403,,,1.099,0.173,,,,,,,-0.09,,,,,,,,-1.809,,,,,,,,0.412,,,,,0.666,6.642,1.021,,,,5.326,,,,,1.291,,,-0.015,,,,,,,,,1.769,,,1.421,0.535,,,,0.686,,,-1.262,,,,,,,,,,-0.214,0.697,5.854,4.619,,,2.261,0.229,-0.384,,0.866,,,,,,,,2.015,,,,,,0.309,1.149,,,,,,,,,,,0.33,,,,,,,,,,,,1.119,,0.347,,,,,0.835,,,,,,,,,,2.099,-0.226,,1.455,,,-0.328,,,,,,,,,,,,,,1.818,1.195,,,,0.739,,,,,1.563,-0.056,,,,,,,,,,,0.817,,,,,,,0.38,,-0.223,,,,,,,,,,,,,,,,,,,,,,3.852,,,,,,,,,,,,0.318,,,,,0.625,,,,,,,,,,,,,,,,,,,,1.082,,,,,,,,1.3,,,,
,,"Productivity levels, gap with respect to US GDP per capita",,metadata/GPIN.html,,,,,,GPIN,,,,,,,,,,,-17.054,-12.964,,,,,,,-18.91,,,,,,,,-71.682,,,,,,,,-23.556,,,,,-59.234,-74.498,-75.466,,,,,,,,,-39.006,,,-13.511,,,,,,,,,-48.546,,,-24.705,-27.958,,,,-14.936,,,-53.654,,,,,,,,,,-53.658,-11.232,-89.115,-79.633,,,26.36,-34.165,-33.763,,-27.881,,,,,,,,-54.969,,,,,,,83.653,,,,,,,,,,,-67.733,,,,,,,,,,,,-10.951,,-32.572,,,,,3.054,,,,,,,,,,-52.312,-46.829,,-37.924,,,-59.673,,,,,,,,,,,,,,-46.834,-41.962,,,,-36.721,,,,,-14.206,10.675,,,,,,,,,,,-57.223,,,,,,,-25.941,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-31.183,,,,,-16,,,,,,,,,,,,,,,-28.484,,,,,,,,-28,,,,
,,"Productivity levels, gap with respect to US labour utilisation",,metadata/GPLU.html,,,,,,GPLU,,,,,,,,,,,3.443,-3.707,,,,,,,-22.586,,,,,,,,,,,,,,,,4.807,,,,,7.58,,,,,,,,,,,6.816,,,-14.452,,,,,,,,,6.485,,,-9.474,-24.963,,,,-12.873,,,-7.08,,,,,,,,,,-4.512,26.986,,,,,-8.186,8.111,-14.392,,8.951,,,,,,,,4.49,,,,,,,31.106,,,,,,,,,,,7.959,,,,,,,,,,,,-9.208,,9.472,,,,,-8.766,,,,,,,,,,3.611,0.307,,30.755,,,17.465,,,,,,,,,,,,,,-10.792,-6.314,,,,-15.946,,,,,-3.097,15.865,,,,,,,,,,,-23.295,,,,,,,-2.15,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.576,,,,,-2,,,,,,,,,,,,,,,-1.987,,,,,,,,-1,,,,
