CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Labour force,Latest available,,,metadata/LF.html,,,,,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Labour force, civilian",,metadata/LF_NB.html,,,,,,LF_NB,,,,,,,,,,,12666.21,4490.25,,,,,,,4976.3,,,,,,,,104479.8,,,,,,,,19440.5,,,,,8678.005,,24404.94,,,,,,,,,5349.975,,,3026.775,,,,,,,,,691.4,,,2684.875,29556.25,,,,43041.38,,,4804.5,,,,,,,,,,4586.225,196.3,,,,,2193.125,3925.18,25769.88,,66480,,,,,,,,988.625,,,,,,,277.975,,,,,,,,,,,53539.57,,,,,,,,,,,,8965.55,,2598,,,,,2767.65,,,,,,,,,,17260.28,5178.275,,27247.18,,,76636.12,,,,,,,,,,,,,,2758.9,994.575,,,,22822.72,,,,,5278.925,4842.55,,,,,,,,,,,30523.97,,,,,,,33227.02,,159186.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158360.1,19067.938,,241486.7,245092.1,,,,,367673.9,,,,,,,,,,,,,,,621407.4,,,,,,,,595724.4,,,,
,,"Labour force, civilian, 15-24, thousand",,,,,,,,LF1524_NB,,,,,,,,,,,2107.37,564.72,,,,,,,372.004,,,,,,,,18708.23,,,161.109,,,,,2795.4,,,,,966.478,109419.98,4441.09,,,,368.25,,176.396,,37.153,329.55,,,481.593,,,,,,,,,59.535,,,340.69,2698.1,,,,4190.57,,,261.536,,,,,,,,,,345.79,32.65,70033.704,20904.323,,,207.9,621.003,1570.756,,5470,,,,,,,,74.327,,,,,,122.966,18.574,,,,,,,25.425,,,,9511.7,,,,,,,,,33511.1,,,1408.6,,416.3,,,,,369,,,,,,,,,,1380.76,364.3,,1855,,607.077,6062.12,,,,,,,,,,,,,,206.095,67.91,,,,1476.42,,,,,638.4,627.661,,,,85.942,,,,,,,5026,,,,,,,4462.802,,21204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22620.124,27494.175,,,,,,,,,,,,,,,,,,,72510.11,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Labour force, civilian",,,,,,,,,,,,,,,,,,,12664.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8678.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27247.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159186.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Labour force, civilian, 15-24, thousand",,,,,,,,,,,,,,,,,,,2107.37,564.72,,,,,,,372.004,,,,,,,,,,,161.109,,,,,2795.4,,,,,966.478,,4441.09,,,,368.25,,176.396,,37.153,329.55,,,481.593,,,,,,,,,59.535,,,340.69,2698.1,,,,4190.57,,,261.536,,,,,,,,,,345.79,32.65,,,,,207.9,621.003,1570.756,,5470,,,,,,,,74.327,,,,,,122.966,18.574,,,,,,,25.425,,,,9511.7,,,,,,,,,33511.1,,,1408.6,,416.3,,,,,369,,,,,,,,,,1380.76,364.3,,1855,,607.077,6062.12,,,,,,,,,,,,,,206.095,67.91,,,,1476.42,,,,,638.4,627.661,,,,85.942,,,,,,,5026,,,,,,,4462.802,,21204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22620.124,,,,,,,,,,,,,,,,,,,,72510.11,,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Labour force, civilian",,,,,,,,,,,,,,,,,,,12509.96,4389.594,,,,,,,4973.663,,,,,,,,,,,,,,,,19278,,,,,8559.572,,24173.34,,,,,,,,,5295.579,,,2932.9,,,,,,,,,680.1,,,2680,,,,,41971,,,4805.686,,,,,,,,,,4501.945,191.34,,,,,2165.3,3845.72,25248.84,,65980,,,,,,,,994.2,,,,,,,423.5,,,,,,,,,,,52623.72,,,,,,,,,,,,8932.5,,2501,,,,,2756,,,,,,,,,,17388,5167,,26912.56,,,76587.55,,,,,,,,,,,,,,2738.3,1008.146,,,,22831.15,,,,,5223.3,5181.875,,,,,,,,,,,29678,,,,,,,32629.8,,157129.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243729.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Labour force, civilian, 15-24, thousand",,,,,,,,,,,,,,,,,,,2107.33,559.213,,,,,,,395.053,,,,,,,,18708.23,,,182.814,,,,,2847.2,,,,,1021.559,,4511.797,,,,388.502,,162.02,,39.258,346.598,,,448.982,,,,,,,,,59.167,,,346,2702.9,,,,4094.426,,,279.247,,,,,,,,,,340.658,32.131,,,,,187,617.458,1554.602,,5250,,,,,,,,82.978,,,,,,124.925,23.264,,,,,,,27.273,,,,9625.62,,,,,,,,,33695.82,,,1402.412,,404.7,,,,,379.6,,,,,,,,,,1373.739,369.5,,1862.2,,684.286,6507.02,,,,,,,,,,,,,,209.141,72.046,,,,1553.54,,,,,649.8,624.94,,,,92.5,,,,,,,4958,,,,,,,4502,,21223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22772.843,,,,,,,,,,,,,,,,,,,,72506.004,,,,,,,,,,,,
,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
