CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>Large firms,Latest available,,,,,,,,,LGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, large firms, million NC",,metadata/BE_LGE_NC.html,,,,,,BE_LGE_NC,,,,,,,,,,,11487.9,3170.758,,,,,,,3607.036,,,,,,,,,,,276.636,,,,,8564,,,,,117593.4,,,,,,,,860.301,,4.037,19302.32,,,25444,,,,,,,,,52.091,,,2550.1,18837.3,,,,44831.5,,,263.2,,,,,,,,,,129949.4,2876.6,,,,,710,,7306.52,,12739360,,,,,,,,8.9,,,,,,26.609,64.3,,,,,,,5.004,,,,,,,,,,,,,,,,3650.815,,285,,,,,10919.7,,,,,,,,,,4312,521.595,,38005460,,411.105,,,,,,,,,,,,,,2154.6,122.369,352.278,,,,3104.918,,,,,62901,7829,,,,,,,,,,,,,,,,,,11374.6,,,,,,,,,,,,,332924.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, large firms, million USD PPPs",,,,,,,,BE_LGE_PPP,,,,,,,,,,,7602.585,3977.96,,,,,,,4474.309,,,,,,,,,,,435.647,,,,,6996.729,,,,,310.471,,,,,,,,232.64,,6.368,1523.926,,,3459.488,,,,,,,,,98.922,,,2813.742,23208.86,,,,57863.22,,,416.927,,,,,,,,,,1008.863,20.498,,,,,725.464,,9939.574,,124209.9,,,,,,,,17.936,,,,,,58.74,71.823,,,,,,,8.888,,,,,,,,,,,,,,,,4551.561,,197.098,,,,,1172.816,,,,,,,,,,2450.204,902.93,,42668.08,,254.536,,,,,,,,,,,,,,2418.182,253.37,603.077,,,,4684.094,,,,,7316.043,5781.821,,,,,,,,,,,,,,,,,,16416.74,,,,,,,,,,,,,21891.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, large firms, million constant USD PPPs",,,,,,,,BE_LGE_PPPK,,,,,,,,,,,7449.432,2836.641,,,,,,,3818.316,,,,,,,,,,,,,,,,6493.672,,,,,267.149,,,,,,,,,,,1020.013,,,3089.12,,,,,,,,,255.651,,,3460.78,19935.537,,,,53164.41,,,317.301,,,,,,,,,,735.652,,,,,,662.564,,8549.359,,119566.03,,,,,,,,16.878,,,,,,59.387,410.111,,,,,,,17.195,,,,,,,,,,,,,,,,3584.875,,191.199,,,,,1023.034,,,,,,,,,,1631.147,1153.393,,38580.523,,205.277,,,,,,,,,,,,,,2390.382,336.186,553.403,,,,4456.966,,,,,6085.611,5740.82,,,,,,,,,,,,,,,,,,13429.942,,,,,,,,,,,,,19153.936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, large firms, % of total BERD",,metadata/BE_LGE_XBE.html,,,,,,BE_LGE_XBE,,,,,,,,,,,63.515,59.009,,,,,,,60.348,,,,,,,,,,,63.31,,,,,59.926,,,,,57.518,,,,,,,,68.717,,27.685,56.458,,,74.599,,,,,,,,,46.085,,,72.626,67.997,,,,88.142,,,60.788,,,,,,,,,,50.958,14.301,,,,,57.425,,67.496,,93.6,,,,,,,,25.212,,,,,,22.873,67.33,,,,,,,14.955,,,,,,,,,,,,,,,,57.346,,26.735,,,,,43.663,,,,,,,,,,62.939,51.772,,74.884,,49.472,,,,,,,,,,,,,,50.226,63.162,54.875,,,,49.624,,,,,78.608,72.19,,,,,,,,,,,,,,,,,,70.756,,,,,,,,,,,,,83.873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.861,,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, large firms, million NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117593.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2876.6,,,,,,,,,12739356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38005464.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332924.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, large firms, million USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.498,,,,,,,,,124209.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42668.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21891.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, large firms, million constant USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, large firms, % of total BERD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.301,,,,,,,,,93.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, large firms, million NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.636,,,,,,,,,,112595.617,,,,,,,,860.301,,4.037,19302.32,,,,,,,,,,,,52.091,,,2550.1,,,,,,,,,,,,,,,,,,129949.4,3442.3,,,,,,,7306.52,,12622075,,,,,,,,8.9,,,,,,26.609,,,,,,,,5.004,,,,,,,,,,,,,,,,3650.815,,,,,,,10919.7,,,,,,,,,,4312,521.595,,37653450.01,,411.105,,,,,,,,,,,,,,,122.369,352.278,,,,3104.918,,,,,,,,,,,,,,,,,,,,,,,,11374.6,,,,,,,,,,,,,309547.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, large firms, million USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435.647,,,,,,,,,,307.532,,,,,,,,232.64,,6.368,1523.926,,,,,,,,,,,,98.922,,,2813.742,,,,,,,,,,,,,,,,,,1008.863,24.883,,,,,,,9939.574,,123174.6,,,,,,,,17.936,,,,,,58.74,,,,,,,,8.888,,,,,,,,,,,,,,,,4551.561,,,,,,,1172.816,,,,,,,,,,2450.204,902.93,,43243.13,,254.536,,,,,,,,,,,,,,,253.37,603.077,,,,4684.094,,,,,,,,,,,,,,,,,,,,,,,,16416.74,,,,,,,,,,,,,20797.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, large firms, million constant USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, large firms, % of total BERD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.31,,,,,,,,,,61.729,,,,,,,,68.717,,27.685,56.458,,,,,,,,,,,,46.085,,,72.626,,,,,,,,,,,,,,,,,,50.958,20.596,,,,,,,67.496,,93.397,,,,,,,,25.212,,,,,,22.873,,,,,,,,14.955,,,,,,,,,,,,,,,,57.346,,,,,,,43.663,,,,,,,,,,62.939,51.772,,75.957,,49.472,,,,,,,,,,,,,,,63.162,54.875,,,,49.624,,,,,,,,,,,,,,,,,,,,,,,,70.756,,,,,,,,,,,,,83.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
