CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Mobility,Latest available,,,,,,,,,MBLTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Road passengers, million passenger-kilometre",,metadata/RDPSSG_PK.html,,,,,,RDPSSG_PK,,8650,,,,,,,2396,,296202,10306,21880,,,,,8220,131348,,,,,,1764,,,,,10231,,,,,493000,,,,,76.337,1208410,,,,,,,3377,,,79701,,,66554,,,,,,,,,2569,,,73835,883810,,,6756,999590,,,42182,,,,,,,,,,72221,6326,8671295,,,,1678,,782480,,898720,,,,,,,,2314,,,,,,27322,347,,,,,,,,,,,484776,,,,108,,,,,,,,163236,,,,,,,67273,,,,,,,,,,258099,96756,,368516,2922,14061,126623,,,,,,,,,,,,,,32799,28819,,,,363942,,,,,126386,96690,,,,9263,,,,,,,290734,,,,,49704,,693834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"International migrants, thousand",,metadata/INTMGRT_NB.html,,,,,,INTMGRT_NB,,,,,,,,,,,321631,114.936,,,,,,,117.948,,,,,,,,,,,22.542,,,,,247143,,,,,441.529,,,,,,,,,,,22.59,,,34.572,,,,,,,,,1.675,,,20.416,134797,,,,841.695,,,23.206,,,,,,,,,,22.513,2.754,,,,,33.7,16.892,354.327,,266.867,,,,,,,,2.999,,,,,,1.673,19.108,,,,,,,,,,,21.464,,,,,,,,,,,,118.457,,40.796,,,,,70.759,,,,,,,,,,41.336,33.038,,307.249,,15.538,356.535,,,,,,,,,,,,,,8.224,17.972,,,,416.282,,,,,75.852,142.471,,,,,,,,,,,29.905,,,,,,,473800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609,322,,,,,,,,,,,,
,,"Foreign-born population, thousand",,metadata/FRBNPOP_NB.html,,,,,,FRBNPOP_NB,,,,,,,,,,,6600750,1484595,,,,,,,1811697,,,,,,,,,,,,,,,,7029.1,,,,,,,,,,,,,,,,744.831,,,501057,,,,,,,,,133195,,,321977,7680.831,,,,10689000,,,727477,,,,,,,,,,476080,39221,,,,,754.209,1817000,5805300,,1294.341,,,,,,,,265418,,,,,,207,248900,,,,,,,,,,,939905,,,,,,,,,,,,1996319,,1050155,,,,,741812,,,,,,,,,,0,879.563,,150.812,,,11195,,,,,,,,,,,,,,177624,341230,,,,6154683,,,,,1603551,2354837,,,,,,,,,,,0,,,,,,,8482000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Road passengers, million passenger-kilometre",,,,,,,,,,,,,,,,,2396,,296202,,,,,,,,,,,,,,,,,,,10231,,,,,,,,,,,,,,,,,,3377,,,79701,,,,,,,,,,,,,,,73835,,,,6756,,,,,,,,,,,,,,72221,6326,8671295,,,,,,782480,,,,,,,,,,2314,,,,,,27322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2922,,126623,,,,,,,,,,,,,,32799,,,,,363942,,,,,126386,,,,,9263,,,,,,,290734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"International migrants, thousand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Foreign-born population, thousand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Road passengers, million passenger-kilometre",,,,,,,,,,,,,,,,,2537,,292670,,,,,,,,,,,,,,,,,,,10145,,,,,,,,,,,1208410,,,,,,,3648,,,76270,,,66554,,,,,,,,,2569,,,73060,883810,,,6572,999590,,,,,,,,,,,,,70163,5899,7946568,,,,,,745735,,,,,,,,,,2330,,,,,,27038,,,,,,,,,,,,,,,,108,,,,,,,,,,,,,,,67273,,,,,,,,,,258099,,,368516,2874,14061,127353,,,,,,,,,,,,,,32532,,,,,348173,,,,,124150,96690,,,,9243,,,,,,,276073,,,,,,,693834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"International migrants, thousand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Foreign-born population, thousand",,,,,,,,,,,,,,,,,,,6600750,1484595,,,,,,,1811697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501057,,,,,,,,,133195,,,321977,,,,,10689000,,,727477,,,,,,,,,,476080,39221,,,,,,1817000,5805300,,,,,,,,,,265418,,,,,,,248900,,,,,,,,,,,939905,,,,,,,,,,,,1996319,,1050155,,,,,741812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177624,341230,,,,6154683,,,,,1603551,2354837,,,,,,,,,,,,,,,,,,8482000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Road passengers, million passenger-kilometre",,,,,,,,,,8650,,,,,,,2457,,290362,,21880,,,,,,131348,,,,,,1764,,,,,8916,,,,,,,,,,,1125090,,,,,,,3507,,,73676,,,67551,,,,,,,,,2619,,,72655,872607,,,6393,980246,,,,,,,,,,,,,68788,5611,7314588,,,,,,722136,,,,,,,,,,2325,,,,,,35846,,,,,,,,,,,,484776,,,,109,,,,,,,,,,,,,,,65251,,,,,,,,,,250901,,,359928,3124,12923,126379,,,,,,,,,,,,,,32321,,,,,370375,,,,,116874,95150,,,,7944,,,,,,,268178,,,,,,,680987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"International migrants, thousand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
