CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Organisational innovative firms,Latest available,,,,,,,,,ORGAINNO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Organisational innovative firms, % of total firms",,,,,,,,ORGAFRM_XB,,,,,,,,,,,43.739,36.442,,,,,,,29.259,,,,,,,,58.056,,,,,,,,,,,,,13.796,,,,,,,,,,,20.469,,,32.43,,,,,,,,,21.664,,,29.711,34.197,,,,32.214,,,30.24,,,,,,,,,,16.464,,38.607,,,,21.839,30.448,33.465,,28.29,,,,,,,,16.895,,,,,,,46.786,,,,,,,,,,,3.444,,,,,,,,,,,,27.276,,,,,,,21.714,,,,,,,,,,10.378,32.769,,16.642,,,2.993,,,,,,,,,,,,,,18.589,26.271,,,,19.36,,,,,25.331,47.881,,,,,,,,,,,31.73,,,,,,,17.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Organisational innovative firms, SME, % of total SMEs",,,,,,,,ORGAFRMSME_XSME,,,,,,,,,,,43.615,34.947,,,,,,,28.008,,,,,,,,57.37,,,,,,,,44.701,,,,,12.955,,,,,,,,,,,18.932,,,30.92,,,,,,,,,21.019,,,28.246,33.237,,,,31,,,29.748,,,,,,,,,,15.239,40.12,37.731,,,,19.954,29.469,32.813,,27.468,,,,,,,,16.048,,,,,,,45.472,,,,,,,,,,,3.466,,,,,,,,,,,,26.658,,20.17,,,,,20.998,,,,,,,,,,9.176,31.919,,15.891,,,1.409,,,,,,,,,,,,,,17.171,24.585,,,,18.507,,,,,24.496,47.106,,,,,,,,,,,31.175,,,,,,,17.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Organisational innovative firms, large firms, % of total large firms",,,,,,,,ORGAFRMLGE_XLGE,,,,,,,,,,,47.783,66.495,,,,,,,58.305,,,,,,,,77.723,,,,,,,,13.299,,,,,27.291,28.781,,,,,,,,,,48.914,,,65.465,,,,,,,,,46.591,,,58.596,55.596,,,,56.481,,,57.037,,,,,,,,,,46.622,16.77,57.949,,,,66.187,60.712,65.955,,45.755,,,,,,,,46.923,,,,,,,71.084,,,,,,,,,,,3.248,,,,,,,,,,,,45.953,,15.013,,,,,39.205,,,,,,,,,,38.43,66.673,,43.441,,,8.482,,,,,,,,,,,,,,41.414,65.143,,,,54.119,,,,,47.752,66.894,,,,,,,,,,,49.607,,,,,,,22.954,,23.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Organisational innovative firms, % of total firms",,,,,,,,,,,,,,,,,,,43.739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.895,,,,,,,,,,,,,,,,,,3.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Organisational innovative firms, SME, % of total SMEs",,,,,,,,,,,,,,,,,,,43.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.048,,,,,,,,,,,,,,,,,,3.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Organisational innovative firms, large firms, % of total large firms",,,,,,,,,,,,,,,,,,,47.783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.923,,,,,,,,,,,,,,,,,,3.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Organisational innovative firms, % of total firms",,,,,,,,,,,,,,,,,,,,36.442,,,,,,,29.259,,,,,,,,58.056,,,,,,,,,,,,,13.796,,,,,,,,,,,,,,32.43,,,,,,,,,21.664,,,29.711,34.197,,,,32.214,,,30.24,,,,,,,,,,16.464,,,,,,21.839,30.448,33.465,,28.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.276,,,,,,,,,,,,,,,,,10.378,32.769,,16.642,,,2.993,,,,,,,,,,,,,,18.589,26.271,,,,19.36,,,,,25.331,47.881,,,,,,,,,,,31.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
