CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Regional inequalities in patents,Latest available,,,,,,,,,PAT_INEQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Share of patents in the 20% top region, percentage",,,,,,,,PAT_TOP20,,,,,,,,,,,0.223,0.348,,,,,,,0.229,,,,,,,,,,,,,,,,0.235,,,,,0.338,,,,,,,,,,,0.465,,,0.316,,,,,,,,,0.2,,,0.33,0.499,,,,0.462,,,0.364,,,,,,,,,,0.474,0.191,,,,,0.211,0.316,0.4,,0.381,,,,,,,,,,,,,,,0.2,,,,,,,,,,,0.611,,,,,,,,,,,,0.54,,,,,,,0.287,,,,,,,,,,0.434,0.279,,0.28,,,,,,,,,,,,,,,,,0.468,0.304,,,,0.437,,,,,0.357,0.371,,,,,,,,,,,0.753,,,,,,,0.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.495,,,,,,,,,,,,
,,Patents Hirshman-Herfindal index,,,,,,,,PAT_HHI,,,,,,,,,,,0.142,0.05,,,,,,,0.251,,,,,,,,,,,,,,,,0.227,,,,,0.908,,,,,,,,,,,0.105,,,0.153,,,,,,,,,,,,0.158,0.148,,,,0.15,,,0.292,,,,,,,,,,0.427,0.046,,,,,0.294,0.101,0.096,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,0.095,,,,,,,,,,,,0.244,,,,,,,0.085,,,,,,,,,,0.086,0.194,,0.431,,,,,,,,,,,,,,,,,0.03,0.189,,,,0.119,,,,,0.131,0.04,,,,,,,,,,,0.44,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Share of patents in the 20% top region, percentage",,,,,,,,,,,,,,,,,,,0.223,0.348,,,,,,,0.229,,,,,,,,,,,,,,,,0.235,,,,,0.338,,,,,,,,,,,0.465,,,0.316,,,,,,,,,0.2,,,0.33,0.499,,,,0.462,,,0.364,,,,,,,,,,0.474,0.191,,,,,0.211,0.316,0.4,,0.381,,,,,,,,,,,,,,,0.2,,,,,,,,,,,0.611,,,,,,,,,,,,0.54,,,,,,,0.287,,,,,,,,,,0.434,0.279,,0.28,,,,,,,,,,,,,,,,,0.468,0.304,,,,0.437,,,,,0.357,0.371,,,,,,,,,,,0.753,,,,,,,0.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.495,,,,,,,,,,,,
,,Patents Hirshman-Herfindal index,,,,,,,,,,,,,,,,,,,0.142,0.05,,,,,,,0.251,,,,,,,,,,,,,,,,0.227,,,,,0.908,,,,,,,,,,,0.105,,,0.153,,,,,,,,,,,,0.158,0.148,,,,0.15,,,0.292,,,,,,,,,,0.427,0.046,,,,,0.294,0.101,0.096,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,0.095,,,,,,,,,,,,0.244,,,,,,,0.085,,,,,,,,,,0.086,0.194,,0.431,,,,,,,,,,,,,,,,,0.03,0.189,,,,0.119,,,,,0.131,0.04,,,,,,,,,,,0.44,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Share of patents in the 20% top region, percentage",,,,,,,,,,,,,,,,,,,0.221,0.35,,,,,,,0.229,,,,,,,,,,,,,,,,0.236,,,,,0.341,,,,,,,,,,,0.483,,,0.32,,,,,,,,,0.2,,,0.337,0.496,,,,0.46,,,0.366,,,,,,,,,,0.471,0.2,,,,,0.207,0.306,0.403,,0.379,,,,,,,,,,,,,,,0.2,,,,,,,,,,,0.628,,,,,,,,,,,,0.521,,,,,,,0.29,,,,,,,,,,0.426,0.205,,0.281,,,,,,,,,,,,,,,,,0.496,0.286,,,,0.433,,,,,0.353,0.363,,,,,,,,,,,0.753,,,,,,,0.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.491,,,,,,,,,,,,
,,Patents Hirshman-Herfindal index,,,,,,,,,,,,,,,,,,,0.141,0.049,,,,,,,0.253,,,,,,,,,,,,,,,,0.227,,,,,1.153,,,,,,,,,,,0.115,,,0.153,,,,,,,,,,,,0.163,0.146,,,,0.15,,,0.315,,,,,,,,,,0.426,0.074,,,,,0.258,0.091,0.097,,0.266,,,,,,,,,,,,,,,,,,,,,,,,,,0.107,,,,,,,,,,,,0.226,,,,,,,0.084,,,,,,,,,,0.085,0.188,,0.43,,,,,,,,,,,,,,,,,0.041,0.121,,,,0.117,,,,,0.126,0.039,,,,,,,,,,,0.445,,,,,,,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
