CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
">>>Doctorate graduates (ISCED2011 level 8), science and engineering",Latest available,,,,,,,,,PHD_SCIENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Doctorate graduates,(ISCED2011 level 8),  science, number",,,,,,,,PHD_SCI_NB,,,,,,,,934,,,1979,530,,,,,,,568,,,,,,,,3022,,,155,,,,,2582,,,,,214,0,73,,,,10,,239,,19,692,,,373,,,,,,,,,80,,,380,6467,,,,8969,,,283,,,,,,,,,,302,21,6361,216,,,529,757,2705,,2413,,,,,,,,46,,,,,,95,33,,,,,,,3,,,,818,,,,,,,,,,,,626,,452,,,,,420,,,,,,,,,,744,874,,1743,,545,6292,,,,,,,,23,,,,,,384,238,,,,3916,,,,,879,1167,,,,13,,,,,,,849,,,,,,,8123,,17966,,,,,,,,,,,,,,,,,,,,,,,,,,,359,,,,,,,,,,,,33439,18647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Doctorate graduates, (ISCED2011 level 8), engineering, number",,,,,,,,PHD_ENG_NB,,,,,,,,154,,,1390,510,,,,,,,605,,,,,,,,2332,,,145,,,,,1344,,,,,96,0,88,,,,0,,161,,8,517,,,473,,,,,,,,,35,,,452,1872,,,,3129,,,350,,,,,,,,,,128,3,2294,252,,,151,139,2053,,3530,,,,,,,,64,,,,,,97,8,,,,,,,1,,,,782,,,,,,,,,,,,824,,221,,,,,150,,,,,,,,,,561,795,,3280,,1386,1325,,,,,,,,8,,,,,,452,169,,,,1186,,,,,920,597,,,,16,,,,,,,739,,,,,,,3521,,10362,,,,,,,,,,,,,,,,,,,,,,,,,,,182,,,,,,,,8119,,,12532,17737,6172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Women doctorate graduates,(ISCED2011 level 8),  science, number",,,,,,,,WPHD_SCI_NB,,,,,,,,559,,,914,177,,,,,,,214,,,,,,,,1469,,,82,,,,,1028,,,,,84,0,26,,,,6,,144,,10,292,,,135,,,,,,,,,32,,,173,2601,,,,3463,,,129,,,,,,,,,,120,9,2281,100,,,236,342,1337,,538,,,,,,,,20,,,,,,54,6,,,,,,,1,,,,333,,,,,,,,,,,,225,,201,,,,,159,,,,,,,,,,395,478,,524,,308,0,,,,,,,,0,,,,,,227,130,,,,1861,,,,,321,446,,,,,,,,,,,442,,,,,,,3672,,7308,,,,,,,,,,,,,,,,,,,,,,,,,,,127,,,,,,,,10153,,,10496,10533,8013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Women doctorate graduates,(ISCED2011 level 8),  engineering, number",,,,,,,,WPHD_ENG_NB,,,,,,,,68,,,391,130,,,,,,,168,,,,,,,,1061,,,47,,,,,286,,,,,31,0,30,,,,0,,55,,3,119,,,148,,,,,,,,,14,,,124,611,,,,592,,,137,,,,,,,,,,38,2,454,63,,,42,36,721,,573,,,,,,,,30,,,,,,31,0,,,,,,,1,,,,283,,,,,,,,,,,,224,,66,,,,,36,,,,,,,,,,201,267,,477,,592,0,,,,,,,,2,,,,,,131,42,,,,408,,,,,241,138,,,,4,,,,,,,274,,,,,,,928,,2392,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,3161,,,3691,5031,2306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Doctorate graduates,(ISCED2011 level 8),  science, number",,,,,,,,,,,,,,,,,,,1979,530,,,,,,,568,,,,,,,,3022,,,,,,,,,,,,,214,,73,,,,10,,,,,692,,,373,,,,,,,,,80,,,380,6467,,,,8969,,,283,,,,,,,,,,302,,,216,,,529,757,2705,,2413,,,,,,,,46,,,,,,95,33,,,,,,,,,,,818,,,,,,,,,,,,626,,452,,,,,420,,,,,,,,,,744,874,,1743,,,6292,,,,,,,,23,,,,,,384,238,,,,3916,,,,,879,1167,,,,,,,,,,,849,,,,,,,8123,,17966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Doctorate graduates, (ISCED2011 level 8), engineering, number",,,,,,,,,,,,,,,,,,,1390,510,,,,,,,605,,,,,,,,2332,,,,,,,,,,,,,96,,88,,,,0,,,,,517,,,473,,,,,,,,,35,,,452,1872,,,,3129,,,350,,,,,,,,,,128,,,252,,,151,139,2053,,3530,,,,,,,,64,,,,,,97,8,,,,,,,,,,,782,,,,,,,,,,,,824,,221,,,,,150,,,,,,,,,,561,795,,3280,,,1325,,,,,,,,8,,,,,,452,169,,,,1186,,,,,920,597,,,,,,,,,,,739,,,,,,,3521,,10362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Women doctorate graduates,(ISCED2011 level 8),  science, number",,,,,,,,,,,,,,,,,,,914,177,,,,,,,214,,,,,,,,1469,,,,,,,,,,,,,84,,26,,,,6,,,,,292,,,135,,,,,,,,,32,,,173,2601,,,,3463,,,129,,,,,,,,,,120,,,100,,,236,342,1337,,538,,,,,,,,20,,,,,,54,6,,,,,,,,,,,333,,,,,,,,,,,,225,,201,,,,,159,,,,,,,,,,395,478,,524,,,,,,,,,,,0,,,,,,227,130,,,,1861,,,,,321,446,,,,,,,,,,,442,,,,,,,3672,,7308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Women doctorate graduates,(ISCED2011 level 8),  engineering, number",,,,,,,,,,,,,,,,,,,391,130,,,,,,,168,,,,,,,,1061,,,,,,,,,,,,,31,,30,,,,0,,,,,119,,,148,,,,,,,,,14,,,124,611,,,,592,,,137,,,,,,,,,,38,,,63,,,42,36,721,,573,,,,,,,,30,,,,,,31,0,,,,,,,,,,,283,,,,,,,,,,,,224,,66,,,,,36,,,,,,,,,,201,267,,477,,,,,,,,,,,2,,,,,,131,42,,,,408,,,,,241,138,,,,,,,,,,,274,,,,,,,928,,2392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
