CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Private non-profit expenditure on R&D,Latest available,,,,,,,,,PNPERD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Private non-profit expenditure on R&D, million NC",,metadata/PNP_NC.html,,,,,,PNP_NC,,0,,,,,,473.505,,,1007.1,43.89,0.3,,0.067,,,473,34.47,,,12.899,,20.384,0.48,125.18,,,0,4.656,758.145,275.764,32190.49,,160,,,,,117567.916,,577441.4,,,,1280,,3.768,,13,342.557,,,220,,,,6.401,10.56,,,,5.436,12.239,,46.9,753.393,,16.048,,,0.01,,13.17,,1.7,,,,,,,,,1167.328,0,,,,,606.4,630.352,,232266,,6291.266,2901,,,0.3,,0,,,,,,,,3.03,,,0.9,,,0,,,11.6,4617.977,,,0,0.483,,,380.75,,36.081,,,58,,,,,,,,0.142,,,,10.665,,31995.04,25.15,130.968,28.4,33.618,,1078766.2,,10.392,1250.9,,,,,,,,,5606.675,56.8,0.45,,,3.673,0.337,,,583.165,27.492,33.3,,,,254,340,,,811,21.4,,,,,,0,,,,,2426.4,0.179,150.573,592.5,3445.8,20521,55.294,4857.6,,,94400,,,,,,1569.192,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Private non-profit expenditure on R&D, million USD PPPs",,metadata/PNP_PPP.html,,,,,,PNP_PPP,,0,,,,,,87.789,,,690.349,55.136,0.947,,0.328,,,0.092,43.239,,,7.563,,11.351,0.695,34.072,,,0,6.886,4.148,0.725,23.839,,129.412,,,,,313.035,,480.901,,,,3.389,,1.004,,19.706,26.786,,,30.236,,,,11.45,4.34,,,,10.229,1.838,,51.897,942.727,,1.615,,,0.016,,21.397,,0.462,,,,,,,,,8.637,0,,,,,159.712,867.453,,2265.663,,70.778,91.814,,,0.031,,0.007,,,,,,,,0.538,,,0.622,,,0,,,0.723,549.713,,,0,1.342,,,21.451,,6.221,,,64.383,,,,,,,,0.947,,,19.95,17.998,,13.856,18.78,7.296,16.115,57.638,,1213.831,,6.391,55.418,,,,,,,,,24.19,1.407,0.117,,,7.578,0.576,,,112.647,41.223,0.757,,,,28.492,251.095,,,66.544,1.118,,,,,,0,,,,,3.028,0.052,59.18,861.346,9.592,20521,2.968,5.4,,,12.53,,,,,,103.454,,,,2.318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Private non-profit expenditure on R&D, million constant USD PPPs",,metadata/PNP_PPPK.html,,,,,,PNP_PPPK,,0,,,,,,81.501,,,653.042,47.691,0.861,,0.305,,,840.04,38.603,,,,,13.51,0.627,31.884,,,,6.672,4.304,0.688,21.472,,121.126,,,,,280.347,,443.282,,,,3.149,,0.971,,19.308,23.56,,,27.471,,,,10.655,4.261,,,,9.175,1.731,,46.605,848.318,,1.582,,,0.016,,19.188,,0.445,,,,,,,,,8.547,0,,,,,136.095,772.79,,2075.588,,67.138,91.815,,,0.033,,0,,,,,,,,0.494,,,0.598,,,0,,,0.692,507.521,,,,1.225,,,19.74,,5.787,,,78.026,,,,,,,,0.858,,,,17.053,,12.662,20.939,6.907,14.716,51.723,,1205.688,,5.531,51.244,,,,,,,,,24.188,1.263,0.126,,,7.112,0.508,,,107.026,37.63,0.717,,,,26.275,232.321,,,60.796,1.029,,,,,,0,,,,,3.23,0.051,57.971,783.537,9.975,18883.564,2.761,4.912,,,11.863,,,,,,95.201,,,,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Private non-profit expenditure on R&D, % of GERD",,metadata/PNP_XG.html,,,,,,PNP_XG,,0,,,,,,1.745,,,2.844,0.414,0.248,,0.526,,,0.011,0.342,,,99.368,,13,0.768,18.616,,,0,0.55,21.118,8.037,37.081,,0.464,,,,,19.356,,29.818,,,,0.822,,0.151,,16.169,0.386,,,0.367,,,,1.421,0.06,,,,1.795,0.233,,0.773,1.549,,45.565,,,0.006,,0.773,,0.963,,,,,,,,,1.404,0,,,,,1.225,2.879,,1.332,,10.201,11.649,,,0.115,,0,,,,,,,,0.617,,,0.008,,,0,,,1.861,4.753,,,0,3.534,,,19.066,,7.649,,,0.663,,,,,,,,0.214,,,20.883,37.684,,17.548,7.083,0.823,0.157,1.469,,1.636,,0.299,0.137,,,,,,,,,16.184,0.162,2.947,,,0.396,0.04,,,2.273,0.209,0.344,,,,0.185,1.703,,,0.958,0.862,,,,,,0,,,,,1.246,0.005,2.405,1.86,3.786,4.081,1.238,1.33,,,0.705,,,,,,0.307,,,,0.423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Private non-profit expenditure on R&D, % of GDP",,metadata/PNP_XGDP.html,,,,,,PNP_XGDP,,0,,,,,,0.01,,,0.062,0.013,0.001,,0.001,,,0,0.008,,,0.22,,0.036,0.002,0.101,,,0,0.005,0.023,0.011,0.044,,0.008,,,,,0.074,,0.072,,,,0.01,,0.001,,0.074,0.008,,,0.011,,,,0.006,0,,,,0.027,0.001,,0.022,0.034,,0.06,,,0,,0.007,,0,,,,,,,,,0.069,0,,,,,0.052,0.038,,0.044,,0.017,0.092,,,0,,0.016,,,,,,,,0.001,,,0,,,0,,,0.003,0.025,,,0,0.013,,,0.064,,0.026,,,0.012,,,,,,,,0.001,,,0.103,0.024,,0.023,0.011,0.001,0.002,0.019,,0.069,,0.007,0.002,,,,,,,,,0.088,0.001,0.009,,,0.005,0.001,,,0.016,0.003,0,,,,0.006,0.055,,,0.006,0.004,,,,,,0,,,,,0.006,0,0.012,0.032,0.013,0.114,0.006,0.003,,,0.003,,,,,,0.009,,,,0.005,,,,,,,,,,,,,,,,,,,,,0.02,,,0.02,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Private non-profit expenditure on R&D, million NC",,,,,,,,,,,,,,,,,,,,43.89,0.3,,,,,473,34.47,,,12.899,,,0.48,,,,,4.656,,,32190.488,,,,,,,117567.916,,577441.322,,,,,,,,13,342.557,,,220,,,,,10.56,,,,5.436,,,46.9,753.393,,,,,,,13.17,,,,,,,,,,,,,,,,,606.4,630.352,,232266,,,,,,,,,,,,,,,,3.03,,,,,,,,,,4617.977,,,,0.483,,,380.75,,,,,,,,,,,,,0.142,,,,,,31995.045,,,28.4,33.618,,1078766.2,,10.392,1250.9,,,,,,,,,,56.8,,,,3.673,0.337,,,,27.492,,,,,254,,,,811,21.4,,,,,,,,,,,,,,592.5,,20521,,4857.6,,,,,,,,,1569.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Private non-profit expenditure on R&D, million USD PPPs",,,,,,,,,,,,,,,,,,,,55.136,0.938,,,,,0.092,43.239,,,,,,0.681,,,,,7.252,,,23.286,,,,,,,313.035,,481.716,,,,,,,,21.002,26.786,,,30.236,,,,,4.63,,,,10.229,,,51.897,942.727,,,,,,,21.397,,,,,,,,,,,,,,,,,159.712,867.453,,2265.663,,,,,,,,,,,,,,,,0.537,,,,,,,,,,549.713,,,,1.331,,,21.452,,,,,,,,,,,,,0.932,,,,,,13.76,,,16.115,57.638,,1213.831,,6.053,55.418,,,,,,,,,,1.373,,,,7.578,0.576,,,,41.223,,,,,28.492,,,,66.064,1.118,,,,,,,,,,,,,,861.346,,20521,,5.328,,,,,,,,,103.454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Private non-profit expenditure on R&D, million constant USD PPPs",,,,,,,,,,,,,,,,,,,,47.691,0.861,,,,,,38.603,,,,,,0.627,,,,,6.672,,,21.472,,,,,,,280.347,,443.282,,,,,,,,19.308,23.56,,,27.471,,,,,4.261,,,,9.175,,,46.605,848.318,,,,,,,19.188,,,,,,,,,,,,,,,,,136.095,772.79,,2075.588,,,,,,,,,,,,,,,,0.494,,,,,,,,,,507.521,,,,1.225,,,19.74,,,,,,,,,,,,,0.858,,,,,,12.662,,,14.716,51.723,,1205.688,,5.531,51.244,,,,,,,,,,1.263,,,,7.112,0.508,,,,37.63,,,,,26.275,,,,60.796,1.029,,,,,,,,,,,,,,783.537,,18883.564,,4.912,,,,,,,,,95.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
