CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
">>Private non-profit R&D, financed by industry",Latest available,,,,,,,,,PNP_BEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Private non-profit R&D, financed by industry, million NC",,metadata/PNP_BEF_NC.html,,,,,,PNP_BEF_NC,,,,,,,,19.905,,,65,5.776,0.1,,,,,329,2.378,,,,,,0.018,0.15,,,,1.09,,,1540.08,,11,,,,,6658.931,,90947.44,,,,,,0,,0.07,117.95,,,27,,,,0.18,,,,,0.425,,,2,104.593,,,,,,,2.36,,,,,,,,,,,68.19,,,,,,101.6,28.847,,56206,,1054.8,14,,,,,0,,,,,,,,,,,,,,0,,,,126.503,,,,0.002,,,,,1.45,,,,,,,,,,,,,,,,,499.75,,38.683,1.3,1.385,,153900.338,,0.396,212.6,,,,,,,,,1265.313,0.2,,,,1.428,0.262,,,53.359,9.662,33.3,,,,18,20,,,71,,,,,,,,,,,,157,,,17.9,,1611,4.224,,,,7900,,,,,,108.394,,,,0.621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Private non-profit R&D, financed by industry, million USD PPPs",,metadata/PNP_BEF_PPP.html,,,,,,PNP_BEF_PPP,,,,,,,,5.102,,,44.556,7.253,0.28,,,,,0.073,2.952,,,,,,0.026,0.041,,,,1.639,,,1.141,,8.897,,,,,17.73,,75.742,,,,,,0,,0.104,9.223,,,3.711,,,,0.322,,,,,0.8,,,2.213,130.05,,,,,,,3.834,,,,,,,,,,,0.505,,,,,,26.485,39.277,,548.267,,11.867,0.443,,,,,0,,,,,,,,,,,,,,0,,,,15.059,,,,0.006,,,,,0.25,,,,,,,,,,,,,,0.644,,,0.216,,2.155,0.738,2.4,,173.169,,0.244,9.419,,,,,,,,,5.459,0.005,,,,2.946,0.448,,,10.307,14.589,0.757,,,,2.095,14.77,,,5.826,,,,,,,,,,,,0.196,,,26.022,,1611,0.227,,,,1.049,,,,,,7.146,,,,0.758,,,,,,,,,,,,,,,,,,,,,,,,184.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Private non-profit R&D, financed by industry, million constant USD PPPs",,metadata/PNP_BEF_PPPK.html,,,,,,PNP_BEF_PPPK,,,,,,,,5.678,,,42.148,6.509,,,,,,,2.704,,,,,,0.067,,,,,1.596,,,,,8.327,,,,,15.879,,,,,,,,,,0.103,8.112,,,3.371,,,,,,,,,0.718,,,1.987,118.523,,,,,,,3.438,,,,,,,,,,,0.499,,,,,,23.693,35.587,,502.271,,,,,,,,0,,,,,,,,,,,,,,0,,,,13.903,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.674,2.176,,172.007,,0.211,8.709,,,,,,,,,,0,,,,2.765,0.395,,,9.793,13.292,,,,,1.934,13.666,,,,,,,,,,,,,,,,,,23.671,,1482.453,,,,,,,,,,,6.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Private non-profit R&D, financed by industry, % of GERD",,,,,,,,PNP_BEF_XG,,,,,,,,0.122,,,0.16,0.06,,,,,,,0.025,,,,,,0.07,,,,,0.164,,,,,0.032,,,,,1.096,,,,,,,,0,,0.083,0.133,,,0.045,,,,,,,,,0.14,,,0.033,0.218,,,,,,,0.139,,,,,,,,,,,0.156,,,,,,0.231,0.129,,0.322,,,,,,,,0,,,,,,,,,,,,,,0,,,,0.13,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.007,0.062,,0.233,,0.011,0.023,,,,,,,,,,0,,,,0.154,0.031,,,0.208,0.075,,,,,0.014,0.1,,,,,,,,,,,,,,,,,,0.056,,0.32,,,,,,,,,,,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Private non-profit R&D, financed by industry, % of GDP",,,,,,,,PNP_BEF_XGDP,,,,,,,,0.001,,,0.004,0.002,,,,,,,0.001,,,,,,0,,,,,0.001,,,,,0.001,,,,,0.004,,,,,,,,0,,0,0.003,,,0.001,,,,,,,,,0.002,,,0.001,0.005,,,,,,,0.001,,,,,,,,,,,0.004,,,,,,0.01,0.002,,0.011,,,,,,,,0,,,,,,,,,,,,,,0,,,,0.001,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0.001,,0.01,,0,0,,,,,,,,,,0,,,,0.002,0.001,,,0.002,0.001,,,,,0,0.003,,,,,,,,,,,,,,,,,,0.001,,0.009,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Private non-profit R&D, financed by industry, million NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6658.931,,,,,,,,,,,117.95,,,27,,,,,,,,,0.425,,,2,,,,,,,,2.36,,,,,,,,,,,,,,,,,,,,56206,,,,,,,,,,,,,,,,,,,,,,,,,,126.503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,153900.338,,0.396,212.6,,,,,,,,,,,,,,1.428,0.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.9,,1611,,,,,,,,,,,108.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Private non-profit R&D, financed by industry, million USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.73,,,,,,,,,,,9.223,,,3.711,,,,,,,,,0.8,,,2.213,,,,,,,,3.834,,,,,,,,,,,,,,,,,,,,548.267,,,,,,,,,,,,,,,,,,,,,,,,,,15.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.738,,,173.169,,0.231,9.419,,,,,,,,,,,,,,2.946,0.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.022,,1611,,,,,,,,,,,7.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Private non-profit R&D, financed by industry, million constant USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.879,,,,,,,,,,,8.112,,,3.371,,,,,,,,,0.718,,,1.987,,,,,,,,3.438,,,,,,,,,,,,,,,,,,,,502.271,,,,,,,,,,,,,,,,,,,,,,,,,,13.903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.674,,,172.007,,0.211,8.709,,,,,,,,,,,,,,2.765,0.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.671,,1482.453,,,,,,,,,,,6.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
