CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Population,Latest available,,,,,,,,,POPULATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Population, total",,metadata/POP_NB.html,,,,,,POP_NB,30550,3162083,37900,,24383,,89069,41086927,2969081,102384,24361,8572.1,9297507,356,1174,156595,283221,9464,11452.41,350,10050702,64806,741822,10496285,3884,2003910,202219.1,,406,7200.079,16460141,9849569,14864,21699631,36493.7,512,57570,4525209,12448175,18001.96,1408922,48747.71,717503,4337051,,4805295,21580,4256,11270957,933.711,10534.69,24763188,,5626.237,859652,71684,10415,15775,86700,6297394,736296,6130922,1306.793,91728849,881,5518,64963.19,1632572,1791225,4484,81411.5,25366462,,11409.93,105483,15082831,11451273,1663558,795369,10173775,,7935846,7264,9756.916,331.362,1297075,258552.7,76000,34776,4618.956,8448.06,61838.23,2784,126193.4,6530,17165,41800,108,3890,5588,6646,2020.652,4425,2051545,4190435,6213,36656,3124.839,505.261,556783,22293914,17604,30262,338442,14853572,417.978,54,3454,1256,122273.5,104,37579,2882,623,,32853,25834,52797319,2259393,,27474,17039.76,,4655,6146,17157042,164752,,4934.485,3594,182589,18,,3851,7167,6786,29987800,99434,37988.19,10339.87,2235,50801.41,3559,21188.75,146754.3,10500,53584,168,109373,188889,31,188098,28287855,13726021,7164,87784.908,5979,5470,5417.626,2071.741,549598,10195134,53835.38,46336.29,20658,37195349,542,1230985,9906,8181.265,22399254,8132,68657,2066,1120,6642928,,102,1337,10777500,78558.7,5172931,32427,11,36824,42904,9205651,64975.41,44929,323848.7,3404,29776850,257,29954782,88762,23852409,13217,,,,23434,56840,,,3667084,,,,105275,,,3027073120,,55128,,,,,,,,,,,,,,510188.2,510188.2,,,49506,,,,162810,,,,53305,,,258121,,,,,,1278672,273814,,,,,,,1268808,7404977,,,
,,"Population, working age",,metadata/POP1564_NB.html,,,,,,POP1564_NB,15003929.21,2153516.951,26134650.66,,10413221.04,,60123.002,26606897.97,2058902.007,70677.002,16062,5729.313,6700539.477,263940.996,1024163.984,100109284.2,199342.989,6731682.288,7369.159,199850.998,5443743.907,,495305.978,6291352.964,2614603.063,1256042.997,140818.6,,289403.015,4753.834,8540618.904,5256271.132,9441080.218,11651683.85,24520.3,318074.01,,2537914.919,6105377.201,12345.74,1013204,32141.92,394440.01,2352719.962,,3326411.131,10986182.85,2859977.976,7935764.289,640.413,6955.349,17034778.62,,3597.361,536467.001,,6502948.814,9809047.89,50940612.89,3924534.961,428848.014,3353605.961,845.944,48912232.94,576615.028,3466,40736,919217.988,925306.996,3073125.041,53436,14685764.27,,7468.155,69525.998,8249571.055,6232052.956,923973.001,476662.005,6118571.871,,4752743.004,5341019.817,6556.038,217.394,860354.1,172889.8,54318862.94,18320229.27,3036.949,5109.65,39820.82,1744676.599,75979.44,3941511.669,11420324.17,23743800.47,64115,2370198.881,3662881.757,4029939.96,1324.666,3088427.807,1211445.994,2258422.014,4051789.875,,2139.467,340.252,445698.989,12142188.09,8176831.152,19937504.52,223348.998,7433617.156,283.185,,2149751.937,922755.224,80362.83,62284.002,,1933657.998,423734.019,,21845374.15,12943739.87,36724597.32,1353487.97,,16307657.4,11082.88,,3037.5,3714988.972,8132953.907,89570342.19,,3224.45,2420918.033,109857097.6,,,2444069.049,4212215.029,4137145.944,19361815.98,59607304.07,26050.41,6735.266,1757674.969,37038.78,2571631.229,14580.86,101319.5,6199963.924,,121094.999,73785.002,107711.001,,103361.998,19066224.05,7334753.982,5022012.38,61610.764,3326864.947,3919657.667,3815.766,1382.58,309302.992,5080863.165,34993.38,30626.55,13545820.68,20576644.31,350640.006,720439.015,6210,5424.572,13597182.16,4889465.114,48164498.74,1496413.993,,3678057.898,,59631.999,943045.002,7511562.778,53653.75,3481325.889,,,17819978.18,32150918.75,7846056.02,41693.33,24836054.75,212382.6,2170512.982,19895577.98,145007.999,19525578.27,62655541.52,13468684.06,7127599.98,,,,,,,,2444857.985,,,,67523.657,,,2092961580,,,,,,,,,,,,,,,,332934.3,332934.3,,,,,,,106739.002,,,,,,,173640.686,,,,,,836313.1,191598,,,,,,,832204.1,4862946,,,
,,"Population, women, working age",,,,,,,,POPF1564_NB,,,,,,,,,,,8022,2862.374,,,,,,,3673.188,,,,,,,,71771.45,,,2383.098,,,,,12197.6,,,,,6178.006,488110.9,16318.54,,,,,,,,326.427,3428.208,,,1787.54,,,,,,,,,428.347,,,1710,20510.78,,,,26408.5,,,3685.381,,,,,,,,,,3304.243,107.88,415265.4,85841.59,,,1512.842,2554.25,19998.53,,37645.34,,,,,,,,684.305,,,,,,1081.952,168.827,,,,,,,138.659,,,,41681.53,,,,,,,,,,,,5495.119,,1545.4,,,,,1594.937,,,,,,,,,,13109.8,3471.418,,18097.6,,7315.17,52758.29,,,,,,,,,,,,,,1900.356,672.213,,,17844.14,15254.62,,,,,3053,2700.489,,,,,,,,,,,26548.36,,,,,,,20824.34,,106319.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165971.1,165971.1,,,,,,,,,,,,,,,,,,,,418452.8,,,,,,,,416346.3,2399834,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Population, total",,,,,,,,,,,,,,,,,,,24361,8572.1,,,,,,,11452.41,,,,,,,,202219.1,,,7200.079,,,,,36493.7,,,,,18001.96,1408922,48747.71,,,,,,,,933.711,10534.69,,,5626.237,,,,,,,,,1306.793,,,5518,64963.19,,,,81411.5,,,11409.93,,,,,,,,,,9756.916,331.362,1297075,258552.7,,,4618.956,8448.06,61838.23,,126193.4,,,,,,,,2020.652,,,,,,3124.839,505.261,,,,,,,417.978,,,,122273.5,,,,,,,,,,,,17039.76,,4655,,,,,4934.485,,,,,,,,,,37988.19,10339.87,,50801.41,,21188.75,146754.3,,,,,,,,,,,,,,5417.626,2071.741,,,53835.38,46336.29,,,,,9906,8181.265,,,,,,,,,,,78558.7,,,,,,,64975.41,,323848.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510188.2,,,,,,,,,,,,,,,,,,,,1278672,,,,,,,,,7404977,,,
,,"Population, working age",,,,,,,,,,,,,,,,,,,16062,5729.313,,,,,,,7369.159,,,,,,,,140818.6,,,4753.834,,,,,24520.3,,,,,12345.74,1013204,32141.92,,,,,,,,640.413,6955.349,,,3597.361,,,,,,,,,845.944,,,3466,40736,,,,53436,,,7468.155,,,,,,,,,,6556.038,217.394,860354.1,172889.8,,,3036.949,5109.65,39820.82,,75979.44,,,,,,,,1324.666,,,,,,2139.467,340.252,,,,,,,283.185,,,,80362.83,,,,,,,,,,,,11082.88,,3037.5,,,,,3224.45,,,,,,,,,,26050.41,6735.266,,37038.78,,14580.86,101319.5,,,,,,,,,,,,,,3815.766,1382.58,,,34993.38,30626.55,,,,,6210,5424.572,,,,,,,,,,,53653.75,,,,,,,41693.33,,212382.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332934.3,,,,,,,,,,,,,,,,,,,,836313.1,,,,,,,,,4862946,,,
,,"Population, women, working age",,,,,,,,,,,,,,,,,,,8022,2862.374,,,,,,,3673.188,,,,,,,,71771.45,,,2383.098,,,,,12197.6,,,,,6178.006,488110.9,16318.54,,,,,,,,326.427,3428.208,,,1787.54,,,,,,,,,428.347,,,1710,20510.78,,,,26408.5,,,3685.381,,,,,,,,,,3304.243,107.88,415265.4,85841.59,,,1512.842,2554.25,19998.53,,37645.34,,,,,,,,684.305,,,,,,1081.952,168.827,,,,,,,138.659,,,,41681.53,,,,,,,,,,,,5495.119,,1545.4,,,,,1594.937,,,,,,,,,,13109.8,3471.418,,18097.6,,7315.17,52758.29,,,,,,,,,,,,,,1900.356,672.213,,,17844.14,15254.62,,,,,3053,2700.489,,,,,,,,,,,26548.36,,,,,,,20824.34,,106319.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165971.1,,,,,,,,,,,,,,,,,,,,418452.8,,,,,,,,,2399834,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Population, total",,,,,,,,,,,,,,,,,,,23941,8538.252,,,,,,,11369.21,,,,,,,,200881.7,,,7251.937,,,,,36103.8,,,,,17865.19,1401587,48203.41,,,,,,,,924.604,10531.67,,,5611.417,,,,,,,,,1311.505,,,5493,64664.89,,,,81202,,,11397.29,,,,,,,,,,9799.728,328.055,1282390,255708.8,,,4576.491,8316.66,61636.88,,126597.3,,,,,,,,2031.361,,,,,,3143.413,500.871,,,,,,,416.751,,,,121005.8,,,,,,,,,,,,16981.21,,4592.6,,,,,4904.305,,,,,,,,,,38016.06,10377.91,,50617.05,,21239.96,146267.3,,,,,,,,,,,,,,5416.851,2066.511,,,53491.33,46403.02,,,,,9799,8128.709,,,,,,,,,,,77737.82,,,,,,,64531.75,,321362.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508894.1,,,,,,,,,,,,,,,,,,,,1271727,,,,,,,,,7324782,,,
