CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Patents by Public Research Institutes (PRIs),Latest available,,,,,,,,,PTPCTPRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"IP5  patents families filed by universities and PRIs, % of all IP5  patents families applications",,,,,,,,PATPRI_XIP5,,,,,,,,17,,,12,4,,,,,0,,23,,,0,,,,,9,,,1.193,,,,,7,,0,,,39,8,,,,,,,13.27,,1.299,25,,,7,,,,,,,,,21.82,,,3,20,,,,5,,,2,,,,,,,,,8,10,1.235,6,8.974,,,17,12,7,,2,,,,,,,,20.461,,,,,1,11.009,2,,,,17,,,1.377,,,,21,,,,,,,,,,,,6,,2,,,,,5,,,,,,,,,,41,28,,17,,5.175,8,,,,,,,,32,,,,,21,0.424,17,,,,16,,,,,1,3,,,,,,,,,,,4,,,,,,,10,,7,,,,,,,,,,,16,,,,,,,,,,,8,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,8,,,
,,"IP5  patents families filed by universities and PRIs in biotechnology, % of all IP5  patents families applications",,,,,,,,PATPRIBIO_XIP5BIO,,,,,,,,84.906,,,37,31,,,,,,,50,,,,,,,,62.04,,,0,,,,,43,,,,,53.725,34,,,,,,,29.268,,0,47.17,,,12,,,,,,,,,66.667,,,23,52,,,,34,,,25.833,,,,,,,,,,22.481,4.878,20,40,,,66,52,24,,24,,,,,,,,0,,,,,,38.889,11.713,,,,,,,0,,,,46.444,,,,,,,,,,,,19,,9,,,,,6,,,,,,,,,,52.542,54.179,,71,,0,5.703,,,,,,,,76.368,,,,,63,0,50,,,,54,,,,,1,12,,,,,,,,,,,37.5,,,,,,,48,,32,,,,,,,,,,,102,,,,,,,,,,,33,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,36,,,
,,"IP5  patents families filed by universities and PRIs in nanotechnology, % of all IP5  patents families applications",,,,,,,,PATPRINNO_XIP5NNO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,32,,,,,,,,,,,,86,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,23,,,,,,,,,,,63,,,,,,,,,,,33,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,34,,,
,,"IP5  patents families filed by universities and PRIs in environment related technologies, % of all IP5  patents families applications",,,,,,,,PATPRIENV_XIP5ENV,,,,,,,,40,,,13,5,,,,,,,23,,,,,,,,9.441,,,0,,,,,7,,,,,22.951,15,,,,,,,0,,11.111,11.765,,,6,,,,,,,,,0,,,3,29,,,,4,,,4,,,,,,,,,18,1.266,0,10,31.25,,,9.744,11,7,,2,,,,,,,,0,,,,,,12.5,2,,,,,,,0,,,,12.245,,,,,,,,,,,,9,,0,,,,,3,,,,,,,,,,46,23.81,,20,,5.354,3.477,,,,,,,,50.926,,,,,29,0,22.727,,,,12,,,,,0,3,,,,,,,,,,,1.667,,,,,,,10,,8,,,,,,,,,,,33,,,,,,,,,,,14,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,9,,,
,,"IP5  patents families filed by universities and PRIs in ICT, % of all IP5  patents families applications",,,,,,,,PATPRIICT_XIP5ICT,,,,,,,,43.103,,,13,4,,,,,0,,59,,,0,,,,,11,,,5.714,,,,,3,,0,,,45.161,6,,,,,,,35.294,,0,25.91,,,7,,,,,,,,,19.277,,,1,27,,,,7,,,9.465,,,,,,,,,9,4,8,3,0,,,9,6,22,,1,,,,,,,,35.294,,,,,,15,1,,,,7,,,0,,,,21.271,,,,,,,,,,,,6,,3,,,,,7,,,,,,,,,,45,40.11,,17,,3.673,4,,,,,,,,35.131,,,,,12,1.63,19.388,,,,16,,,,,1,5,,,,,,,,,,,7,,,,,,,8,,4,,,,,,,,,,,12,,,,,,,,,,,6,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,7,,,
,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"IP5  patents families filed by universities and PRIs, % of all IP5  patents families applications",,,,,,,,,,,,,,,,17,,,12,4,,,,,,,23,,,,,,,,9,,,,,,,,7,,,,,39,8,,,,,,,,,,25,,,7,,,,,,,,,,,,3,20,,,,5,,,2,,,,,,,,,8,10,,6,,,,17,12,7,,2,,,,,,,,,,,,,1,,2,,,,17,,,,,,,21,,,,,,,,,,,,6,,2,,,,,5,,,,,,,,,,41,28,,17,,,8,,,,,,,,32,,,,,21,,17,,,,16,,,,,,3,,,,,,,,,,,4,,,,,,,10,,7,,,,,,,,,,,16,,,,,,,,,,,8,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,8,,,
,,"IP5  patents families filed by universities and PRIs in biotechnology, % of all IP5  patents families applications",,,,,,,,,,,,,,,,,,,37,31,,,,,,,50,,,,,,,,,,,,,,,,43,,,,,,34,,,,,,,,,,,,,12,,,,,,,,,,,,23,52,,,,34,,,,,,,,,,,,,,,20,,,,66,52,24,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,63,,,,,,54,,,,,1,12,,,,,,,,,,,,,,,,,,48,,32,,,,,,,,,,,102,,,,,,,,,,,33,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,36,,,
,,"IP5  patents families filed by universities and PRIs in nanotechnology, % of all IP5  patents families applications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,32,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,23,,,,,,,,,,,63,,,,,,,,,,,33,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,34,,,
,,"IP5  patents families filed by universities and PRIs in environment related technologies, % of all IP5  patents families applications",,,,,,,,,,,,,,,,,,,13,5,,,,,,,23,,,,,,,,,,,,,,,,7,,,,,,15,,,,,,,,,,,,,6,,,,,,,,,,,,3,29,,,,4,,,,,,,,,,,,18,,,10,,,,,11,7,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,3,,,,,,,,,,46,,,20,,,,,,,,,,,,,,,,29,,,,,,12,,,,,,3,,,,,,,,,,,,,,,,,,10,,8,,,,,,,,,,,33,,,,,,,,,,,14,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,9,,,
,,"IP5  patents families filed by universities and PRIs in ICT, % of all IP5  patents families applications",,,,,,,,,,,,,,,,,,,13,4,,,,,,,59,,,,,,,,11,,,,,,,,3,,,,,,6,,,,,,,,,,,,,7,,,,,,,,,,,,1,27,,,,7,,,,,,,,,,,,9,4,,3,,,,9,6,22,,1,,,,,,,,,,,,,,,1,,,,7,,,,,,,,,,,,,,,,,,,6,,,,,,,7,,,,,,,,,,45,,,17,,,4,,,,,,,,,,,,,12,,,,,,16,,,,,,5,,,,,,,,,,,7,,,,,,,8,,4,,,,,,,,,,,12,,,,,,,,,,,6,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,7,,,
,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"IP5  patents families filed by universities and PRIs, % of all IP5  patents families applications",,,,,,,,,,,,,,,,3,,,10,1,,,,,,,18,,,,,,,,10,,,,,,,,9,,,,,,18,,,,,,,,,,6,,,3,,,,,,,,,,,,1,14,,,,3,,,3,,,,,,,,,14,3,,25,,,,8,14,8,,1,,,,,,,,,,,,,,,4,,,,19,,,,,,,11,,,,,,,,,,,,4,,5,,,,,1,,,,,,,,,,18,21,,8,,,5,,,,,,,,,,,,,20,,7,,,,12,,,,,1,3,,,,,,,,,,,1,,,,,,,9,,10,,,,,,,,,,,9,,,,,,,,,,,17,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,6,,,
,,"IP5  patents families filed by universities and PRIs in biotechnology, % of all IP5  patents families applications",,,,,,,,,,,,,,,,,,,32,2,,,,,,,42,,,,,,,,,,,,,,,,39,,,,,,20,,,,,,,,,,,,,4,,,,,,,,,,,,10,41,,,,15,,,,,,,,,,,,,,,38,,,,,59,25,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,9,,,,,6,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,60,,,,,5,14,,,,,,,,,,,,,,,,,,31,,37,,,,,,,,,,,61,,,,,,,,,,,23,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,29,,,
,,"IP5  patents families filed by universities and PRIs in nanotechnology, % of all IP5  patents families applications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,16,,,,,,,,,,,,86,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,37,,,,,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,25,,,
,,"IP5  patents families filed by universities and PRIs in environment related technologies, % of all IP5  patents families applications",,,,,,,,,,,,,,,,,,,7,,,,,,,,21,,,,,,,,,,,,,,,,7,,,,,,20,,,,,,,,,,,,,6,,,,,,,,,,,,2,19,,,,4,,,,,,,,,,,,,,,,,,,,20,8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,1,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,19,,,,,,6,,,,,,,,,,,,,,,,,,8,,8,,,,,,,,,,,20,,,,,,,,,,,19,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,6,,,
,,"IP5  patents families filed by universities and PRIs in ICT, % of all IP5  patents families applications",,,,,,,,,,,,,,,,,,,8,1,,,,,,,43,,,,,,,,,,,,,,,,6,,,,,,10,,,,,,,,,,,,,3,,,,,,,,,,,,1,22,,,,3,,,,,,,,,,,,12,,,25,,,,9,5,39,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,8,,,3,,,,,,,,,,,,,15,,,,,,11,,,,,1,3,,,,,,,,,,,,,,,,,,10,,6,,,,,,,,,,,9,,,,,,,,,,,11,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
