CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Regional inequalities in PSERD,Latest available,,,,,,,,,PUB_INEQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Share of PSERD in the 20% top region, percentage",,,,,,,,PUB_TOP20,,,,,,,,,,,0.235,0.508,,,,,,,0.221,,,,,,,,,,,,,,,,0.232,,,,,0.182,,,,,,,,,,,0.64,,,0.34,,,,,,,,,0.2,,,0.323,0.439,,,,0.177,,,0.253,,,,,,,,,,0.407,,,,,,0.235,0.5,0.322,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,0.258,,,,,,,0.392,,,,,,,,,,0.502,0.346,,0.166,,,,,,,,,,,,,,,,,0.639,0.373,,,,0.382,,,,,0.281,,,,,,,,,,,,,,,,,,,0.378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.344,,,,,,,,,,,,
,,PSERD Hirshman-Herfindal index,,,,,,,,PUB_HHI,,,,,,,,,,,0.091,0.245,,,,,,,0.204,,,,,,,,,,,,,,,,0.219,,,,,0.194,,,,,,,,,,,0.19,,,0.189,,,,,,,,,,,,0.144,0.127,,,,0.051,,,0.08,,,,,,,,,,0.297,,,,,,0.515,0.086,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238,,,,,,,0.163,,,,,,,,,,0.158,0.221,,0.193,,,,,,,,,,,,,,,,,0.151,0.595,,,,0.097,,,,,0.096,,,,,,,,,,,,,,,,,,,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Share of PSERD in the 20% top region, percentage",,,,,,,,,,,,,,,,,,,0.235,0.508,,,,,,,0.221,,,,,,,,,,,,,,,,0.232,,,,,0.182,,,,,,,,,,,0.64,,,0.34,,,,,,,,,0.2,,,0.323,0.439,,,,0.177,,,0.253,,,,,,,,,,0.407,,,,,,0.235,,0.322,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,0.258,,,,,,,0.392,,,,,,,,,,0.502,0.346,,0.166,,,,,,,,,,,,,,,,,0.639,0.373,,,,0.382,,,,,0.281,,,,,,,,,,,,,,,,,,,0.378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.344,,,,,,,,,,,,
,,PSERD Hirshman-Herfindal index,,,,,,,,,,,,,,,,,,,0.091,0.245,,,,,,,0.204,,,,,,,,,,,,,,,,0.219,,,,,0.194,,,,,,,,,,,0.19,,,0.189,,,,,,,,,,,,0.144,0.127,,,,0.051,,,0.08,,,,,,,,,,0.297,,,,,,0.515,,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238,,,,,,,0.163,,,,,,,,,,0.158,0.221,,0.193,,,,,,,,,,,,,,,,,0.151,0.595,,,,0.097,,,,,0.096,,,,,,,,,,,,,,,,,,,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Share of PSERD in the 20% top region, percentage",,,,,,,,,,,,,,,,,,,0.235,0.518,,,,,,,0.222,,,,,,,,,,,,,,,,0.233,,,,,0.182,,,,,,,,,,,0.637,,,0.357,,,,,,,,,0.2,,,0.324,0.438,,,,0.177,,,0.252,,,,,,,,,,0.385,,,,,,0.235,,0.324,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,0.258,,,,,,,0.394,,,,,,,,,,0.481,0.348,,0.172,,,,,,,,,,,,,,,,,0.636,0.38,,,,0.383,,,,,0.276,,,,,,,,,,,,,,,,,,,0.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.317,,,,,,,,,,,,
,,PSERD Hirshman-Herfindal index,,,,,,,,,,,,,,,,,,,0.091,0.254,,,,,,,0.208,,,,,,,,,,,,,,,,0.218,,,,,0.194,,,,,,,,,,,0.187,,,0.21,,,,,,,,,,,,0.143,0.126,,,,0.051,,,0.08,,,,,,,,,,0.334,,,,,,0.513,,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238,,,,,,,0.164,,,,,,,,,,0.146,0.213,,0.205,,,,,,,,,,,,,,,,,0.156,0.636,,,,0.096,,,,,0.094,,,,,,,,,,,,,,,,,,,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
