CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>RD&D budgets,Latest available,,,,,,,,,RDDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Total RD&D, million NC",,metadata/RDDB_NC.html,,,,,,RDDB_NC,,,,,,,,,,,960.827,124.555,,,,,,,189.845,,,,,,,,,,,,,,,,1339.802,,,,,,,,,,,,,,,,452.439,,,1192.514,,,,,,,,,2.533,,,233.644,1083.8,,,,808.461,,,6.336,,,,,,,,,,25218,,,,,,35.573,,390.5,,298983.647,,,,,,,,,,,,,,,71.436,,,,,,,,,,,,,,,,,,,,,,,185.483,,21.547,,,,,2593.273,,,,,,,,,,436.936,9.544,,602796.393,,,,,,,,,,,,,,,,,25.054,,,,,72.385,,,,,1422,250.034,,,,,,,,,,,12.519,,,,,,,361.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Total RD&D, million USD PPPs",,metadata/RDDB_PPP.html,,,,,,RDDB_PPP,,,,,,,,,,,640.979,149.787,,,,,,,226.849,,,,,,,,,,,,,,,,1086.807,,,,,,,,,,,,,,,,34.307,,,157.693,,,,,,,,,4.672,,,254.766,1287.993,,,,1034.706,,,9.757,,,,,,,,,,203.824,,,,,,43.849,,535.764,,2918.582,,,,,,,,,,,,,,,80.292,,,,,,,,,,,,,,,,,,,,,,,227.297,,14.891,,,,,286.206,,,,,,,,,,243.437,16.458,,723.791,,,,,,,,,,,,,,,,,49.569,,,,,108.145,,,,,163.747,184.082,,,,,,,,,,,14.879,,,,,,,525.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Total RD&D, million constant USD PPPs",,,,,,,,RDDB_PPPK,,,,,,,,,,,618.665,140.358,,,,,,,215.865,,,,,,,,,,,,,,,,1033.519,,,,,,,,,,,,,,,,32.209,,,151.418,,,,,,,,,4.394,,,240.006,1234.63,,,,961.457,,,8.723,,,,,,,,,,189.088,,,,,,39.437,,498.704,,2753.867,,,,,,,,,,,,,,,71.956,,,,,,,,,,,,,,,,,,,,,,,211.342,,13.529,,,,,261.807,,,,,,,,,,228.899,15.105,,705.942,,,,,,,,,,,,,,,,,48.319,,,,,99.314,,,,,152.763,170.831,,,,,,,,,,,14.584,,,,,,,488.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Total RD&D, million NC",,,,,,,,,,,,,,,,,,,960.827,124.555,,,,,,,189.845,,,,,,,,,,,,,,,,1339.802,,,,,,,,,,,,,,,,452.439,,,1192.514,,,,,,,,,2.533,,,233.644,1083.8,,,,808.461,,,,,,,,,,,,,,,,,,,,,,,298983.647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.483,,21.547,,,,,2593.273,,,,,,,,,,436.936,9.544,,,,,,,,,,,,,,,,,,,25.054,,,,,72.385,,,,,1422,250.034,,,,,,,,,,,,,,,,,,361.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Total RD&D, million USD PPPs",,,,,,,,,,,,,,,,,,,640.979,149.787,,,,,,,226.849,,,,,,,,,,,,,,,,1086.807,,,,,,,,,,,,,,,,34.307,,,157.693,,,,,,,,,4.672,,,254.766,1287.993,,,,1034.706,,,,,,,,,,,,,,,,,,,,,,,2918.582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.297,,14.891,,,,,286.206,,,,,,,,,,243.437,16.458,,,,,,,,,,,,,,,,,,,49.569,,,,,108.145,,,,,163.747,184.082,,,,,,,,,,,,,,,,,,525.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Total RD&D, million constant USD PPPs",,,,,,,,,,,,,,,,,,,618.665,140.358,,,,,,,215.865,,,,,,,,,,,,,,,,1033.519,,,,,,,,,,,,,,,,32.209,,,151.418,,,,,,,,,4.394,,,240.006,1234.63,,,,961.457,,,,,,,,,,,,,,,,,,,,,,,2753.867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.342,,13.529,,,,,261.807,,,,,,,,,,228.899,15.105,,,,,,,,,,,,,,,,,,,48.319,,,,,99.314,,,,,152.763,170.831,,,,,,,,,,,,,,,,,,488.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Total RD&D, million NC",,,,,,,,,,,,,,,,,,,770.658,120.101,,,,,,,210.798,,,,,,,,,,,,,,,,1273.974,,,,,,,,,,,,,,,,375.014,,,1112.618,,,,,,,,,2.065,,,232.614,1102.818,,,,705.655,,,,,,,,,,,,,25218,,,,,,35.573,,,,386042.882,,,,,,,,,,,,,,,71.436,,,,,,,,,,,,,,,,,,,,,,,197.02,,21.22,,,,,2971.217,,,,,,,,,,412.803,2.99,,,,,,,,,,,,,,,,,,,24.225,,,,,162.444,,,,,1232,244.885,,,,,,,,,,,,,,,,,,317.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
