CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>R&D personnel,Latest available,,,,,,,,,RDPERSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"R&D personnel, FTE",,metadata/RDPERS_FTE.html,,,,,,RDPERS_FTE,,779,7331,,2038,,,76904,,,147809.2,69318.2,,,562,,,,77863.71,,,,,2496.6,2172.6,1214,266709,,140,22421,2049.47,,1894.63,,226620,37,,,,15261.451,3758848,,,217,,,,10645,,1245,66433.4,,217,59532,,,,8948,112751.6,,,,5636,11501.12,,50367.2,428642.886,,1053.6,6562.47,640515.775,3004.5,,50512.21,,920,,,,,,,27378,36847,2941.32,528219,51544,80886,3656.513,29443.895,77143.331,248140.1,,875005,3348,17586,42566,,825,,268,5570,,71.55,,,,10523,5593.4,1464.487,1830,1720.6,82360.33,,856,1391,,,626.91,59073.095,,18,,672.57,,37859.06,2320.04,7418,558.8,,6500,128327.135,,26400,,595,11329.6,,42409,1566.546,101519,,5160.65,1178,,496,,26576.9,109249.3,48477.705,1952.17,442027.053,4169,31331,833654,,,,,,,,,5642.3,21572.8,180,,42542.54,17591.1,14225,,,37956.48,200865.838,4601,,,,82156,81451.047,,,89617,2023.8,,539.49,,,,21294,122288.396,,,,2006.6,81854.4,11400,416538.2,1966.59,,1412,20535,,,80310,,2130,,,,245941.196,48,,,1762,,,,,,,,,6,,,,,,,,,,,,2536289.054,,2583175.843,2869397.853,,,131,,,,51,,,,,,,,,,,,,,,,,,,33,,,,,,
,,"R&D personnel, per thousand total employment",,metadata/RDPERS_EMP.html,,,,,,RDPERS_EMP,,0.711,0.863,,0.282,,,4.256,,,13.202,16.155,,,0.766,,,,16.922,,,,,0.567,1.939,1.295,2.857,,0.86,7.422,0.302,,0.22,,12.559,0.183,,,,1.901,4.853,,,0.211,,,,6.739,,3.229,12.826,,0.2,21.046,,,,1.291,4.278,,,,9.048,0.269,,20.168,15.574,,2.054,3.358,14.876,0.289,,12.566,,0.15,,,,,,,7.326,8.553,16.012,1.091,0.559,3.621,0.474,14.8,21.105,10.138,,13.225,1.969,2.064,3.165,,0.478,,0.108,6.273,,0.107,,,,7.959,13.763,4.104,0.173,0.282,5.787,,0.175,7.846,,,1.18,1.514,,,,3.277,,3.474,0.255,0.289,0.888,,0.538,14.596,,11.143,,0.138,0.267,,15.403,0.767,1.63,,5.985,0.68,,0.175,,0.671,6.841,10.594,1.345,17.043,3.043,3.661,11.527,,,,,,,,,1.537,8.409,,,11.739,7.759,15.109,,,2.553,10.873,0.581,,,,17.084,16.403,,,2.261,2.838,,0.175,,,,6.104,4.594,,,,0.148,4.2,1.949,13.311,0.094,,1.062,1.707,,,1.494,,0.442,,,,21.963,,,,1.635,,,,,,,,,,,,,,,,,,,,,13.812,,11.398,12.513,,,,,,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"R&D personnel, FTE",,,,,,,,,,,,,,,,78713,,,,69318.2,,,,,,,77863.71,,,,,,2172.6,,,,,22421,,,1894.63,,,,,,,15261.451,3758847.6,,,,,,,10645,,1245,66433.4,,,59532,,,,,112751.59,,,,5636,,,50367.2,428642.886,,,6562.47,640515.775,,,50512.21,,,,,,,,,,36847,2941.32,528219,,,3656.513,29443.895,,248140.1,,875005,3348,,,,,,,5570,,71.55,,,,10523,5593.4,1464.487,,,82360.33,,,1391,,,,,,,,672.57,,,2320.04,,,,,128327.135,,26400,,,,,42409,1566.546,101519,,,,,,,,109249.3,48477.705,,442027.053,4169,31331,833654,,,,,,,,,,21572.8,,,,17591.1,14225,,,,200865.838,,,,,82156,81451.047,,,89617,2023.8,,,,,,21294,122288.396,,,,,81854.4,,416538.2,,,,20535,,,,,,,,,245941.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,2869397.853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"R&D personnel, per thousand total employment",,,,,,,,,,,,,,,,4.256,,,,16.155,,,,,,,16.922,,,,,,1.939,,,,,7.422,,,0.22,,,,,,,1.901,4.853,,,,,,,6.739,,3.229,12.826,,,21.046,,,,,4.278,,,,9.048,,,20.168,15.574,,,3.358,14.876,,,12.566,,,,,,,,,,8.553,16.012,1.091,,,0.474,14.8,,10.138,,13.225,1.969,,,,,,,6.273,,0.107,,,,7.959,13.763,4.104,,,5.787,,,7.846,,,,,,,,3.277,,,0.255,,,,,14.596,,11.143,,,,,15.403,0.767,1.63,,,,,,,,6.841,10.594,,17.043,3.043,3.661,11.527,,,,,,,,,,8.409,,,,7.759,15.109,,,,10.873,,,,,17.084,16.403,,,2.261,2.838,,,,,,6.104,4.594,,,,,4.2,,13.311,,,,1.707,,,,,,,,,21.963,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"R&D personnel, FTE",,,,,,,,,,,,,,,,76904,,,,68101.3,,,562,,,,68701.1,,,,,,1767,,,,,19335,,,,,,,,,,15886.507,3710580,,,,,,,10027,,1269,64443.5,,,58361,,,,8948,111601.79,,,,5789.9,,,52130.2,423902.746,,,5967.21,605252.495,,,43316.11,,,,,,,,,27378,37329,,,,,3861.434,28379.4,,249466.8,,895285,,,,,,,,5739,,,,,,11791,5242.6,1066.62,,,75061.97,,,1444,,,,,,,,600,,37859.06,,,558.8,,,124065.875,,,,,,,40297,1320.86,,,,,,,,,104359.2,46877.554,,430868.037,4149,31391,829190,,,,,,,,,,19446,,,42542.537,17594,14866,,,,200232.64,,,,,83473,,,,84216,1965,,539.49,,,,21177,115444.147,,,,,87389.8,,396280.8,,,,,,,,,,,,,240527.932,,,,,,,,,,,,,,,,,,,,,,,,,,,,2779160.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"R&D personnel, per thousand total employment",,,,,,,,,,,,,,,,4.244,,,,15.974,,,0.766,,,,15.069,,,,,,1.6,,,,,6.51,,,,,,,,,,2.01,4.803,,,,,,,6.391,,3.355,12.614,,,20.89,,,,1.291,4.346,,,,9.562,,,20.791,15.474,,,3.05,14.187,,,10.831,,,,,,,,,7.326,8.853,,,,,0.517,14.626,,10.25,,13.579,,,,,,,,6.547,,,,,,8.941,13.241,3.028,,,5.386,,,8.237,,,,,,,,2.945,,3.474,,,0.888,,,14.242,,,,,,,14.676,0.703,,,,,,,,,6.634,10.387,,16.831,3.024,3.635,11.591,,,,,,,,,,7.642,,,11.739,7.914,15.969,,,,11.11,,,,,17.621,,,,2.138,2.84,,0.175,,,,6.182,4.452,,,,,4.252,,12.886,,,,,,,,,,,,,21.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
