CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Regional inequalities in R&D personnel,Latest available,,,,,,,,,RDPERS_INEQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Share of R&D personnel in the 20% top region, percentage",,,,,,,,RDPERS_TOP20,,,,,,,,,,,,0.348,,,,,,,0.211,,,,,,,,,,,,,,,,0.226,,,,,0.235,,,,,,,,,,,0.512,,,0.361,,,,,,,,,0.2,,,0.306,0.482,,,,0.334,,,0.248,,,,,,,,,,0.383,,,,,,0.228,,0.299,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,0.209,,,,,,,0.333,,,,,,,,,,0.387,0.318,,0.248,,,,,,,,,,,,,,,,,0.571,0.299,,,,0.36,,,,,0.267,,,,,,,,,,,,,,,,,,,0.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.309,,,,,,,,,,,,
,,R&D personnel Hirshman-Herfindal index,,,,,,,,RDPERS_HHI,,,,,,,,,,,,0.113,,,,,,,0.169,,,,,,,,,,,,,,,,0.236,,,,,0.204,,,,,,,,,,,0.097,,,0.221,,,,,,,,,,,,0.125,0.154,,,,0.069,,,0.079,,,,,,,,,,0.253,,,,,,0.446,,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127,,,,,,,0.1,,,,,,,,,,0.071,0.215,,0.318,,,,,,,,,,,,,,,,,0.096,0.175,,,,0.082,,,,,0.084,,,,,,,,,,,,,,,,,,,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Share of R&D personnel in the 20% top region, percentage",,,,,,,,,,,,,,,,,,,,0.348,,,,,,,0.211,,,,,,,,,,,,,,,,0.226,,,,,0.235,,,,,,,,,,,0.512,,,0.361,,,,,,,,,0.2,,,0.306,,,,,0.334,,,0.248,,,,,,,,,,0.383,,,,,,0.228,,0.299,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,0.209,,,,,,,0.333,,,,,,,,,,0.387,0.318,,0.248,,,,,,,,,,,,,,,,,0.571,0.299,,,,0.36,,,,,0.267,,,,,,,,,,,,,,,,,,,0.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.309,,,,,,,,,,,,
,,R&D personnel Hirshman-Herfindal index,,,,,,,,,,,,,,,,,,,,0.113,,,,,,,0.169,,,,,,,,,,,,,,,,0.236,,,,,0.204,,,,,,,,,,,0.097,,,0.221,,,,,,,,,,,,0.125,,,,,0.069,,,0.079,,,,,,,,,,0.253,,,,,,0.446,,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127,,,,,,,0.1,,,,,,,,,,0.071,0.215,,0.318,,,,,,,,,,,,,,,,,0.096,0.175,,,,0.082,,,,,0.084,,,,,,,,,,,,,,,,,,,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Share of R&D personnel in the 20% top region, percentage",,,,,,,,,,,,,,,,,,,,0.367,,,,,,,0.207,,,,,,,,,,,,,,,,0.231,,,,,0.235,,,,,,,,,,,0.513,,,0.365,,,,,,,,,0.2,,,0.307,,,,,0.333,,,0.227,,,,,,,,,,0.382,,,,,,0.225,,0.308,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,0.205,,,,,,,0.338,,,,,,,,,,0.378,0.317,,0.248,,,,,,,,,,,,,,,,,0.582,0.303,,,,0.357,,,,,0.265,,,,,,,,,,,,,,,,,,,0.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.312,,,,,,,,,,,,
,,R&D personnel Hirshman-Herfindal index,,,,,,,,,,,,,,,,,,,,0.121,,,,,,,0.159,,,,,,,,,,,,,,,,0.245,,,,,0.204,,,,,,,,,,,0.099,,,0.224,,,,,,,,,,,,0.125,,,,,0.07,,,0.073,,,,,,,,,,0.247,,,,,,0.415,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.121,,,,,,,0.103,,,,,,,,,,0.067,0.212,,0.316,,,,,,,,,,,,,,,,,0.109,0.185,,,,0.08,,,,,0.085,,,,,,,,,,,,,,,,,,,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Share of R&D personnel in the 20% top region, percentage",,,,,,,,,,,,,,,,,,,,0.368,,,,,,,0.207,,,,,,,,,,,,,,,,0.227,,,,,0.237,,,,,,,,,,,0.512,,,0.368,,,,,,,,,0.2,,,0.309,,,,,0.333,,,0.222,,,,,,,,,,0.388,,,,,,0.225,,0.311,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,0.208,,,,,,,0.346,,,,,,,,,,0.38,0.32,,0.243,,,,,,,,,,,,,,,,,0.591,0.309,,,,0.361,,,,,0.267,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.309,,,,,,,,,,,,
,,R&D personnel Hirshman-Herfindal index,,,,,,,,,,,,,,,,,,,,0.121,,,,,,,0.159,,,,,,,,,,,,,,,,0.241,,,,,0.207,,,,,,,,,,,0.101,,,0.227,,,,,,,,,,,,0.126,,,,,0.07,,,0.073,,,,,,,,,,0.261,,,,,,0.415,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.123,,,,,,,0.107,,,,,,,,,,0.071,0.211,,0.301,,,,,,,,,,,,,,,,,0.117,0.208,,,,0.081,,,,,0.085,,,,,,,,,,,,,,,,,,,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
