CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Researchers,Latest available,,,,,,,,,RDRSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Researchers, FTE",,metadata/RSE_FTE.html,,,,,,RSE_FTE,,467,5593,,1150,,,51665,,,100413.9,42338.7,,,493,,,,55087.36,,,,,1645.975,1252.5,382,138653,,101.9,14224,742.445,,471.34,,159190,25,,,,8175.327,1619028,5490.768,,101.75,,2726,1269,6367,,860,38080.999,,102,42425,,,,6372.6,62208.35,400,,,4186,4266.723,,37515.8,277631.498,,58.6,5152.82,387981.973,940.6,,35068.69,,411,,,,,,,23675,25316,1944.44,282994,21349,52656,2341.012,21450.648,63521.267,120676.9,,662071,2339,12552,9305,,439,,87,3613,,49.65,,,,8124,2868.6,768.797,1106,732.1,69864,,442.5,817,,,227.9,29920.625,,10,,523.27,,35025.06,1161.87,837,339.8,,1500,76976.884,,18700,,101,5676.5,,30632,906.969,55611,,2492.25,150,,1222,,18480.85,82594.3,39579.654,1203.45,356447.29,2694,17459,449180,123.2,,,,,,,,4679,14656.7,13,,36665.6,14405.5,7900,,,23346.01,122437.034,2276,,,,65333,43739.502,,,59416,1785,,271.59,,,,20113,95160.763,,,,1262.7,43016.1,18344.97,289330.4,928.55,1379977.162,1799,15385,,10834,61663,,536,,,,145380.827,39.9,,,1178,,,,,,,1864815.02,,6,,,,,,,,,,,,1616702.041,,1588385.179,1840650.839,,,86,,,,48,,,,,,,,,,,,,4776352.608,,,,,,2,,,,,,
,,"Researchers, headcount",,metadata/RSE_HC.html,,,,,,RSE_HC,,1721,13805,,1482,,,82407,3856,,,71448,16137,,1560,,,16953,66723.536,,1000,34,,2153,1797,760,234797,,244,17795,1144,379,794,4562,,128,,134,,13015.062,2069650,11566,,,,4072,2397,10726,3853,2127,56604.54,,12470,59287,,,,11410,127770,828,,,7181,8221,,55728,379093.8,531,60,9069,586030,2542,,53744,,666,214,,,,,539,28040,38418,3722,,41143,95200,6158,25393,,168074,,907455,9092,17421,13012,,4025,3441,209,7827,,118,,460,,19371,2713,1688,1828,1843,89861,,898,1347,,,353,42222.051,,10,1867,1766,,47006,2434,4725,749,19,5123,111795.274,,31000,874,129,17624,,52181,2313,81306,,4533,622,,1985,3737,26624.74,115375,78736,1725,453262,3368,27535,379411,564,,,21,,,,35324,8170,16338,14,,40730,24396,12155,,,45935,214226.922,5705,11208,,,101820,70834.256,,2467,108227,3772,,729,,,1228,34589,190784,,,,2823,53835,,489181.2,3064,,2288,31680,,12792,128998,,612,,,,183570.798,62,,,1976,,,,6,,,,,7,,,,,,,,,,,,2380004,,,2706928,,,156,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Researchers, per thousand employment",,metadata/RSE_EMP.html,,,,,,RSE_EMP,,0.426,0.659,,0.159,,,2.864,,,8.969,9.868,,,0.672,,,,11.972,,,,,0.374,1.118,0.408,1.485,,0.611,4.709,0.109,,0.055,,8.822,0.123,,,,1.018,2.09,0.245,,0.099,,1.332,0.206,4.03,,2.231,7.352,,0.1,14.998,,,,0.919,2.36,0.152,,,6.72,0.1,,15.022,10.087,,0.114,2.636,9.011,0.09,,8.724,,0.067,,,,,,,6.322,5.876,10.585,0.585,0.201,2.357,0.304,10.782,17.378,4.93,,10.006,1.375,1.473,0.692,,0.254,,0.035,4.069,,0.075,,,,6.144,7.059,2.154,0.105,0.12,4.909,,0.09,4.608,,,0.429,0.767,,,,2.55,,3.214,0.127,0.033,0.54,,0.124,8.755,,7.893,,0.023,0.134,,11.126,0.444,0.893,,2.89,0.087,,0.389,,0.467,5.172,8.65,0.829,13.743,1.966,2.04,6.211,0.026,,,,,,,,1.275,5.713,,,10.118,6.354,8.391,,,1.57,6.628,0.287,,,,13.586,8.809,,,1.499,2.503,,0.088,,,,5.765,3.575,,,,0.093,2.207,3.022,9.246,0.044,9.139,1.101,1.279,,0.847,1.147,,0.111,,,,12.983,,,,1.058,,,,,,,,,,,,,,,,,,,,,8.804,,7.029,8.027,,,,,,,0.734,,,,,,,,,,,,,8.293,,,,,,,,,,,,
,,"Women researchers, headcount",,metadata/WRSE_HC.html,,,,,,WRSE_HC,,763,4808,,401,,,43350,1863,,,21145,8419,,210,,,7535,22285.772,,,14,,1351,811,188,,,99,8804,264,55,154,994,,51,,17,,4297.104,,6088,,,,1706,395,5246,2086,813,15252.17,,,20399,,,,1505,47376,257,,,3151,1093,,17995,101292.7,118,12,1481,164094.589,465,,21163,,298,122,,,,,143,,11848,1699,,10874,29935,13845,8210.403,,60532,,138420,2548,8849,3338,,1503,961,48,3994,,13,,101,,9734,740,383,836,360,37566,,144,408,,,148,13942.803,,5,935,839,,11091,512,4038,327,3,399,26116.484,,8657,96,,4106,,19507,261,18079,,1024,199,,801,,6004,42958,34874,377,85652,1559,12669,152929,123,,,,,,,18,2031,7452,5,,12252,10293,4387,,,20231,85759.006,1906,4483,,,33876,23762.219,,728,26951,1409,,65,,,400,15735,71136,,,,687,30079,,183011.6,789,,1180,12639,,5773,43845,,188,,,,40805.345,17,,,1632,,,,2,,,,,,,,,,,,,,,,,772055,,,897956,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Women researchers, % of total researchers",,metadata/WRSE_XRSE.html,,,,,,WRSE_XRSE,,44.3,34.8,,27.1,,,52.605,48.1,,,29.595,53.3,,41.2,,,41.1,33.4,,,45.2,,62.7,38.9,27.2,,,40.6,48.6,23.1,14.5,20.7,21.8,,39.8,,41.5,,33.016,,37.8,,,,42.7,16.5,47.7,46.6,37.3,26.945,,,35.246,,,,37.4,42.8,38.8,,,43.88,13.3,,32.291,26.72,22.4,20,51.2,28.001,18.3,,39.377,,44.7,5.8,,,,,26.5,,30.84,45.648,,30.6,25.9,34.2,32.333,,36.015,,15.254,22.5,51.5,25.7,,37.3,43.2,23,51.028,,31,,24.8,,52.4,27.276,34.5,35.4,19.5,49.9,,16,29.5,,,41.9,33.023,,50,48.9,49.9,,30.2,32.2,85.5,43.7,15.8,7.8,23.361,,52,42.5,,23.3,,37.383,21.1,29.8,,22.6,41.1,,51.7,,52.3,37.233,44.292,21.9,18.897,48,46.011,40.307,21.8,,,,,,,1.4,24.9,49.6,35.7,,30.081,42.191,36.092,,,44.043,40.032,36.9,40,,,33.27,33.546,,33.8,52.7,49.1,,10.2,,,43.8,47.4,37.286,,,,24.3,45.8,,37.412,25.4,,49.1,40.9,,56.3,41.7,,30.7,,,,22.229,27.4,,,42,,,,18.2,,,,,,,,,,,,,,,,,,,,,,,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Women, glass ceiling index",,,,,,,,GLASCEIL_I,,,,,,,,,,,,1.76,,,,,,,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12,,,1.71,,,,,,,,,2.56,,,1.58,1.72,,,,1.34,,,1.49,,,,,,,,,,1.57,1.41,,,,,1.43,,1.73,,,,,,,,,,1.63,,,,,,2.96,2.82,,,,,,,,,,,,,,,,,,,,,,,1.78,,,,,,,1.51,,,,,,,,,,1.82,1.75,,,,,,,,,,,,,,,,,,,1.82,1.63,,,,1.8,,,,,1.64,1.73,,,,,,,,,,,,,,,,,,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Researchers employed in the business sector, headcount",,,,,,,,RSE_BE_HC,,,,,,,,5773,,,,33643,,,,,,,30373.536,,,,,,,,,,,,,,,,,,,,,2914.958,1176429,,,,,,,,,,22537.66,,,28518.9,,,,,,,,,1782,,,27977,223800.9,,,,252897,,,6004,,,,,,,,,,16485,1422,,,,,13750,58688,54216,,540895,,,,,,,,1208,,,,,,,1097,,,,,,,,,,,8541.051,,,,,,,,,,,,75303.138,,9300,,,,,21206,,,,,,,,,,28386,21646,,317842,,5848,198123,,,,,,,,,,,,,19916,3801,5689,,,6182,60209.922,,,,,48961,23807.256,,,,,,,,,,,51069,,,,,,,133891.3,,,,,,,,,,,,,111846.798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Researchers employed in the high education sector, headcount",,,,,,,,RSE_HE_HC,,,,,,,,48746,,,,33781,,,,,,,32077,,,,,,,,,,,,,,,,,,,,,7647.645,553645,,,,,,,,,,23963,,,28113,,,,,,,,,4610,,,22173,122009.8,,,,270343,,,38724,,,,,,,,,,15643,2058,,,,,17022,,79220,,322100,,,,,,,,5672,,,,,,,828,,,,,,,,,,,23954,,,,,,,,,,,,25396,,19300,,,,,24604,,,,,,,,,,70771,51924,,99870,,14743,45967,,,,,,,,,,,,,18210,16565,4376,,,36133,121161,,,,,42894,45932,,,,,,,,,,,132516,,,,,,,342696.3,,,,,,,,,,,,,50773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Researchers employed in the public sector, headcount,  % total",,,,,,,,RSE_PUB_HC_XT,,,,,,,,96,,,,53,,,,,,,54,,,,,,,,,,,,,,,,,,,,,75,43,,,,,,,,,,59,,,51,,,,,,,,,73,,,51,40,,,,60,,,89,,,,,,,,,,57,64,,,,,46,,68,,40,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,33,,73,,,,,59,,,,,,,,,,75,74,,30,,,47,,,,,,,,,,,,,,87,53,,,86,72,,,,,52,70,,,,,,,,,,,73,,,,,,,73,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
