CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>Small and medium-sized firms (SMEs),Latest available,,,,,,,,,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, SMEs, million NC",,metadata/BE_SME_NC.html,,,,,,BE_SME_NC,,,,,,,,,,,6598.899,2202.579,,,,,,,2370.067,,,,,,,,,,,160.321,,,,,5727,,,,,86851.44,,,,,,,,391.643,,10.545,14886.23,,,8663.9,,,,,,,,,60.942,,,961.2,8865.657,,,,6031.5,,,169.78,,,,,,,,,,125065.1,17237.4,,,,,526.4,,3518.542,,871023,,,,,,,,26.4,,,,,,89.727,31.2,,,,,,,28.456,,,,,,,,,,,,,,,,2715.454,,781,,,,,14089.2,,,,,,,,,,2539.1,485.898,,12746950,,419.877,,,,,,,,,,,,,,2135.2,71.369,289.684,,,,3151.994,,,,,17118,3016,,,,,,,,,,,,,,,,,,4701.3,,,,,,,,,,,,,64016.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, SMEs, million USD PPPs",,,,,,,,BE_SME_PPP,,,,,,,,,,,4367.09,2763.305,,,,,,,2939.924,,,,,,,,,,,252.474,,,,,4678.92,,,,,229.306,,,,,,,,105.907,,16.632,1175.274,,,1177.985,,,,,,,,,115.73,,,1060.574,10923.1,,,,7784.75,,,268.943,,,,,,,,,,970.944,122.827,,,,,537.865,,4786.521,,8492.55,,,,,,,,53.205,,,,,,198.073,34.85,,,,,,,50.544,,,,,,,,,,,,,,,,3385.423,,540.118,,,,,1513.232,,,,,,,,,,1442.791,841.135,,14310.78,,259.967,,,,,,,,,,,,,,2396.408,147.772,495.92,,,,4755.113,,,,,1991.002,2227.356,,,,,,,,,,,,,,,,,,6785.296,,,,,,,,,,,,,4209.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, SMEs, million constant USD PPPs",,,,,,,,BE_SME_PPPK,,,,,,,,,,,4279.116,2389.607,,,,,,,2010.131,,,,,,,,,,,,,,,,4599.236,,,,,180.315,,,,,,,,,,,1118.001,,,1273.216,,,,,,,,,115.474,,,1014.694,9670.547,,,,8677.782,,,281.824,,,,,,,,,,725.768,,,,,,491.23,,3896.915,,7413.573,,,,,,,,24.865,,,,,,492.061,98.89,,,,,,,37.947,,,,,,,,,,,,,,,,3515.449,,505.687,,,,,1326.452,,,,,,,,,,942.391,766.348,,12914.755,,326.211,,,,,,,,,,,,,,2368.859,138.35,496.481,,,,5097.912,,,,,1769.794,2211.561,,,,,,,,,,,,,,,,,,6222.718,,,,,,,,,,,,,4029.933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, SMEs, % of total BERD",,metadata/BE_SME_XBE.html,,,,,,BE_SME_XBE,,,,,,,,,,,36.485,40.991,,,,,,,39.652,,,,,,,,,,,86.681,,,,,40.074,,,,,42.482,,,,,,,,39.319,,71.565,43.542,,,25.401,,,,,,,,,53.915,,,27.374,32.003,,,,11.858,,,39.212,,,,,,,,,,49.042,85.699,,,,,42.575,,32.504,,6.4,,,,,,,,74.788,,,,,,89.231,32.67,,,,,,,68.817,,,,,,,,,,,,,,,,42.654,,73.265,,,,,56.337,,,,,,,,,,37.061,48.228,,25.116,,50.528,,,,,,,,,,,,,,49.774,36.838,45.125,,,,50.376,,,,,21.392,27.81,,,,,,,,,,,,,,,,,,29.244,,,,,,,,,,,,,16.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.139,,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, SMEs, million NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86851.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17237.4,,,,,,,,,871023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12746945.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64016.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, SMEs, million USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.827,,,,,,,,,8492.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14310.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4209.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, SMEs, million constant USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, SMEs, % of total BERD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.699,,,,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
