CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>Starting a business,Latest available,,,,,,,,,STBUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Starting a business - Time required to start a business,,metadata/STBUSTIME.html,,,,,,STBUSTIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Starting a business - Number of procedures,,metadata/STBUSPROC_NB.html,,,,,,STBUSPROC_NB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Starting a business - Cost, % of income per capita",,metadata/STBUSCOST_XIC.html,,,,,,STBUSCOST_XIC,19,10.3,10.9,,22.5,,9.5,9.7,1,,0.7,0.3,1.2,10.3,0.8,13.9,7.1,0.9,5,34.2,45.3,,4,55.6,14.1,0.7,4.8,,1.3,1.4,43.5,13.4,60.7,32.7,0.4,14.8,,204,150.4,0.7,0.7,7.5,89.7,52.7,,11.1,20,3.4,,12.5,6.7,,30,0.2,170.7,15,16.4,22,9.2,42.7,99.4,38.1,1.3,79.1,21.3,1,0.8,15.1,131.2,3.1,2,19.4,,2.2,17.3,25.1,79,43.2,10.9,235.3,,42,1.2,7.5,2.2,14.3,19.9,3.1,37.4,0.2,3.4,14,5,7.5,20.7,0.5,35.5,46,2.3,2.1,4.9,1.5,34.2,9.3,16.8,26.9,,0.6,2,,43.7,84.6,6.7,4.9,71.3,14.1,12.7,19.4,2,18.1,144.2,,1.5,1.6,,9.1,15.1,97.1,11.1,,28.4,4.6,,0.3,72.2,67.8,31.7,,0.9,3.2,13.9,3.3,,6.3,17.3,39.9,9.8,16.1,12.2,2.2,5.1,14.5,4.3,2.1,1.1,55,9.1,17.8,17.9,8,9.1,19.1,4.1,63.4,6.6,14.2,44.2,0.6,1.5,0,31.4,180,0.3,5.2,18.7,14.8,100.7,23.4,0.5,2.3,8.5,21.5,6.7,0.1,0.3,77.8,,7.5,0.7,3.9,16.6,,,,39.7,0.6,11.2,0.1,23.2,1.1,21.7,3.4,44.2,88.7,4.9,71.9,34.3,,,,2.2,,,,0.9,,,,,,330.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,
,,"Starting a business - Paid-in minimum capital, % of income per capita",,metadata/STBUSCAP_XIC.html,,,,,,STBUSCAP_XIC,0,0,23.6,,18.9,,0,2.3,0,,0,13.1,0,0,189.6,0,0,0,17.2,0.1,6.2,,0,0,28,0,0,,0,0,28.5,0,24.1,143.6,0,0,,540.1,201.2,0,0,0,31.4,79.3,,0,3.4,26.6,,0,0,,500,14.3,0,0,39.8,0,0,2.6,15.8,167.2,17.3,138.9,0,6.8,0,11.4,0,0,33.9,2.4,,0,0,18.1,13.9,345.5,0,16.7,,0,0,47.7,8.4,0,31,0,13.4,0,0,0,0,0,0.1,0,0,20.8,8.2,0,0,0,33.2,0,0,34.6,,21.2,22.6,,0,0,0,1.7,274.4,1.4,0,0,0,0,0,,0,0,,0,0,0,0,,0,0,,0,0,46.4,0,,4.8,273.7,0,8.7,,0,0,0,0,3.3,11.4,0,61.5,0,0,0.6,0,0,0,0,0,0,29.8,285.8,0,4.8,0,0,0,0,18.5,41.8,0,0,0,13.4,0,0,0.3,0.4,12,24.6,115.2,0,0,0,156.6,34.7,,0,0,0,11,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Starting a business - Time required to start a business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,9,,,,11,36,,30,,,,39,27.5,,10,10,,16,11.5,11,,,,,32,21,8,,26,,6.5,7.5,,144,34,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Starting a business - Number of procedures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,7,,,,9,10,,12,,,,4,4,,5,6,,4,7,10,,,,,15,6,6,,9,,5,7,,17,10,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Starting a business - Cost, % of income per capita",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,,,,,,35.5,,,,20.7,25.1,,23.3,,,,23.3,6.6,,0.3,94.9,,7.6,0.7,4.2,,,,,64.4,1.2,6.3,,23.8,,23.4,3.3,,49.9,5.3,,31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Starting a business - Paid-in minimum capital, % of income per capita",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,0,0,,0.4,,,,0,0,,127.5,37.5,,0,0,0,,,,,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
