CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Investments on tangible assets,Latest available,,,,,,,,,TANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Investments on machinery and equipment, million NC",,,,,,,,TANG_NC,,,,,,,,367931.385,,,89534,27417.79,,,,,,,31185.4,,,,,,,,420240,,,7717.412,,,,,90684,,,,,14048791.42,,65387000,,,,2200592.21,,,,1560.465,543386,,,123592,,,,,,,,,1777.768,,,10747,109094,,,,205837,,,8274.739,,,,,,,,,,3102901,183341,8529301.724,595603350,,,20532.576,71386.204,103803.4,,40361200,,,,,,,,1859.022,,,,,,2469.577,3168.108,,,,,,,1296.171,,,,1643946,,,,,,,,,,,,39862,,17075,,,,,119255,,,,,,,,48688,,143573.5,9370.93,,133724200,,68144.8,,,,,,,,,,,,,,,8787.998,2982.134,,,,77357,,,,,319416,50261.626,,,,,,,,,,,,,,,,,,76650,,1187385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895584.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Investments on machinery and equipment, million USD PPPs",,,,,,,,TANG_PPP,,,,,,,,39918.779,,,61218.691,34379.628,,,,,,,39087.38,,,,,,,,242893.471,,,11359.63,,,,,71450.574,,,,,36050.62,,54343.826,,,,5953.661,,,,2402.409,42249.625,,,17080.504,,,,,,,,,3285.703,,,11877.467,135773.31,,,,264571.769,,,13541.133,,,,,,,,,,23219.297,1300.532,626717.483,146683.892,,,25394.704,18890.655,143533.77,,393525.208,,,,,,,,3777.846,,,,,,5481.555,3608.364,,,,,,,2160.749,,,,195639.819,,,,,,,,,,,,49548.108,,11828.607,,,,,11889.249,,,,,,,,31210.26,,81851.373,16021.568,,149621.014,,42191.907,,,,,,,,,,,,,,,18050.996,5091.679,,,,117118.73,,,,,35553.016,40702.572,,,,,,,,,,,,,,,,,,110520.498,,1187385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,972598.163,,,1224393.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Investments on machinery and equipment, million constant USD PPPs",,,,,,,,TANG_PPPK,,,,,,,,167165.554,,,59581.806,32615.666,,,,,,,37346.681,,,,,,,,303171.212,,,11421.652,,,,,74262.099,,,,,39301.224,,58845.158,,,,6499.704,,,,2232.936,39818.08,,,16311.908,,,,,,,,,3477.98,,,11956.916,127886.865,,,,256159.167,,,11482.469,,,,,,,,,,24591.691,1382.296,582079.006,173883.686,,,24214.906,17967.854,134512.903,,361540.226,,,,,,,,3824.355,,,,,,5493.571,3428.962,,,,,,,2268.353,,,,214396.685,,,,,,,,,,,,46760.791,,11416.851,,,,,13055.734,,,,,,,,29029.85,,79697.686,15066.542,,159087.663,,44399.975,,,,,,,,,,,,,,,17535.422,4683.589,,,,106614.063,,,,,35459.426,34346.95,,,,,,,,,,,,,,,,,,109352.519,,1187385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925464.144,,,1172789.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Investments on machinery and equipment, % of total gross fixed capital formation",,metadata/TANG_XGFCF.html,,,,,,TANG_XGFCF,,,,,,,,,,,14.685,24.846,,,,,,,24.24,,,,,,,,24.922,,,,,,,,15.835,,,,,,,,,,,,,,,,34.434,,,18.695,,,,,,,,,27.863,,,18.433,15.196,,,,27.255,,,27.08,,,,,,,,,,29.965,19.38,34.131,11.127,,,7.441,18.614,29.911,,26.646,,,,,,,,,,,,,,,13.891,,,,,,,,,,,29.366,,,,,,,,,,,,21.293,,21.07,,,,,12.728,,,,,,,,,,32.899,24.237,,18.621,,,27.333,,,,,,,,,,,,,,34.917,30.236,,,,3.531,,,,,24.173,26.519,,,,,,,,,,,55.87,,,,,,,18.164,,23.461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Investments on machinery and equipment, % of GDP",,,,,,,,TANG_XGDP,,,,,,,,4.483,,,5.41,7.848,,,,,,,7.602,,,,,,,,7.272,,,8.331,,,,,4.473,,,,,8.401,,8.18,,,,7.507,,,,8.717,11.524,,,5.997,,,,,,,,,8.324,,,5.021,4.895,,,,6.522,,,4.705,,,,,,,,,,9.052,7.57,13.167,5.165,,,7.724,4.763,6.191,,7.607,,,,,,,,7.43,,,,,,6.393,5.318,,,,,,,12.981,,,,9.035,,,,,,,,,,,,5.673,,6.782,,,,,4.003,,,,,,,,8.448,,7.756,4.978,,8.717,,10.199,,,,,,,,,,,,,,,9.432,7.661,,,,6.941,,,,,7.319,7.995,,,,,,,,,,,,,,,,,,3.952,,6.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Machinery and equipment (expenditure, USD, constant PPPs, OECD base year, millions",,metadata/TANG_OBY.html,,,,,,TANG_OBY,,,,,,,,,,,84690.423,18563.899,,,,,,,,,,,,,,,,,,,,,,,55041.931,,,,,,,36283.294,,,,,,,,,20489.394,,,10595.009,,,,,,,,,2928.587,,,7079.325,76955.918,,,,154952.775,,,7096.186,,,,,,,,,,12659.333,,554438.75,,,,3297.311,13691.168,90174.782,,325013.196,,,,,,,,,,,,,,,1468.68,,,,,,,,,,,93198.011,,,,,,,,,,,,29230.477,,8394.808,,,,,10777.015,,,,,,,,,,44611.432,11369.747,,109129.424,,,,,,,,,,,,,,,,,8791.331,3831.707,,,,54850.706,,,,,23966.752,25346.998,,,,,,,,,,,150674.785,,,,,,,56789.222,,800948.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Investments on machinery and equipment, annual growth rates, %",,,,,,,,TANG_GRO,,,,,,,,,,,-5.564,7.462,,,,,,,0.731,,,,,,,,,,,,,,,,-5.072,,,,,-0.323,,-2.73,,,,8.947,,,,,-1.077,,,4.993,,,,,,,,,6.163,,,10.128,5.536,,,,2.152,,,-0.576,,,,,,,,,,1.136,21.04,7.834,0.854,,,27.897,-2.88,7.124,,3.525,,,,,,,,,,,,,,,-6.998,,,,,,,,,,,8.856,,,,,,,,,,,,3.419,,3.207,,,,,,,,,,,,,-5.468,,5.317,5.182,,-2.299,,,,,,,,,,,,,,,,,1.959,7.518,,,,5.015,,,,,4.8,1.264,,,,,,,,,,,,,,,,,,2.241,,-2.832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Investments on machinery and equipment, million NC",,,,,,,,,,,,,,,,,,,,27417.79,,,,,,,,,,,,,,,,,,7717.412,,,,,90684,,,,,14048791.42,,,,,,,,,,1560.465,543386,,,123592,,,,,,,,,1741.131,,,10747,109094,,,,204409,,,8274.739,,,,,,,,,,,183341,,,,,20532.576,,103541.637,,,,,,,,,,1859.022,,,,,,2469.577,2881.9,,,,,,,1284.824,,,,,,,,,,,,,,,,39862,,,,,,,124597,,,,,,,,,,143573.5,9205.963,,,,,,,,,,,,,,,,,,,7635.556,3046.736,,,,77313,,,,,320231,,,,,,,,,,,,,,,,,,,76650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888582.902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
