CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>Payments,Latest available,,,,,,,,,TBOPPYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Technology BoP: payments, million NC",,metadata/TBPPY_NC.html,,,,,,TBPPY_NC,,,,,,,,53.1,,,5894,10203,,,,,,,16068,,,,,,,,,,,,,,,,2699,,,,,,,,,,,,,,,,90112.952,,,51713,,,,,,,,,401.07,,,9721.181,4597,,,,64772,,,732.7,,,,,,,,,,1167207.149,71642.1,,,,,66125,59746.631,11937.893,,3949833,,,,,,,,285,,,,,,,4480.2,,,,,,,,,,,2542.349,,,,,,,,,,,,50743.899,,1013,,,,,26526,,,,,,,,,,18293.638,1597.035,,11772974.1,,633,100835.486,,,,,,,,,,,,,8616.6,737.9,246.5,,,,15418.15,,,,,235926.084,29195.192,,,,,,,,,,,,,,,,,,26876,,130834,,,,,,,,,,,33833.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Technology BoP: payments, million USD exchange rate",,metadata/TBPP_USD.html,,,,,,TBPP_USD,,,,,,,,355.164,,,7799.621,7133.518,,,,,,,17499.965,,,,,,,,,,,,,,,,1227.427,,,,,,,,,,,,,,,,2436.236,,,6045.565,,,,,,,,,277.919,,,5022.446,3233.51,,,,53734.285,,,950.692,,,,,,,,,,3817.109,243.817,,,,,98091.411,3512.255,12015.718,,4978.734,,,,,,,,156.378,,,,,,,6004.377,,,,,,,,,,,523.88,,,,,,,,,,,,50215.893,,1209.603,,,,,2902.979,,,,,,,,,,3112.976,1726.522,,16409,,157.726,2205.429,,,,,,,,,,,,,17075.042,550.306,666.586,,,,10097.294,,,,,15751.586,33998.806,,,,,,,,,,,,,,,,,,21280.416,,88891,,,,,,,,,,,5373.869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Technology BoP: payments, million NC",,,,,,,,,,,,,,,,,,,5894,10203,,,,,,,16068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90112.952,,,51713,,,,,,,,,401.07,,,9721.181,,,,,64772,,,732.7,,,,,,,,,,1167207.149,71642.1,,,,,66125,59746.631,11937.893,,3949833,,,,,,,,285,,,,,,,4480.2,,,,,,,,,,,,,,,,,,,,,,,50743.899,,,,,,,,,,,,,,,,,18293.638,1597.035,,11772974.1,,,100835.486,,,,,,,,,,,,,,,,,,,15418.15,,,,,235926.084,29195.192,,,,,,,,,,,,,,,,,,26876,,130834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Technology BoP: payments, million USD exchange rate",,,,,,,,,,,,,,,,,,,7799.621,7133.518,,,,,,,17499.965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2436.236,,,6045.565,,,,,,,,,277.919,,,5022.446,,,,,53734.285,,,950.692,,,,,,,,,,3817.109,243.817,,,,,98091.411,3512.255,12015.718,,4978.734,,,,,,,,156.378,,,,,,,6004.377,,,,,,,,,,,,,,,,,,,,,,,50215.893,,,,,,,,,,,,,,,,,3112.976,1726.522,,16409,,,2205.429,,,,,,,,,,,,,,,,,,,10097.294,,,,,15751.586,33998.806,,,,,,,,,,,,,,,,,,21280.416,,88891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Technology BoP: payments, million NC",,,,,,,,,,,,,,,,,,,5524,9964,,,,,,,14460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82909.269,,,48877,,,,,,,,,370.669,,,8796.16,,,,,57140,,,766.6,,,,,,,,,,1145354.954,51798.5,,,,,56896,52879.649,11414.699,,3660325,,,,,,,,239,,,,,,,4298.2,,,,,,,,,,,,,,,,,,,,,,,39286.163,,,,,,,,,,,,,,,,,18992.843,1507.619,,10281688.7,,,49093.905,,,,,,,,,,,,,,,,,,,14462.25,,,,,192337.873,30017.953,,,,,,,,,,,,,,,,,,27828,,134325,,,,,,,,,,,33833.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Technology BoP: payments, million USD exchange rate",,,,,,,,,,,,,,,,,,,9205.28,8472.522,,,,,,,18237.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3132.371,,,6645.385,,,,,,,,,365.248,,,6560.735,,,,,57025.67,,,1144.573,,,,,,,,,,4821.083,294.826,,,,,76593.666,3792.104,14238.326,,4842.57,,,,,,,,169.822,,,,,,,7211.196,,,,,,,,,,,,,,,,,,,,,,,48838.69,,,,,,,,,,,,,,,,,5709.523,1936.304,,15540,,,2455.831,,,,,,,,,,,,,,,,,,,10729.574,,,,,16632.499,36019.395,,,,,,,,,,,,,,,,,,22995.423,,90459,,,,,,,,,,,5373.869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
