CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Product and/or process innovative firms,Latest available,,,,,,,,,TCHINNO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Product and/or process innovative firms, % of total firms",,,,,,,,TINFRM_XB,,,,,,,,,,,51.251,38.715,,,,,,,44.694,,,,,,,,35.704,,,,,,,,53.3,,,,,18.812,,,,,,,,,,,33.653,,,35.57,,,,,,,,,36.287,,,42.771,35.232,,,,49.429,,,32.909,,,,,,,,,,15.244,16.77,18.342,,,,13.19,23.278,40.33,,25.779,,,,,,,,16.515,,,,,,,8.08,,,,,,,,,,,,,,,,,,,,,,,42.544,,15.013,,,,,26.911,,,,,,,,,,15.07,40.21,,14.579,,,7.892,,,,,,,,,,,,,,19.415,31.663,,,,20.871,,,,,43.038,54.808,,,,,,,,,,,8.91,,,,,,,34.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Product and/or process innovative firms, SMEs, % of total SMEs",,,,,,,,TINFRMSME_XSME,,,,,,,,,,,50.961,36.919,,,,,,,43.451,,,,,,,,35.076,,,,,,,,52.6,,,,,18.118,,,,,,,,,,,31.714,,,34.08,,,,,,,,,35.316,,,41.303,33.743,,,,48.085,,,32.296,,,,,,,,,,13.736,16.56,17.861,,,,13.421,22.234,39.679,,24.799,,,,,,,,15.722,,,,,,,7.972,,,,,,,,,,,,,,,,,,,,,,,42.133,,15.022,,,,,26.105,,,,,,,,,,13.423,39.235,,13.933,,,4.266,,,,,,,,,,,,,,17.939,29.641,,,,19.752,,,,,42.163,53.876,,,,,,,,,,,8.805,,,,,,,34.566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Product and/or process innovative firms, large firms, % of total large firms",,,,,,,,TINFRMLGE_XLGE,,,,,,,,,,,60.837,75,,,,,,,73.559,,,,,,,,53.692,,,,,,,,64.6,,,,,29.953,,,,,,,,,,,69.554,,,68.168,,,,,,,,,72.614,,,71.429,68.33,,,,76.311,,,66.296,,,,,,,,,,52.365,21.429,28.974,,,,7.581,55.56,72.668,,46.607,,,,,,,,44.615,,,,,,,8.861,,,,,,,,,,,,,,,,,,,,,,,55.168,,14.583,,,,,46.591,,,,,,,,,,53.587,78.834,,37.634,,,20.46,,,,,,,,,,,,,,42.929,78.857,,,,66.482,,,,,66.202,77.477,,,,,,,,,,,12.404,,,,,,,41.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Product and/or process innovative firms, % of total firms",,,,,,,,,,,,,,,,,,,51.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Product and/or process innovative firms, SMEs, % of total SMEs",,,,,,,,,,,,,,,,,,,50.961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Product and/or process innovative firms, large firms, % of total large firms",,,,,,,,,,,,,,,,,,,60.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Product and/or process innovative firms, % of total firms",,,,,,,,,,,,,,,,,,,,38.715,,,,,,,44.694,,,,,,,,35.704,,,,,,,,53.3,,,,,18.812,,,,,,,,,,,,,,35.57,,,,,,,,,36.287,,,42.771,35.232,,,,49.429,,,32.909,,,,,,,,,,15.244,,,,,,,23.278,40.33,,25.779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.544,,,,,,,,,,,,,,,,,15.07,40.21,,14.579,,,7.892,,,,,,,,,,,,,,19.415,31.663,,,,20.871,,,,,43.038,54.808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Product and/or process innovative firms, SMEs, % of total SMEs",,,,,,,,,,,,,,,,,,,,36.919,,,,,,,43.451,,,,,,,,35.076,,,,,,,,52.6,,,,,18.118,,,,,,,,,,,,,,34.08,,,,,,,,,35.316,,,41.303,33.743,,,,48.085,,,32.296,,,,,,,,,,13.736,,,,,,,22.234,39.679,,24.799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.133,,,,,,,,,,,,,,,,,13.423,39.235,,13.933,,,4.266,,,,,,,,,,,,,,17.939,29.641,,,,19.752,,,,,42.163,53.876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
