CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>Total funding,Latest available,,,,,,,,,TER_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Tertiary education expenditure, million NC",,metadata/TER_NC.html,,,,,,TER_NC,,,,,,,,30919,,,29159,4416.72,,,,,,,6467,,,,,,,,45836,,,,,,,,47530,,,,,3273366,,21643189,,,,66104,,,,,55854,,,32916,,,,,,,,,285,,,3666.96,31514,,,,36648,,,3108.63,,,,,,,,,,386669,24510,882456.35,115710293,,,2149,17494,17715,10359.105,7495721,0,,,,,,,354,,,,,,594,245,,,,9560.324,,,,,,,210752,,,,,,,,,,,,11615,,4152,,,,,38850,,,,,,,660103,2528.554,17298.274,23311,2411,,32692853,,,864695,,,,,,,,,,,,,,853,431,,,13967.53,13654,4766,,,,63927,7716,,,33347.9,,,,,,,434.163,29200,,,,,,,33798,,430303,1513.07,,,,,,,,,,,,,,,,,,,,,,,,,,2290.205,1467.865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Tertiary education expenditure, million USD PPPs",,metadata/TER_PPP.html,,,,,,TER_PPP,,,,,,,,9662.188,,,20153.007,3177.512,,,,,,,8021.921,,,,,,,,27779.394,,,,,,,,38188.767,,,,,9361.019,70011.489,18351.592,,,,181.763,,,,,4368.621,,,4475.417,,,,,,,,,546.959,,,4039.79,37325.571,,,,47300.92,,,1285.75,,,,,,,,,,3093.861,178.876,58406.006,31492.067,,,2649.07,4556.244,24026.877,408.337,73993.319,0,,,,,,,709.035,,,,,,1299.781,273.665,,,,7678.975,,,,,,,26730.392,,,,,,,,,,,,14552.112,,2871.411,,,,,4302.636,,,,,,,480.743,1924.318,1191.587,13229.518,4131.202,,37617.71,,1097.29,46839.967,,,,,,,,,,,,,,1690.643,730.005,,,2185.448,20234.14,238.24,,,,7435.377,5698.369,,,3022.286,,,,,,,836.538,27282.224,,,,,,,48170.425,,430303,162.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Tertiary education expenditure, million constant USD PPPs",,metadata/TER_PPPK.html,,,,,,TER_PPPK,,,,,,,,9294.199,,,18775.14,5154.782,,,,,,,7353.362,,,,,,,,26309.91,,,,,,,,37245.67,,,,,8611.271,,17374.62,,,,172.087,,,,,3976.178,,,4179.475,,,,,,,,,513.475,,,3926.882,36178.54,,,,43583.41,,,5112.277,,,,,,,,,,2816.528,170.64,57850.999,30297.05,,,2349.048,4079.632,22048.45,486.046,69041.3,0,,,,,,,650.956,,,,,,1232.1,243.182,,,,9140.246,,,,,,,24864.78,,,,,,,,,,,,13234.3,,2607.065,,,,,3922.152,,,,,,,572.226,2289.467,1418.301,12212.01,3815.88,,37571,,,43554.11,,,,,,,,,,,,,,1653.607,661.896,,,3251.451,18733.6,287.924,,,,6867.559,5272.33,,,3597.518,,,,,,,995.048,25738.78,,,,,,,46550.6,,407393.5,193.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Tertiary education expenditure, % of GDP",,metadata/TER_XGDP.html,,,,,,TER_XGDP,,,,,,,,1.166,,,1.834,1.431,,,,,,,1.651,,,,,,,,0.86,,,,,,,,2.608,,,,,2.374,,3.046,,,,0.266,,,,,1.363,,,1.706,,,,,,,,,1.589,,,1.863,1.51,,,,1.297,,,1.56,,,,,,,,,,1.283,1.296,0.979,1.343,,,1.193,1.652,1.104,2.293,1.49,0,,,,,,,1.554,,,,,,1.697,0.526,,,,2.323,,,,,,,1.311,,,,,,,,,,,,1.779,,1.787,,,,,1.265,,,,,,,1.826,1.32,0.412,1.407,1.416,,2.287,,,1.292,,,,,,,,,,,,,,1.173,1.2,,,0.557,1.331,0.286,,,,1.696,1.237,,,0.578,,,,,,,1.32,1.614,,,,,,,2.018,,2.578,0.523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Tertiary education expenditure, USD PPPs per 100 000 population",,metadata/TER_PPPHAB.html,,,,,,TER_PPPHAB,,,,,,,,24.354,,,86965.142,37709.408,,,,,,,70827.515,,,,,,,,14061.017,,,,,,,,109484.607,,,,,51205.652,5084.109,39072.757,,,,,,,,,41171.835,,,78992.576,,,,,,,,,40824.119,,,75005.392,58481.757,,,,58463.351,,,11558.342,,,,,,,,,,30934.17,56019.322,4782.846,12756.838,,,57068.084,55297.359,38816.32,14911.97,57312.013,0,,,,,,,34531.246,,,,,,40930.911,55745.226,,,,31055.02,,,,,,,22207.978,,,,,,,,,,,,85578.204,,66238.369,,,,,84517.791,,,,,,,8635.592,7482.944,1486.511,34457.67,39548.584,,74705.92,,5116.668,32707.875,,,,,,,,,,,,,,30731.684,34940.248,,,4247.518,43508.28,1319.252,,,,76345.123,71113.479,,,4762.862,,,,,,,8580.753,35557.442,,,,,,,77273.403,,135957.788,4910.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Tertiary education expenditure, million NC",,,,,,,,,,,,,,,,,,,29159,,,,,,,,6467,,,,,,,,45836,,,,,,,,,,,,,3273366,,21643189,,,,66104,,,,,55854,,,32916,,,,,,,,,,,,,,,,,36648,,,,,,,,,,,,,386669,24510,,,,,2149,17494,17715,,7495721,,,,,,,,354,,,,,,594,245,,,,,,,,,,,210752,,,,,,,,,,,,11615,,4152,,,,,38850,,,,,,,,,,23311,2411,,32692853,,,,,,,,,,,,,,,,,,431,,,,13654,,,,,63927,,,,,,,,,,,,29200,,,,,,,,,430303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Tertiary education expenditure, million USD PPPs",,,,,,,,,,,,,,,,,,,20153.007,,,,,,,,8021.921,,,,,,,,27779.394,,,,,,,,,,,,,9361.019,,18351.592,,,,181.763,,,,,4368.621,,,4475.417,,,,,,,,,,,,,,,,,47300.92,,,,,,,,,,,,,3093.861,178.876,,,,,2649.07,4556.244,24026.877,,73993.319,,,,,,,,709.035,,,,,,1299.781,273.665,,,,,,,,,,,26730.392,,,,,,,,,,,,14552.112,,2871.411,,,,,4302.636,,,,,,,,,,13229.518,4131.202,,37617.71,,,,,,,,,,,,,,,,,,730.005,,,,20234.14,,,,,7435.377,,,,,,,,,,,,27282.224,,,,,,,,,430303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Tertiary education expenditure, million constant USD PPPs",,,,,,,,,,,,,,,,,,,18775.14,,,,,,,,7353.362,,,,,,,,26309.91,,,,,,,,,,,,,8611.271,,17374.62,,,,172.087,,,,,3976.178,,,4179.475,,,,,,,,,,,,,,,,,43583.41,,,,,,,,,,,,,2816.528,170.64,,,,,2349.048,4079.632,22048.45,,69041.3,,,,,,,,650.956,,,,,,1232.1,243.182,,,,,,,,,,,24864.78,,,,,,,,,,,,13234.3,,2607.065,,,,,3922.152,,,,,,,,,,12212.01,3815.88,,37571,,,,,,,,,,,,,,,,,,661.896,,,,18733.6,,,,,6867.559,,,,,,,,,,,,25738.78,,,,,,,,,407393.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
