CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Top universities,Latest available,,,,,,,,,TOPUNI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Top 20 universities, number",,,,,,,,UNI20_NB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Top 20 universities, per million population",,,,,,,,UNI20_HAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.021,,,,,,,,,,,,,,,,,,46.489,,49.788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Top 20 universities, per GDP billion USD PPPs",,,,,,,,UNI20_GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193,,,,,,,,,,,,,,,,,,0.11,,0.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Top 100 universities, number",,metadata/UNI100_NB.html,,,,,,UNI100_NB,,,,,,,,0,,,6,1,,,,,,,2,,,,,,,,0,,,,,,,,4,,,,,0,2,0,,,,0,,0,,,0,,,2,,,,,0,,,,0,,,1,3,,,,3,,,0,,,,,,,,,,0,0,0,0,0,,0,2,1,,4,,,,,,,,0,,,,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,3,,0,,,,,1,,,,,,,,,,0,0,,0,,,1,,,,,,,,0,,0,,,1,,0,,,,0,,,,,3,4,,,,,,,,,,,0,,,,,,,8,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Top 100 universities, per million population",,,,,,,,UNI100_HAB,,,,,,,,,,,246.295,121.576,,,,,,,174.636,,,,,,,,,,,,,,,,109.608,,,,,,1.42,,,,,,,,,,,,,355.477,,,,,,,,,,,,181.225,46.18,,,,36.85,,,,,,,,,,,,,,,,,,,,236.741,16.966,,31.697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.059,,,,,,,202.655,,,,,,,,,,,,,,,,6.814,,,,,,,,,,,,,,,,,,,,,,,,302.847,488.922,,,,,,,,,,,,,,,,,,123.124,,154.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Top 100 universities, per GDP billion USD PPPs",,,,,,,,UNI100_GDP,,,,,,,,,,,0.51,0.349,,,,,,,0.379,,,,,,,,,,,,,,,,0.246,,,,,,0.009,,,,,,,,,,,,,0.702,,,,,,,,,,,,0.423,0.107,,,,0.074,,,,,,,,,,,,,,,,,,,,0.623,0.053,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.346,,,,,,,0.304,,,,,,,,,,,,,,,,0.028,,,,,,,,,,,,,0.205,,,,,,,,,,,0.611,0.75,,,,,,,,,,,,,,,,,,0.284,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Top 200 universities, number",,metadata/UNI200_NB.html,,,,,,UNI200_NB,,,,,,,,1,,,8,2,,,,,,,4,,,,,,,,1,,,,,,,,6,,,,,0,12,0,,,,0,,0,,,0,,,3,,,,,0,,,,0,,,1,9,,,,14,,,0,,,,,,,,,,0,0,0,0,0,,1,4,2,,6,,,,,,,,0,,,,,,0,,,,,0,,,,,,,1,,,,,,,,,,,,9,,1,,,,,2,,,,,,,,,,0,1,,3,,,1,,,,,,,,2,,0,,,2,,0,,,,1,,,,,5,6,,,,,,,,,,,0,,,,,,,21,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Top 200 universities, per million population",,,,,,,,UNI200_HAB,,,,,,,,,,,328.394,233.315,,,,,,,349.271,,,,,,,,4.945,,,,,,,,164.412,,,,,,8.517,,,,,,,,,,,,,533.216,,,,,,,,,,,,181.225,138.54,,,,171.966,,,,,,,,,,,,,,,,,,,216.499,473.481,32.342,,47.546,,,,,,,,,,,,,,,,,,,,,,,,,,8.178,,,,,,,,,,,,528.176,,214.823,,,,,405.311,,,,,,,,,,,96.713,,59.053,,,6.814,,,,,,,,,,,,,365.631,,,,,,21.581,,,,,504.745,733.383,,,,,,,,,,,,,,,,,,323.199,,219.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Top 200 universities, per GDP billion USD PPPs",,,,,,,,UNI200_GDP,,,,,,,,0.114,,,0.68,0.455,,,,,,,0.758,,,,,,,,0.031,,,,,,,,0.369,,,,,,0.056,,,,,,,,,,,,,1.053,,,,,,,,,,,,0.423,0.322,,,,0.346,,,,,,,,,,,,,,,,,,,0.298,1.247,0.087,,0.121,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,,,,,,,,,,,,1.037,,0.553,,,,,0.609,,,,,,,,,,,0.317,,0.164,,,0.028,,,,,,,,0.119,,,,,0.411,,,,,,0.059,,,,,1.019,1.125,,,,,,,,,,,,,,,,,,0.746,,0.383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
