CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Top 500,Latest available,,,,,,,,,TP500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Top 500 corporate R&D investors, number",,metadata/CORPRD500_NB.html,,,,,,CORPRD500_NB,,,,,,,,0,,,5,0,,,,,,,3,,,2,,,,,3,,,,,,,,5,,3,,,0,34,0,,,,0,,,,,0,,,5,,,,,,,,,0,,,1,31,,,,36,,,0,,,,,,,,,16,0,0,3,0,,,9,2,7,,86,,,,,,,,0,,,,,1,0,1,,,,0,,,0,,,,0,,,,,,,,,,,,14,,1,,,,,1,,,,,,,,,,0,1,,12,,,1,,,,,,,,1,,,,,1,0,0,,,,5,,,,,7,11,,,0,,,,,,,,0,,,,,,,26,,173,,,,0,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,Top 500 corporate R&D investors per million population,,metadata/CORPRD500_HAB.html,,,,,,CORPRD500_HAB,,,,,,,,,,,212.857,0,,,,,,,265.871,,,46.292,,,,,15.038,,,,,,,,140.011,,34.74,,,0,24.394,0,,,,,,,,,0,,,893.386,,,,,,,,,0,,,182.983,481.669,,,,444.918,,,0,,,,,,,,,137.665,0,0,2.367,0,,,1952.32,244.313,113.974,,677.438,,,,,,,,0,,,,,27.281,0,2013.973,,,,0,,,0,,,,0,,,,,,,,,,,,827.497,,226.859,,,,,194.666,,,,,,,,,,0,95.104,,237.982,,,6.955,,,,,,,,0.035,,,,,182.815,0,0,,,,86.088,,,,,721.798,1362.242,,,0,,,,,,,,0,,,,,,,424.195,,542.563,,,,0,,,,,,,682.769,,,,,,,,,,,,,,,,,,,,,,,,,,,,980.787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,"Top 500 corporate R&D investors, per GDP USD PPPs",,metadata/CORPRD500_GDP.html,,,,,,CORPRD500_GDP,,,,,,,,0,,,4.566,0,,,,,,,6.153,,,,,,,,0.997,,,,,,,,3.124,,,,,0,1.887,0,,,,0,,0,,,0,,,19.262,,,,,0,,,,0,,,4.499,11.904,,,,9.582,,,0,,,,,,,,,38.595,0,0,0.148,0,,,39.476,7.223,3.251,,18.494,,,,,,,,0,,,,,,0,18.257,,,,0,,,0,,,,0,,,,,,,,,,,,17.203,,6.861,,,,,2.963,,,,,,,,0,,0,3.506,,7.126,,,0.298,,,,,,,,0.594,,,,,2.119,0,0,,,,2.559,,,,,15.938,22.563,,,0,,,,,,,,0,,,,,,,10.39,,9.972,,,,0,,,,,,,14.814,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Top 500 corporate R&D investors, total R&D investments, million EUR",,metadata/CORPRD500_EUR.html,,,,,,CORPRD500_EUR,,,,,,,,0,,,2441.568,706.18,,,,,,,1231.733,,,1384.235,,,,,1846.125,,,,,,,,3012.043,,1215.465,,,0,23401.426,0,,,,0,,,,,30.182,,,2763.457,,,,,,,,,0,,,2718,25001.166,,,,56273.204,,,32.527,,,,,,,,,511.106,133.268,53.439,2772.591,0,,,5228.511,1413.401,4017.848,,71632.648,,,,,,,,0,,,,,185.116,0,213.327,,,,32.614,,,33.881,,,,50.45,,,,,,,,,,,,15401.816,,161.016,,,,,332.566,,,,,,,,,,0,167,,20712.571,,,287.731,,,,,,,,409.473,,,,,572.44,0,101.102,,,,3219.506,,,,,7364.296,21767.079,,,48.57,,,,,,,,151.405,,,,,,,19524.304,,195842.075,,,,175.439,,,,,,,7675.992,,,,,,,,,,,,,,,,,,,,,,,,,,,,139556.774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528505.171,,,
,,"Top 500 corporate R&D investors, total R&D investments, million USD PPPs",,metadata/CORPRD500_PPP.html,,,,,,CORPRD500_PPP,,,,,,,,,,,1590.054,,,,,,,,1469.403,,,1955.423,,,,,1107.454,,,,,,,,2388.209,,1009.33,,,,6402.579,,,,,,,,,,,,,364.304,,,,,,,,,,,,2893.689,30154.189,,,,71506.296,,,,,,,,,,,,90.461,,,156.741,,,,6219.959,352.798,5299.748,,680.464,,,,,,,,,,,,,245.74,,236.928,,,,,,,,,,,,,,,,,,,,,,,18667.821,,108.749,,,,,35.174,,,,,,,,,,,281.548,,24.161,,,15.091,,,,,,,,233.052,,,,,664.084,,,,,,4765.609,,,,,822.871,15887.356,,,,,,,,,,,152.645,,,,,,,27571.11,,195842.075,,,,64.666,,,,,,,512.895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Top 500 corporate R&D investors, number",,,,,,,,,,,,,,,,,,,5,,,,,,,,3,,,,,,,,3,,,,,,,,5,,,,,,34,,,,,,,,,,,,,5,,,,,,,,,,,,1,31,,,,36,,,,,,,,,,,,16,,,3,,,,9,2,7,,86,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,1,,,,,,,,,,,,,12,,,1,,,,,,,,1,,,,,1,,,,,,5,,,,,7,11,,,,,,,,,,,,,,,,,,26,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Top 500 corporate R&D investors per million population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Top 500 corporate R&D investors, per GDP USD PPPs",,,,,,,,,,,,,,,,0,,,4.566,0,,,,,,,6.153,,,,,,,,0.997,,,,,,,,3.124,,,,,0,1.887,0,,,,0,,0,,,0,,,19.262,,,,,0,,,,0,,,4.499,11.904,,,,9.582,,,0,,,,,,,,,38.595,0,0,0.148,0,,,39.476,7.223,3.251,,18.494,,,,,,,,0,,,,,,0,18.257,,,,0,,,,,,,0,,,,,,,,,,,,17.203,,6.861,,,,,2.963,,,,,,,,0,,0,3.506,,7.126,,,0.298,,,,,,,,0.594,,,,,2.119,0,0,,,,2.559,,,,,15.938,22.563,,,0,,,,,,,,0,,,,,,,10.39,,9.972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
