CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Trademarks,Latest available,,,,,,,,,TRDMRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Trademarks abroad, number",,metadata/TRDMRKA_NB.html,,,,,,TRDMRKA_NB,,,,,,,,117.333,,,991.333,271.74,,,,,,,275.202,,,,,,,,246.333,,,,,,,,2595.333,,,,,93.333,2043.667,,,,,,,,,,70.099,,,296.405,,,,,,,,,19.039,,,181.737,1953.674,,,,2775.385,,,45.434,,,,,,,,,,37.213,22,260,41,,,201.209,329.333,1479.427,,2175.305,,,,,,,,,,,,,,,250.538,,,,,,,,,,,628.667,,,,,,,,,,,,659.879,,197.667,,,,,156.667,,,,,,,,,,81.349,84.378,,1307.667,,,206.667,,,,,,,,45,,,,,,22.501,19.905,,,,759.402,,,,,499.777,1866.667,,,,,,,,,,,258,,,,,,,2446.095,,12848.617,,,,,,,,,,,,,,,,,,,,,,2948.667,,,,,,,,,,,,,,,,,12670.106,,,,,,,,,,,,,,,,,,,,35900.974,,,,,,,,,,,,
,,"Trademarks abroad, per million population",,metadata/TRDMRK_HAB.html,,,,,,TRDMRK_HAB,,,,,,,,2.856,,,43624.949,32249.019,,,,,,,24730.049,,,,,,,,1253.437,,,,,,,,74406.447,,,,,5363.174,1484.074,,,,,,,,,,6670.156,,,52985.631,,,,,,,,,14322.704,,,33574.195,30757.279,,,,33874.189,,,4096.869,,,,,,,,,,3751.159,68843.153,210.239,166.083,,,43881.306,41632.956,24286.26,,17059.205,,,,,,,,,,,,,,,471874.653,,,,,,,,,,,5370.75,,,,,,,,,,,,39384.088,,44589.819,,,,,31220.938,,,,,,,,,,2111.108,8024.654,,26151.011,,,1444.461,,,,,,,,1.591,,,,,,4160.976,9675.762,,,,16456.294,,,,,52501.072,234647.034,,,,,,,,,,,3431.955,,,,,,,38397.223,,40935.627,,,,,,,,,,,,,,,,,,,,,,0.982,,,,,,,,,,,,,,,,,2656.929,,,,,,,,,,,,,,,,,,,,28679.481,,,,,,,,,,,,
,,"Trademarks abroad, per GDP billion USD PPPs ",,metadata/TRDMRK_GDP.html,,,,,,TRDMRK_GDP,,,,,,,,0.16,,,0.965,0.731,,,,,,,0.61,,,,,,,,0.106,,,,,,,,1.767,,,,,0.251,0.138,,,,,,,,,,0.242,,,1.239,,,,,,,,,0.586,,,0.857,0.808,,,,0.808,,,0.158,,,,,,,,,,0.166,1.754,0.041,0.018,,,1.001,1.328,0.711,,0.481,,,,,,,,,,,,,,,5.272,,,,,,,,,,,0.316,,,,,,,,,,,,0.909,,1.353,,,,,0.472,,,,,,,,,,0.093,0.309,,0.871,,,0.061,,,,,,,,0.051,,,,,,0.161,0.34,,,,0.505,,,,,1.225,4.388,,,,,,,,,,,0.188,,,,,,,1.082,,0.791,,,,,,,,,,,,,,,,,,,,,,0.098,,,,,,,,,,,,,,,,,0.734,,,,,,,,,,,,,,,,,,,,0.777,,,,,,,,,,,,
,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Trademarks abroad, number",,,,,,,,,,,,,,,,117.333,,,991.333,271.74,,,,,,,275.202,,,,,,,,246.333,,,,,,,,2595.333,,,,,93.333,2043.667,,,,,,,,,,70.099,,,296.405,,,,,,,,,19.039,,,181.737,1953.674,,,,2775.385,,,45.434,,,,,,,,,,37.213,22,260,41,,,201.209,329.333,1479.427,,2175.305,,,,,,,,,,,,,,,250.538,,,,,,,,,,,628.667,,,,,,,,,,,,659.879,,197.667,,,,,156.667,,,,,,,,,,81.349,84.378,,1307.667,,,206.667,,,,,,,,45,,,,,,22.501,19.905,,,,759.402,,,,,499.777,1866.667,,,,,,,,,,,258,,,,,,,2446.095,,12848.617,,,,,,,,,,,,,,,,,,,,,,2948.667,,,,,,,,,,,,,,,,,12670.106,,,,,,,,,,,,,,,,,,,,35900.974,,,,,,,,,,,,
,,"Trademarks abroad, per million population",,,,,,,,,,,,,,,,2.856,,,43624.949,32249.019,,,,,,,24730.049,,,,,,,,1253.437,,,,,,,,74406.447,,,,,5363.174,1484.074,,,,,,,,,,6670.156,,,52985.631,,,,,,,,,14322.704,,,33574.195,30757.279,,,,33874.189,,,4096.869,,,,,,,,,,3751.159,68843.153,210.239,166.083,,,43881.306,41632.956,24286.26,,17059.205,,,,,,,,,,,,,,,471874.653,,,,,,,,,,,5370.75,,,,,,,,,,,,39384.088,,44589.819,,,,,31220.938,,,,,,,,,,2111.108,8024.654,,26151.011,,,1444.461,,,,,,,,1.591,,,,,,4160.976,9675.762,,,,16456.294,,,,,52501.072,234647.034,,,,,,,,,,,3431.955,,,,,,,38397.223,,40935.627,,,,,,,,,,,,,,,,,,,,,,0.982,,,,,,,,,,,,,,,,,2656.929,,,,,,,,,,,,,,,,,,,,28679.481,,,,,,,,,,,,
,,"Trademarks abroad, per GDP billion USD PPPs ",,,,,,,,,,,,,,,,0.16,,,0.965,0.731,,,,,,,0.61,,,,,,,,0.106,,,,,,,,1.767,,,,,0.251,0.138,,,,,,,,,,0.242,,,1.239,,,,,,,,,0.586,,,0.857,0.808,,,,0.808,,,0.158,,,,,,,,,,0.166,1.754,0.041,0.018,,,1.001,1.328,0.711,,0.481,,,,,,,,,,,,,,,5.272,,,,,,,,,,,0.316,,,,,,,,,,,,0.909,,1.353,,,,,0.472,,,,,,,,,,0.093,0.309,,0.871,,,0.061,,,,,,,,0.051,,,,,,0.161,0.34,,,,0.505,,,,,1.225,4.388,,,,,,,,,,,0.188,,,,,,,1.082,,0.791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.734,,,,,,,,,,,,,,,,,,,,0.777,,,,,,,,,,,,
,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Trademarks abroad, number",,,,,,,,,,,,,,,,105.667,,,930,260.107,,,,,,,282.327,,,,,,,,250,,,,,,,,2579,,,,,125.333,1869.667,,,,,,,,,,77.117,,,289.734,,,,,,,,,14.813,,,175.147,2032.494,,,,3028.481,,,56.204,,,,,,,,,,26.141,15,257.667,33,,,231.351,282.667,1453.026,,1987.178,,,,,,,,,,,,,,,254.443,,,,,,,,,,,569,,,,,,,,,,,,753.308,,197,,,,,144.333,,,,,,,,,,74.939,88.009,,1133,,,173.333,,,,,,,,38,,,,,,14.813,29.191,,,,707.125,,,,,484.487,1876,,,,,,,,,,,205.333,,,,,,,2317.435,,12630.194,,,,,,,,,,,,,,,,,,,,,,2701.333,,,,,,,,,,,,,,,,,12838.476,,,,,,,,,,,,,,,,,,,,35324.733,,,,,,,,,,,,
