CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>Trade of Goods and Services,Latest available,,,,,,,,,TRDNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Gross exports, million NC",,,,,,,,GREXP_NC,,,,,,,,1028467.124,,,312237,182353.6,,,,,,,356092,,,,,,,,636375,,,58883.532,,,,,628695,,,,,47599327.16,15140694.74,121884000,,,,8805211.76,,171412.046,,11102.3,3796688,,,1101724,,,,,,,,,16663.715,,,75967,652178,,,,1450012,,,53036.53,,,,,,,,,,31714233,1189270,12983710,2434180590,,,335040.974,369361,501084.7,,93566300,,,,,,,,14509.896,,,,,,28725.13,117282.491,,,,,,,13878.639,,,,6409507,,,,,,,,,,,,579317,,70144,,,,,1064050,,,,,,,,128869,,967829,73958.357,,691616400,,312922.2,22124362,,,,,,,,743589,,,,,,76791.624,31386.344,,,,368515,,,,,1950148,433681.973,,,,,,,,,,,572964.839,,,,,,,547590,,2214566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6554804.816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Gross exports, million USD",,metadata/GREXP_USD.html,,,,,,GREXP_USD,,,,,,,,69687.961,,,234572.372,201710.746,,,,,,,393891.774,,,,,,,,270458.135,,12723.68,33304.38,,,6905.3,,474343.725,,,,,70318.663,2431268.13,44452.697,,,,16471.709,,25185.468,,12280.828,155347.829,,,163661.633,,,,,,,,,18432.597,,,84031.027,721407.808,,,,1603933.249,,,58666.449,,,,,,,,,125918.05,112652.236,9844.009,268229.284,181798.904,,,370606.145,96173.568,554275.696,,772993.954,,,,,,,,16050.146,,,,,,31774.352,129732.228,,,,264621.07,,,15351.88,,,,404429.528,,,,,,,,,,,,640812.489,,48915.776,,,,,126670.142,,,,,,,,45391.686,71621.68,245468.472,81809.163,,596084.155,,76719.339,329938.917,,,,,,,,198290.4,,,,,275619.62,84943.186,34718.058,,,,407633.496,,,,,227768.033,440179.818,,,250501.94,,,,,,,21163.07,189714.992,,,,,,,739352.578,,2214566,,,,,94944.2,,,,,,335847.02,,,,,,,,,,,,,,,,,,,,,,,,,6379292.512,,2228064.8,7250608.537,,,,,,,,,,,,,,,,,,,,12792658.16,,,967022.3,,,,,,,,,
,,"Gross exports, million USD PPP",,,,,,,,GREXP_PPP,,,,,,,,111583.718,,,213491.417,228656.244,,,,,,,444566.289,,,,,,,,367816.801,,,86673.506,,,,,495353.296,,,,,122144.688,4368387.591,101299.078,,,,23822.334,,48974.554,,17092.513,295202.015,,,152259.056,,,,,,,,,30798.19,,,83957.898,811670.357,,,,1863767.157,,,86791.218,,,,,,,,,,237320.553,8436.1,954019.252,599484.68,,,414378.918,97742.57,692873.026,,912279.558,,,,,,,,29486.554,,,,,,63759.257,133580.646,,,,,,,23136.036,,,,762771.276,,,,,,,,,,,,720085.826,,48591.848,,,,,106081.555,,,,,,,,83483.844,,551760.123,126447.306,,773834.11,,190630.098,873563.702,,,,,,,,542765.693,,,,,,157733.907,53588.875,,,,557932.815,,,,,217063.774,351201.77,,,,,,,,,,,426362.803,,,,,,,789561.901,,2214566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7323592.431,,,8961371.536,,,,,,,,,,,,,,,,,,,,15097829.23,,,,,,,,,,,,
,,"Gross exports,million constant USD PPPs",,,,,,,,GREXP_PPPK,,,,,,,,467272.66,,,207783.015,216924.273,,,,,,,426444.88,,,,,,,,459096.184,,,87146.73,,,,,514845.066,,,,,133158.203,4576140.184,109689.743,,,,26007.211,,44334.598,,15886.758,278212.589,,,145407.632,,,,,,,,,32600.477,,,84519.495,764524.168,,,,1804504.853,,,73596.316,,,,,,,,,,251347.566,8966.478,886068.432,710647.938,,,395127.525,92967.886,649327.073,,838131.207,,,,,,,,29849.559,,,,,,63899.014,126939.236,,,,,,,24288.194,,,,835901.577,,,,,,,,,,,,679577.572,,46900.355,,,,,116489.49,,,,,,,,87293.609,,537242.121,118909.935,,822795.25,,203885.516,1398938.773,,,,,,,,458368.772,,,,,,153228.698,49293.813,,,,507890.447,,,,,216492.374,296362.345,,,,,,,,,,,623732.212,,,,,,,781217.821,,2214566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6991403.599,,,8583677.871,,,,,,,,,,,,,,,,,,,,14900621.39,,,,,,,,,,,,
,,"Gross exports, % of GDP",,metadata/GREXP_XGDP.html,,,,,,GREXP_XGDP,,,,,,,,20.71,,,18.868,52.199,,,,,,,84.46,,,,,,,,11.012,,71.14,45.12,,,57.03,,31.008,,,,,28.464,22.087,,,,,,,,,,79.541,,,53.356,,,,,,,,,78.981,,,35.233,29.261,,,,46.119,,,30.154,,,,,,,,,44.47,92.508,49.104,19.822,21.092,,,121.582,30.725,29.985,,17.636,,,,,,,,57.99,,,,,,51.92,227.937,,,,93.2,,,74.36,,,,35.227,,,,,,,,,,,,82.449,,27.862,,,,,34.137,,,,,,,,,30.79,52.282,40.287,,42.238,,29.01,25.713,,,,,,,,52.12,,,,,115.88,93.815,77.654,,,,33.067,,,,,44.42,65.538,,,65.97,,,,,,,,23.331,,,,,,,28.232,,11.891,,,,,64.89,,,,,,59.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.736,,,23.5,,,,,,,,,
,,"Gross imports, million NC",,,,,,,,GRIMP_NC,,,,,,,,1086022.83,,,348908,169742.43,,,,,,,345985,,,,,,,,790183,,,56051.007,,,,,676743,,,,,46193863.7,12739978.94,186822000,,,,9343625.75,,160916.392,,11176.7,3439485,,,962911,,,,,,,,,15849.348,,,78616,695593,,,,1199393,,,54216.044,,,,,,,,,,28143503,1030434,16398720,2405762390,,,274397.757,343873.12,444159,,95280000,,,,,,,,14373.072,,,,,,28397.48,98675.457,,,,,,,12787.785,,,,6767103,,,,,,,,,,,,501969,,68359,,,,,1037136,,,,,,,,138213,,895883,72231.203,,580332700,,320823.5,17685839,,,,,,,,728133.508,,,,,,73949.522,27685.671,,,,334767,,,,,1737007,359728.769,,,,,,,,,,,648233.356,,,,,,,584616,,2735805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6032096.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Gross imports, million USD",,metadata/GRIMP_USD.html,,,,,,GRIMP_USD,,,,,,,,73587.881,,,262121.969,187760.879,,,,,,,382711.898,,,,,,,,335826.236,,4178.74,31702.311,,,7630.29,,510595.432,,,,,68242.367,2045765.092,68136.44,,,,17478.908,,23643.348,,12363.126,140732.272,,,143040.894,,,,,,,,,17531.784,,,86961.223,769431.384,,,,1326710.614,,,59971.17,,,,,,,,,117208.38,99968.634,8529.267,338779.665,179676.465,,,303525.547,89537.079,491307.236,,787151.613,,,,,,,,15898.798,,,,,,31411.921,109150.025,,,,217269.52,,,14145.23,,,,426993.257,,,,,,,,,,,,555253.866,,47670.985,,,,,123466.157,,,,,,,,48682.935,79815.61,227220.956,79898.669,,500171.956,,78656.506,263747.563,,,,,,,,194168.936,,,,,203077.67,81799.39,30624.552,,,,370303.089,,,,,202874.176,365118.575,,,244342.98,,,,,,,24680.91,214637.23,,,,,,,789344.851,,2735805,,,,,100428.07,,,,,,304027.37,,,,,,,,,,,,,,,,,,,,,,,,,5858245.52,,2068437.3,6672414.215,,,,,,,,,,,,,,,,,,,,12655922.92,,,1325425.1,,,,,,,,,
,,"Gross imports, million USD PPP",,,,,,,,GRIMP_PPP,,,,,,,,117828.234,,,238565.139,212842.886,,,,,,,431948.113,,,,,,,,456715.904,,,82504.176,,,,,533210.66,,,,,118538.127,3675733.966,155269.735,,,,25279.003,,45975.815,,17207.055,267428.586,,,133074.999,,,,,,,,,29293.061,,,86885.544,865702.643,,,,1541635.022,,,88721.424,,,,,,,,,,210600.448,7309.395,1204947.937,592485.908,,,339375.343,90997.811,614159.224,,928988.282,,,,,,,,29208.505,,,,,,63031.994,112387.886,,,,,,,21317.556,,,,805327.428,,,,,,,,,,,,623942.957,,47355.299,,,,,103398.336,,,,,,,,89537.069,,510743.648,123494.375,,649321.269,,195443.517,698311.978,,,,,,,,531484.313,,,,,,151896.085,47270.366,,,,506838.242,,,,,193339.836,291313.424,,,,,,,,,,,482372.69,,,,,,,842949.142,,2735805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6717297.636,,,8246753.706,,,,,,,,,,,,,,,,,,,,14874135.7,,,,,,,,,,,,
,,"Gross imports,million constant USD PPPs",,,,,,,,GRIMP_PPPK,,,,,,,,493422.458,,,232186.307,201922.272,,,,,,,414341.046,,,,,,,,570056.963,,,82954.636,,,,,554192.088,,,,,129226.446,3850545.208,168130.822,,,,27597.479,,41619.966,,15993.22,252037.573,,,127086.828,,,,,,,,,31007.269,,,87466.724,815417.968,,,,1492615.571,,,75233.073,,,,,,,,,,223048.15,7768.937,1119124.512,702351.374,,,323608.499,86552.606,575560.306,,853481.878,,,,,,,,29568.087,,,,,,63170.157,106800.146,,,,,,,22379.154,,,,882537.778,,,,,,,,,,,,588843.197,,45706.851,,,,,113543.014,,,,,,,,93623.071,,497304.879,116133.024,,690404.376,,209033.635,1118287.881,,,,,,,,448841.581,,,,,,147557.616,43481.722,,,,461378.672,,,,,192830.887,245825.439,,,,,,,,,,,705669.873,,,,,,,834040.866,,2735805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6413279.077,,,7899178.938,,,,,,,,,,,,,,,,,,,,14728831.49,,,,,,,,,,,,
