CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>Value-added by domestic industries,Latest available,,,,,,,,,TRDVADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Domestic value-added in exports, million USD",,metadata/EXVA_USD.html,,,,,,EXVA_USD,,,,,,,,83135.58,,,277392.52,131335.37,,,,,,,158324.43,,,,,,,,261850.93,,12180.86,19986.97,,,4363.67,,400051.03,,,,,73948.67,1336923.27,57522.71,,,,10988.25,,15619.58,,7959.59,84336.45,,,93612.36,,,,,,,,,8990.29,,,68244.89,530940.79,,,,1064984.44,,,49414.69,,,,,,,,,100219.26,55080.1,5302.09,347106.91,195876.6,,,126845.16,66827.73,462038.03,,762035.02,,,,,,,,9302.88,,,,,,13733.52,39942.27,,,,157249.16,,,3372.3,,,,236651.55,,,,,,,,,,,,255524.41,,39611.22,,,,,165311.88,,,,,,,,,54766.42,144615.69,55207.65,,363204.24,,44264.61,497243.52,,,,,,,,351990.77,,,,,160615.4,37414.85,18160.75,,,,326150.15,,,,,165053.61,253844.53,,,152921.97,,,,,,,14310.64,129165.71,,,,,,,569277.87,,1622841.04,,,,,60842.14,,,,,,189710.94,,,,,,,,,,,,,,,,,,,,,,,,,,,1924502.3,,,,,,,,,,,,,,,,,,,,,,,,838840.9,,,,,,,,,
,,"Domestic value-added in exports, % of total gross exports",,metadata/EXGRDVA_XEXP.html,,,,,,EXGRDVA_XEXP,,,,,,,,85.93,,,86.09,72.38,,,,,,,65.63,,,,,,,,89.28,,95.73,60.18,,,63.19,,76.44,,,,,79.79,67.89,92.35,,,,72.23,,79.85,,78.56,54.91,,,67.17,,,,,,,,,64.88,,,65.4,74.99,,,,74.38,,,75.07,,,,,,,,,79.59,51.52,66.77,75.97,88.02,,,56.49,74.97,73.59,,85.3,,,,,,,,71.39,,,,,,76.29,40.98,,,,59.42,,,63.03,,,,68.31,,,,,,74.4,,,,,,68.45,,83.18,,,,,82.78,,,,,,,,88.21,76.47,67.71,67.42,,58.37,,75.6,86.35,,,,,,,,96.69,,,,,58.27,53.27,63.89,,,,73.21,,,,,70.94,78.3,,,61.05,,,,,,,67.62,74.32,,,,,,,77.07,,85.03,,,,,63.67,,,,,,56.49,,,,,,,,,,,,,,,,,,,,,,,,,72.37,,86.38,71.62,,,,,,,,,,,,,,,,,,,,75.74,,,89.5,,,,,,,,,
,,"Domestic value-added embodied in foreign final demand, million USD",,metadata/FDDVA_USD.html,,,,,,FDDVA_USD,,,,,,,,82959.3,,,274174.5,130334.9,,,,,,,156898.5,,,,,,,,259492.4,,12179.6,19953.4,,,4362.3,,391816,,,,,73785.4,1290707.2,57385.3,,,,10984.7,,15605.2,,7954.1,83577.8,,,92936.7,,,,,,,,,8961.1,,,67794.1,519118.2,,,,1020923,,,49280.5,,,,,,,,,99839.9,54833.2,5300,344255.8,193167.9,,,126394.3,66740.3,454687.4,,742573.6,,,,,,,,9250.1,,,,,,13671.5,39817.3,,,,155880.2,,,3371.8,,,,232537.4,,,,,,,,,,,,252419.8,,39546.5,,,,,163530.3,,,,,,,,,54642.5,143325.1,54908.9,,358322.5,,44078.2,490593.9,,,,,,,,350526.9,,,,,159874.8,37189,18128.5,,,,321622.1,,,,,163191.2,251697.9,,,152106.8,,,,,,,14290.9,128558.9,,,,,,,557129.6,,1508683.2,,,,,60662.6,,,,,,187664.3,,,,,,,,,,,,,,,,,,,,,,,,,,,1814786,,,,,,,,,,,,,,,,,,,,,,,,794651.1,,,,,,,,,
,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Domestic value-added in exports, million USD",,,,,,,,,,,,,,,,83135.58,,,277392.52,131335.37,,,,,,,158324.43,,,,,,,,261850.93,,12180.86,19986.97,,,4363.67,,400051.03,,,,,73948.67,1336923.27,57522.71,,,,10988.25,,15619.58,,7959.59,84336.45,,,93612.36,,,,,,,,,8990.29,,,68244.89,530940.79,,,,1064984.44,,,49414.69,,,,,,,,,100219.26,55080.1,5302.09,347106.91,195876.6,,,126845.16,66827.73,462038.03,,762035.02,,,,,,,,9302.88,,,,,,13733.52,39942.27,,,,157249.16,,,3372.3,,,,236651.55,,,,,,,,,,,,255524.41,,39611.22,,,,,165311.88,,,,,,,,,54766.42,144615.69,55207.65,,363204.24,,44264.61,497243.52,,,,,,,,351990.77,,,,,160615.4,37414.85,18160.75,,,,326150.15,,,,,165053.61,253844.53,,,152921.97,,,,,,,14310.64,129165.71,,,,,,,569277.87,,1622841.04,,,,,60842.14,,,,,,189710.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Domestic value-added in exports, % of total gross exports",,,,,,,,,,,,,,,,85.93,,,86.09,72.38,,,,,,,65.63,,,,,,,,89.28,,95.73,60.18,,,63.19,,76.44,,,,,79.79,67.89,92.35,,,,72.23,,79.85,,78.56,54.91,,,67.17,,,,,,,,,64.88,,,65.4,74.99,,,,74.38,,,75.07,,,,,,,,,79.59,51.52,66.77,75.97,88.02,,,56.49,74.97,73.59,,85.3,,,,,,,,71.39,,,,,,76.29,40.98,,,,59.42,,,63.03,,,,68.31,,,,,,74.4,,,,,,68.45,,83.18,,,,,82.78,,,,,,,,88.21,76.47,67.71,67.42,,58.37,,75.6,86.35,,,,,,,,96.69,,,,,58.27,53.27,63.89,,,,73.21,,,,,70.94,78.3,,,61.05,,,,,,,67.62,74.32,,,,,,,77.07,,85.03,,,,,63.67,,,,,,56.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.62,,,,,,,,,,,,,,,,,,,,75.74,,,,,,,,,,,,
,,"Domestic value-added embodied in foreign final demand, million USD",,,,,,,,,,,,,,,,82959.3,,,274174.5,130334.9,,,,,,,156898.5,,,,,,,,259492.4,,12179.6,19953.4,,,4362.3,,391816,,,,,73785.4,1290707.2,57385.3,,,,10984.7,,15605.2,,7954.1,83577.8,,,92936.7,,,,,,,,,8961.1,,,67794.1,519118.2,,,,1020923,,,49280.5,,,,,,,,,99839.9,54833.2,5300,344255.8,193167.9,,,126394.3,66740.3,454687.4,,742573.6,,,,,,,,9250.1,,,,,,13671.5,39817.3,,,,155880.2,,,3371.8,,,,232537.4,,,,,,,,,,,,252419.8,,39546.5,,,,,163530.3,,,,,,,,,54642.5,143325.1,54908.9,,358322.5,,44078.2,490593.9,,,,,,,,350526.9,,,,,159874.8,37189,18128.5,,,,321622.1,,,,,163191.2,251697.9,,,152106.8,,,,,,,14290.9,128558.9,,,,,,,557129.6,,1508683.2,,,,,60662.6,,,,,,187664.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Domestic value-added in exports, million USD",,,,,,,,,,,,,,,,69092.24,,,235604.81,116514.26,,,,,,,143576.94,,,,,,,,207491.33,,9215.03,16306.41,,,3790.06,,343915.91,,,,,66214.25,1121410.77,41279.89,,,,9975.55,,14745.51,,7242.29,73787.15,,,87002.29,,,,,,,,,7522.52,,,63150.93,472452.21,,,,940754.71,,,46336.21,,,,,,,,,90060.44,48459.09,4730.42,300551.51,153985.58,,,114641.51,60607.4,406477.53,,727881.85,,,,,,,,7513.29,,,,,,11276.2,35512.02,,,,134609.45,,,3442.99,,,,192924.47,,,,,,,,,,,,228759.56,,35846.67,,,,,134700.62,,,,,,,,,50165.22,126592.49,47104.56,,321654.84,,36157.35,386993.15,,,,,,,,245679.34,,,,,137286.44,32190.92,15941.78,,,,282866.71,,,,,144618.18,214350.96,,,135589.7,,,,,,,14759.95,113039.09,,,,,,,508539.49,,1458041.41,,,,,48912.43,,,,,,176371.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
