CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>Value-added by foreign industries,Latest available,,,,,,,,,TRDVAFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Foreign value-added in exports, million USD",,metadata/FRVAEXP_USD.html,,,,,,FRVAEXP_USD,,,,,,,,13608.19,,,44801.16,50110.61,,,,,,,82905.82,,,,,,,,31429.81,,542.82,13222.83,,,2541.63,,123306.42,,,,,18736.2,632290.53,4762.19,,,,4223.61,,3941.09,,2172.3,69259.01,,,45762.76,,,,,,,,,4866.57,,,36112.35,177108.07,,,,366879.61,,,16412.93,,,,,,,,,25698.79,51838.89,2638.68,109802.96,26656.19,,,97698.29,22306.64,165790.08,,131307.55,,,,,,,,3727.91,,,,,,4269.05,57525.04,,,,107371.92,,,1977.81,,,,109801.4,,,,,,,,,,,,117775.26,,8008.19,,,,,34381.21,,,,,,,,,16855.25,68960.67,26674.56,,259060.83,,14285.14,78574.33,,,,,,,,12056.95,,,,,115004.17,32817.04,10262.89,,,,119328.93,,,,,67616.73,70335.54,,,97579.96,,,,,,,6852.42,44634.27,,,,,,,169352.73,,285611.88,,,,,34720.85,,,,,,146136.07,,,,,,,,,,,,,,,,,,,,,,,,,,,303562.5,,,,,,,,,,,,,,,,,,,,,,,,128181.4,,,,,,,,,
,,"Foreign value-added in exports, % of total gross exports",,metadata/FRVAEXP_XEXP.html,,,,,,FRVAEXP_XEXP,,,,,,,,14.07,,,13.91,27.62,,,,,,,34.37,,,,,,,,10.72,,4.27,39.82,,,36.81,,23.56,,,,,20.21,32.11,7.65,,,,27.77,,20.15,,21.44,45.09,,,32.83,,,,,,,,,35.12,,,34.6,25.01,,,,25.62,,,24.93,,,,,,,,,20.41,48.48,33.23,24.03,11.98,,,43.51,25.03,26.41,,14.7,,,,,,,,28.61,,,,,,23.71,59.02,,,,40.58,,,36.97,,,,31.69,,,,,,,,,,,,31.55,,16.82,,,,,17.22,,,,,,,,,23.53,32.29,32.58,,41.63,,24.4,13.65,,,,,,,,3.31,,,,,41.73,46.73,36.11,,,,26.79,,,,,29.06,21.7,,,38.95,,,,,,,32.38,25.68,,,,,,,22.93,,14.97,,,,,36.33,,,,,,43.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.26,,,,,,,,,
,,"Foreign value-added embodied in domestic final demand, million USD",,metadata/FDFVA_USD.html,,,,,,FDFVA_USD,,,,,,,,73385.5,,,279261.2,119967.5,,,,,,,153170.4,,,,,,,,278828,,3634.7,20403.2,,,5075.1,,414442.6,,,,,65988.9,1103025.1,60470.4,,,,13090.4,,16363.3,,9069.7,74744.3,,,75918.2,,,,,,,,,8233.4,,,70229.6,605117.4,,,,835049,,,74258.7,,,,,,,,,91130.3,46719.5,4217.9,469777.3,181505,,,78138.7,68475.4,487962.4,,796163,,,,,,,,10780.3,,,,,,14810.9,21843.5,,,,108528.6,,,3108.5,,,,247682.1,,,,,,,,,,,,180858,,38430.4,,,,,97631.7,,,,,,,,,62836.4,150576.5,66295.8,,336470.4,,54039.5,328780,,,,,,,,172509.8,,,,,87332.9,36883.2,17679,,,,338823.2,,,,,135072.3,184192.6,,,145947.8,,,,,,,17808.8,198404.4,,,,,,,598330.1,,2086268.6,,,,,66146.5,,,,,,155844.6,,,,,,,,,,,,,,,,,,,,,,,,,,,1655158.6,,,,,,,,,,,,,,,,,,,,,,,,1153053.9,,,,,,,,,
,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Foreign value-added in exports, million USD",,,,,,,,,,,,,,,,13608.19,,,44801.16,50110.61,,,,,,,82905.82,,,,,,,,31429.81,,542.82,13222.83,,,2541.63,,123306.42,,,,,18736.2,632290.53,4762.19,,,,4223.61,,3941.09,,2172.3,69259.01,,,45762.76,,,,,,,,,4866.57,,,36112.35,177108.07,,,,366879.61,,,16412.93,,,,,,,,,25698.79,51838.89,2638.68,109802.96,26656.19,,,97698.29,22306.64,165790.08,,131307.55,,,,,,,,3727.91,,,,,,4269.05,57525.04,,,,107371.92,,,1977.81,,,,109801.4,,,,,,,,,,,,117775.26,,8008.19,,,,,34381.21,,,,,,,,,16855.25,68960.67,26674.56,,259060.83,,14285.14,78574.33,,,,,,,,12056.95,,,,,115004.17,32817.04,10262.89,,,,119328.93,,,,,67616.73,70335.54,,,97579.96,,,,,,,6852.42,44634.27,,,,,,,169352.73,,285611.88,,,,,34720.85,,,,,,146136.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Foreign value-added in exports, % of total gross exports",,,,,,,,,,,,,,,,14.07,,,13.91,27.62,,,,,,,34.37,,,,,,,,10.72,,4.27,39.82,,,36.81,,23.56,,,,,20.21,32.11,7.65,,,,27.77,,20.15,,21.44,45.09,,,32.83,,,,,,,,,35.12,,,34.6,25.01,,,,25.62,,,24.93,,,,,,,,,20.41,48.48,33.23,24.03,11.98,,,43.51,25.03,26.41,,14.7,,,,,,,,28.61,,,,,,23.71,59.02,,,,40.58,,,36.97,,,,31.69,,,,,,,,,,,,31.55,,16.82,,,,,17.22,,,,,,,,,23.53,32.29,32.58,,41.63,,24.4,13.65,,,,,,,,3.31,,,,,41.73,46.73,36.11,,,,26.79,,,,,29.06,21.7,,,38.95,,,,,,,32.38,25.68,,,,,,,22.93,,14.97,,,,,36.33,,,,,,43.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Foreign value-added embodied in domestic final demand, million USD",,,,,,,,,,,,,,,,73385.5,,,279261.2,119967.5,,,,,,,153170.4,,,,,,,,278828,,3634.7,20403.2,,,5075.1,,414442.6,,,,,65988.9,1103025.1,60470.4,,,,13090.4,,16363.3,,9069.7,74744.3,,,75918.2,,,,,,,,,8233.4,,,70229.6,605117.4,,,,835049,,,74258.7,,,,,,,,,91130.3,46719.5,4217.9,469777.3,181505,,,78138.7,68475.4,487962.4,,796163,,,,,,,,10780.3,,,,,,14810.9,21843.5,,,,108528.6,,,3108.5,,,,247682.1,,,,,,,,,,,,180858,,38430.4,,,,,97631.7,,,,,,,,,62836.4,150576.5,66295.8,,336470.4,,54039.5,328780,,,,,,,,172509.8,,,,,87332.9,36883.2,17679,,,,338823.2,,,,,135072.3,184192.6,,,145947.8,,,,,,,17808.8,198404.4,,,,,,,598330.1,,2086268.6,,,,,66146.5,,,,,,155844.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Foreign value-added in exports, million USD",,,,,,,,,,,,,,,,10321,,,34497.13,41414.53,,,,,,,63593.28,,,,,,,,24430.77,,436.41,9155,,,2260.04,,105396.9,,,,,14337.53,526307.13,3557.09,,,,3751.6,,3613.62,,1988.66,57640.36,,,37529.46,,,,,,,,,3685.42,,,29356.38,146524.4,,,,285030.92,,,12883.96,,,,,,,,,22593.86,45840.25,2146.23,85988.37,19179.61,,,88515.18,18502.63,134378.68,,105749.95,,,,,,,,2679.5,,,,,,3412.75,47951.81,,,,96160.82,,,2232.66,,,,101362.97,,,,,,,,,,,,96182.56,,6953.16,,,,,29025.58,,,,,,,,,19115.38,57408.56,21530.71,,207034.47,,10163.76,57966.93,,,,,,,,9977.51,,,,,96339.25,27127.94,8503.95,,,,93039.97,,,,,58427.59,60227.68,,,78012.11,,,,,,,6437.13,33006.62,,,,,,,135162.02,,225212.69,,,,,26092.85,,,,,,125899.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
