CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Triadic patent families,Latest available,,,,,,,,,TRIPATFM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Triadic patent families, number",,metadata/PTRIAD_NB.html,,,,,,PTRIAD_NB,,,,,,,,6.926,,,338.053,462.387,,,,,,,448.341,,,,,,,,37.56,,,5.23,,,,,537.082,,,,,12.627,2889.33,,,,,,,3.12,,1.077,37.862,,,296.966,,,,,,,,,9.726,,,290.736,2578.391,,,,4454.711,,,29.871,,,,,,,,,12.333,33.301,1.948,228.273,2.696,,,104.095,462.892,780.872,,17360.86,,,,,,,,2.464,,,,,,5.965,20.025,,,,,,,0.964,,,,18.854,,,,,,,,,,,,1166.646,,130.303,,,,,90.779,,,,,,,,,,100.391,28.753,,2703.291,,15.401,87.008,,,,,,,,24.609,,,,,143.663,9.413,10.215,,,,228.709,,,,,658.134,1206.869,,,,,,,,,,,49.683,,,,,,,1811.324,,14886.266,,,,,,,,,,,352.657,,,,,,,,,,,,,,,,,,,,,,,,,13359.96,,14229.994,13599.489,,,,,,,,,,,,,,,,,,,,51362.841,,,,,,,,,42780.076,,,
,,"Triadic patent families, per million population",,metadata/PTRIAD_HAB.html,,,,,,PTRIAD_HAB,,,,,,,,0.226,,,14120.233,54154.741,,,,,,,39434.707,,,,,,,,191.119,,,706.664,,,,,14876.039,,,,,706.808,2061.47,,,,,,,731.022,,1199.768,3595.083,,,52921.685,,,,,,,,,7415.67,,,52928.402,39873.122,,,,54859.617,,,2620.856,,,,,,,,,1718.167,3398.191,5939.51,184.584,10.922,,,22745.523,55658.431,12668.906,,137134.522,,,,,,,,1212.93,,,,,,1861.773,39980.611,,,,,,,2334.981,,,,155.813,,,,,,,,,,,,68702.178,,28372.358,,,,,18510.087,,,,,,,,,,2640.755,2770.555,,53406.735,,725.079,594.858,,,,,,,,0.87,,,,,23960.626,1737.795,4943.195,,,,4928.76,,,,,67163.391,148469.954,,,,,,,,,,,639.114,,,,,,,28068.725,,46322.305,,,,,,,,,,,15510.811,,,,,,,,,,,,,,,,,,,,,,,,,,,28398.738,26723.613,,,,,,,,,,,,,,,,,,,,40388.26,,,,,,,,,6042.321,,,
,,"Triadic patent families, per GDP billion USD PPPs",,metadata/PTRIAD_GDP.html,,,,,,PTRIAD_GDP,,,,,,,,0.008,,,0.299,1.084,,,,,,,0.872,,,,,,,,0.012,,,0.042,,,,,0.339,,,,,0.03,0.146,,,,,,,0.036,,0.037,0.106,,,1.067,,,,,,,,,0.255,,,1.255,0.94,,,,1.136,,,0.105,,,,,,,,,0.034,0.128,0.124,0.037,0.001,,,0.327,1.511,0.345,,3.356,,,,,,,,0.05,,,,,,0.082,0.337,,,,,,,0.075,,,,0.009,,,,,,,,,,,,1.376,,0.747,,,,,0.282,,,,,,,,,,0.098,0.094,,1.545,,0.035,0.025,,,,,,,,0.017,,,,,0.301,0.058,0.155,,,,0.142,,,,,1.404,2.331,,,,,,,,,,,0.026,,,,,,,0.666,,0.825,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,0.786,,0.883,0.689,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,
,,"Triadic patent families, OECD share, %",,metadata/PTRIAD_XO.html,,,,,,PTRIAD_XO,,,,,,,,,,,0.663,0.749,,,,,,,0.85,,,,,,,,,,,,,,,,1.04,,,,,0.02,,,,,,,,,,,0.072,,,0.559,,,,,,,,,0.008,,,0.569,4.814,,,,9.071,,,0.045,,,,,,,,,,0.06,0.003,,,,,0.145,0.794,1.433,,36.859,,,,,,,,,,,,,,,0.043,,,,,,,,,,,0.031,,,,,,,,,,,,2.052,,0.205,,,,,0.2,,,,,,,,,,0.136,0.046,,4.931,,,,,,,,,,,,,,,,,0.017,0.019,,,,0.455,,,,,1.31,2.255,,,,,,,,,,,0.061,,,,,,,3.361,,27.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Triadic patent families, world share, %",,metadata/PTRIAD_XW.html,,,,,,PTRIAD_XW,,,,,,,,0.012,,,0.607,0.83,,,,,,,0.805,,,,,,,,,,,,,,,,0.965,,,,,0.023,5.189,,,,,,,,,,0.068,,,0.533,,,,,,,,,0.017,,,0.522,4.63,,,,8,,,0.054,,,,,,,,,,0.06,0.003,,,,,0.187,0.831,1.402,,31.177,,,,,,,,0.004,,,,,,,0.036,,,,,,,,,,,0.034,,,,,,,,,,,,2.095,,0.234,,,,,0.163,,,,,,,,,,0.18,0.052,,4.855,,0.028,0.156,,,,,,,,,,,,,0.258,0.017,0.018,,,,0.411,,,,,1.182,2.167,,,,,,,,,,,0.089,,,,,,,3.253,,26.733,,,,,,,,,,,0.633,,,,,,,,,,,,,,,,,,,,,,,,,23.992,,,24.422,,,,,,,,,,,,,,,,,,,,92.238,,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Triadic patent families, number",,,,,,,,,,,,,,,,6.926,,,338.053,462.387,,,,,,,448.341,,,,,,,,,,,,,,,,537.082,,,,,12.627,2889.33,,,,,,,,,,37.862,,,296.966,,,,,,,,,9.726,,,290.736,2578.391,,,,4454.711,,,29.871,,,,,,,,,,33.301,1.948,,,,,104.095,462.892,780.872,,17360.86,,,,,,,,2.464,,,,,,,20.025,,,,,,,,,,,18.854,,,,,,,,,,,,1166.646,,130.303,,,,,90.779,,,,,,,,,,100.391,28.753,,2703.291,,15.401,87.008,,,,,,,,,,,,,143.663,9.413,10.215,,,,228.709,,,,,658.134,1206.869,,,,,,,,,,,49.683,,,,,,,1811.324,,14886.266,,,,,,,,,,,352.657,,,,,,,,,,,,,,,,,,,,,,,,,,,,13599.489,,,,,,,,,,,,,,,,,,,,51362.841,,,,,,,,,,,,
,,"Triadic patent families, per million population",,,,,,,,,,,,,,,,,,,14120.233,54154.741,,,,,,,39434.707,,,,,,,,,,,,,,,,14876.039,,,,,706.808,2061.47,,,,,,,,,,3595.083,,,52921.685,,,,,,,,,7415.67,,,52928.402,39873.122,,,,54859.617,,,2620.856,,,,,,,,,,3398.191,5939.51,,,,,22745.523,55658.431,12668.906,,137134.522,,,,,,,,1212.93,,,,,,,39980.611,,,,,,,,,,,155.813,,,,,,,,,,,,68702.178,,28372.358,,,,,18510.087,,,,,,,,,,2640.755,2770.555,,53406.735,,725.079,594.858,,,,,,,,,,,,,,1737.795,4943.195,,,,4928.76,,,,,67163.391,148469.954,,,,,,,,,,,639.114,,,,,,,28068.725,,46322.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26723.613,,,,,,,,,,,,,,,,,,,,40388.26,,,,,,,,,,,,
,,"Triadic patent families, per GDP billion USD PPPs",,,,,,,,,,,,,,,,0.008,,,0.299,1.084,,,,,,,0.872,,,,,,,,,,,,,,,,0.339,,,,,0.03,0.146,,,,,,,,,,0.106,,,1.067,,,,,,,,,0.255,,,1.255,0.94,,,,1.136,,,0.105,,,,,,,,,,0.128,0.124,,,,,0.327,1.511,0.345,,3.356,,,,,,,,0.05,,,,,,,0.337,,,,,,,,,,,0.009,,,,,,,,,,,,1.376,,0.747,,,,,0.282,,,,,,,,,,0.098,0.094,,1.545,,0.035,0.025,,,,,,,,,,,,,0.301,0.058,0.155,,,,0.142,,,,,1.404,2.331,,,,,,,,,,,0.026,,,,,,,0.666,,0.825,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.689,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,
