CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
">>>University graduates,(ISCED2011 levels 6 to 8) general/ academic programmes, science and engineering",Latest available,,,,,,,,,UGTARP_SCIENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"University graduates, (ISCED2011 levels 6 to 8) general/ academic programmes, science, number",,,,,,,,UGTARP_SCI_NB,,,,,,,,6374,,,27765,6029,,,,,,,4336,,,,,,,,40103,,,,,,,,29363,,,,,3057,0,4790,,,,,,,,,9790,,,4494,,,,,,,,,978,,,3981,0,,,,79590,,,6529,,,,,,,,,,3760,319,0,40830,,,5740,6287,27667,,30495,,,,,,,,1149,,,,,,,108,,,,,,,,,,,29078,,,,,,,,,,,,9466,,6714,,,,,3036,,,,,,,,,,41059,6942,,38990,,,93735,,,,,,,,19155,,,,,,5401,1445,,,,26741,,,,,5109,5661,,,,,,,,,,,35209,,,,,,,86629,,251897,,,,,,,,,,,,,,,,,,,,,,,,,,,3078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"University graduates,(ISCED2011 levels 6 to 8) general/ academic programmes, engineering, number",,,,,,,,UGTARP_ENG_NB,,,,,,,,8768,,,20702,7479,,,,,,,9229,,,,,,,,60942,,,,,,,,19631,,,,,9297,0,29379,,,,,,,,,12756,,,5904,,,,,,,,,968,,,10706,0,,,,73536,,,5598,,,,,,,,,,7275,408,0,114886,,,4224,7113,47853,,126545,,,,,,,,2193,,,,,,,47,,,,,,,,,,,95832,,,,,,,,,,,,12519,,3728,,,,,3820,,,,,,,,,,66363,16634,,93764,,,237715,,,,,,,,4159,,,,,,9481,1872.5,,,,42344,,,,,11711,6506,,,,,,,,,,,31583,,,,,,,61237,,170972,,,,,,,,,,,,,,,,,,,,,,,,,,,2527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Women university graduates, (ISCED2011 levels 6 to 8) general/ academic programmes, science, number",,,,,,,,WUGTARP_SCI_NB,,,,,,,,3225,,,10157,2191,,,,,,,1508,,,,,,,,16141,,,,,,,,14267,,,,,920,0,2661,,,,,,,,,3718,,,1782,,,,,,,,,468,,,1721,0,,,,34863,,,3059,,,,,,,,,,1526,125,0,19726,,,2432,2720,15128,,7793,,,,,,,,476,,,,,,,47,,,,,,,,,,,13705,,,,,,,,,,,,2439,,2920,,,,,1095,,,,,,,,,,18932,3899,,15622,,,0,,,,,,,,13229,,,,,,2328,632.5,,,,11332,,,,,2203,2006,,,,,,,,,,,18971,,,,,,,32683,,108537,,,,,,,,,,,,,,,,,,,,,,,,,,,1229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Women university graduates,  (ISCED2011 levels 6 to 8) general/ academic programmes, engineering, number",,,,,,,,WUGTARP_ENG_NB,,,,,,,,3174,,,5099,1865,,,,,,,2362,,,,,,,,18661,,,,,,,,4600,,,,,2530,0,10378,,,,,,,,,3529,,,1923,,,,,,,,,321,,,2365,0,,,,16257,,,2238,,,,,,,,,,1618,133,0,55501,,,869,2001,18991,,14356,,,,,,,,646,,,,,,,20,,,,,,,,,,,27545,,,,,,,,,,,,2625,,1151,,,,,998,,,,,,,,,,23956,5181,,22653,,,0,,,,,,,,279,,,,,,2971,583,,,,13313,,,,,3507,1252,,,,,,,,,,,9996,,,,,,,13977,,37911,,,,,,,,,,,,,,,,,,,,,,,,,,,725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Women university graduates, (ISCED2011 levels 6 to 8) general/ academic programmes, science and engineering, % of total",,,,,,,,WUGTARP_SCIENG_XT,,,,,,,,49.471,,,29.655,21.308,,,,,,,21.202,,,,,,,,27.627,,,,,,,,32.745,,,,,15.463,,33.289,,,,30.521,,,,,28.069,,,32.246,,,,,,,,,33.886,,,26.383,27.919,,,,25.524,,,34.465,,,,,,,,,,24.421,,42.701,,,,24.64,36.425,37.184,,25.995,,,,,,,,27.208,,,,,,22.146,31.606,,,,,,,,,,,30.675,,,,,,,,,,,,22.555,,33.469,,,,,26.579,,,,,,,,,,38.057,37.392,,22.483,,,17.361,,,,,,,,57.038,,,,,,33.094,27.156,,,,26.655,,,,,29.935,19.474,,,,,,,,,,,31.554,,,,,,,37.856,,31.878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"University graduates, (ISCED2011 levels 6 to 8) general/ academic programmes, science, number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"University graduates,(ISCED2011 levels 6 to 8) general/ academic programmes, engineering, number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Women university graduates, (ISCED2011 levels 6 to 8) general/ academic programmes, science, number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
