CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
">>>University graduates,(ISCED2011 levels 6 to 7), general / academic programmes, science and engineering",Latest available,,,,,,,,,UGTA_SCIENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"University graduates,(ISCED2011 levels 6 to 7), science, number",,,,,,,,UGTA_SCI_NB,,332,,,,,,,,,25355,4863,,,,,,,4202,,,,,,,,,,,2913,,,,,,,,,,,,,,,,,,2379,,407,9072,,,3308,,,,,,,,,902,,,3653,54946,,,,59070,,,6238,,,,,,,,,,3467,305,,,,,5228,,24974,,28072,,,,,,,,1096,,,,,17,2093,79,,,,,,,221,,,,,,,,,,,,,,,,8640,,5290,,,,,2467,,,,,,,,,,41059,5980,,,,10135,,,,,,,,,,,,,,,5112,1291,,,,23266,,,,,4242,4557,,,,1402,,,,,,,34187,,,,,,,69419.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209509,,,368657,371036,210605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"University graduates, (ISCED2011 levels 6 to 7), engineering, number",,,,,,,,UGTA_ENG_NB,,401,,,,,,,,,11903,4727,,,,,,,9170,,,,,,,,59223,,,8975,,,,,14295,,,,,7380,,31716,,,,,,4564,,761,6476,,,2914,,,,,,,,,621,,,7523,32276,,,,77526,,,7670,,,,,,,,,,6126,252,786524,65808,,,3214,6514,29513,,122984,,,,,,,,1290,,,,,36,3203,31,,,,,,,187,,,,83832,,,,,,,,,,,,5350,,1626,,,,,2699,,,,,,,,,,31936,9986,,67200,,37653,138967,,,,,,,,,,,,,,4769,1473,,,,26259,,,,,7249,7553,,,,1047,,,,,,,31075,,,,,,,40047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300247,,,514070,518634,302389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"University graduates,  (ISCED2011 levels 6 to 7),science and engineering, number",,,,,,,,UGTA_SCIENG_NB,,,,,,,,,,,42832,9966,,,,,,,11225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108374.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Women university graduates, (ISCED2011 levels 6 to 7), science, number",,,,,,,,WUGTA_SCI_NB,,255,,,,,,,,,9316,1600,,,,,,,1589,,,,,,,,,,,1490,,,,,,,,,,,,,,,,,,1236,,223,3431,,,1229,,,,,,,,,428,,,1577,20876,,,,23224,,,2962,,,,,,,,,,1416,120,,,,,2201,,13712,,7220,,,,,,,,452,,,,,1,865,30,,,,,,,82,,,,,,,,,,,,,,,,2163,,2329,,,,,900,,,,,,,,,,18932,3009,,,,6176,,,,,,,,,,,,,,,2183,573,,,,9684,,,,,1842,1600,,,,617,,,,,,,18464,,,,,,,26398.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86712,,,153420,154656,87164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Women university graduates, (ISCED2011 levels 6 to 7), engineering, number",,,,,,,,WUGTA_ENG_NB,,156,,,,,,,,,4337,1301,,,,,,,1917,,,,,,,,,,,2996,,,,,,,,,,,,,,,,,,1489,,396,3406,,,1451,,,,,,,,,312,,,2259,18206,,,,15635,,,2162,,,,,,,,,,1596,132,,,,,821,,18269,,13845,,,,,,,,633,,,,,2,1166,18,,,,,,,50,,,,,,,,,,,,,,,,2363,,920,,,,,991,,,,,,,,,,23956,2474,,,,13230,,,,,,,,,,,,,,,2789,555,,,,13070,,,,,3292,1135,,,,351,,,,,,,9780,,,,,,,8063.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85809,,,151121,152610,86442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"University graduates,(ISCED2011 levels 6 to 7), science, number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"University graduates, (ISCED2011 levels 6 to 7), engineering, number",,,,,,,,,,,,,,,,,,,11903,4727,,,,,,,9170,,,,,,,,59223,,,,,,,,,,,,,7380,,,,,,,,,,,6476,,,2914,,,,,,,,,621,,,7523,32276,,,,77526,,,7670,,,,,,,,,,6126,,,65808,,,3214,6514,29513,,,,,,,,,,1290,,,,,,3203,31,,,,,,,,,,,83832,,,,,,,,,,,,5350,,1626,,,,,2699,,,,,,,,,,31936,9986,,67200,,,138967,,,,,,,,,,,,,,4769,1473,,,,26259,,,,,7249,7553,,,,,,,,,,,31075,,,,,,,40047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"University graduates,  (ISCED2011 levels 6 to 7),science and engineering, number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
