CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Unemployment,Latest available,,,,,,,,,UNEMPLOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Unemployed persons, thousand",,metadata/UNEMP_NB.html,,,,,,UNEMP_NB,,,,,,,,,,,724.911,270.025,,,,,,,389.65,,,,,,,,10014.44,,,,,,,,1360.6,,,,,563.151,,2248.801,,,,,,,,,211.375,,,187.075,,,,,,,,,46.725,,,236.75,2972.4,,,,1774.075,,,1130.95,,,,,,,,,,234.6,5.825,,,,,173.1,188.33,3012.025,,2080,,,,,,,,95.325,,,,,,,17.475,,,,,,,,,,,2105.975,,,,,,,,,,,,538.5,,133,,,,,129.475,,,,,,,,,,1063.375,573.025,,1011.942,,,4243.492,,,,,,,,,,,,,,266.8,79.6,,,,4481.175,,,,,369,238.175,,,,,,,,,,,3308.375,,,,,,,1599.275,,7751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18812.1,9.854,,25913.3,20918.8,,,,,26977.66,,,,,,,,,,,,,,,39301.88,,,,,,,,47187.22,,,,
,,"Unemployment rate, % civilian of labour force",,metadata/UNEMP_XLF.html,,,,,,UNEMP_XLF,8.47,17.083,10.6,,,7.8,,7.03,18.2,8.9,5.723,6.014,4.96,16.18,,4.26,11.34,,7.833,10.11,,8.95,2.45,5.99,27.52,17.46,9.585,,,9.14,,,6.66,,6.999,,4.24,,,6.489,,9.215,,10,,9.61,9.41,16.28,2.7,15.02,3.952,,3.7,6.181,,,5.39,3.8,13,6.44,,,6.753,17.42,9,8.811,10.057,20.39,29.76,11.95,4.123,,,23.541,,2.83,,,,16.8,,3.91,3.28,5.119,2.969,4.9,6.18,11.05,8,7.894,4.798,11.688,13.51,3.129,11.9,4.98,,,,8.05,,9.641,,24.44,3.71,19.03,,9.12,6.286,1.8,1.3,6.44,3.1,,7.3,5.39,,10.1,7.93,3.933,,,7.94,17.55,,9.68,,,29.65,,,6.008,13.03,5.119,5.28,,4.31,,4.677,,5.9,,25.9,4.53,,5.34,8.38,6.29,6.162,11.068,0.19,3.714,3.86,6.81,5.537,,,27.24,,8.72,,,5.66,,17.66,4.11,,1.693,9.672,8.007,,,24.89,19.634,4.67,13,6.94,28.24,6.991,4.919,14.9,11.5,0.19,26.07,3.44,,,5.18,3.41,15.934,10.838,,8.3,,9.1,9.14,4.166,4.813,10.27,4.869,6.55,,,6.954,2.12,,7.85,,21.28,,3.78,,,,11.57,,,,,,,,,,,,,,,,,,,,11.879,18914.539,,10.731,8.535,,,4.03,,7.337,26.15,10.28,,,,8.22,22.81,,,,,,,,6.325,,28.95,,,,,,7.921,,,,
,,"Unemployment rate, women, % civilian of labour force",,metadata/UNEMPF_XLFF.html,,,,,,UNEMPF_XLFF,9.45,17.096,17.1,,,9.5,,8.21,19.246,7.8,5.787,5.544,5.87,16.26,,7.21,10.34,,7.57,15.13,,8.06,3.15,7.16,31.17,19.72,11.705,,,6.974,,,6.53,,6.235,,5.2,,,7.016,3.19,12.075,,10.8,,12.099,11.95,13.807,3.1,13.522,4.673,,2.9,6.64,,,7.65,4.87,24,3.78,,,6.068,24.07,5.9,8.581,9.523,28.52,38.3,10.22,3.744,,,28.126,,3.22,,,,19.2,,5.25,3.14,5.108,3.062,4.182,6.403,19.44,19.637,7.106,4.942,12.79,20.07,2.876,20.7,5.87,,,,9.49,,8.403,,27.19,4.01,25.06,,6.69,6.629,1.58,1.5,6.75,3.39,,10.12,5.233,,12.6,11.57,3.943,,,7.31,17.28,,10.4,,,4.75,,,6.503,15.38,5.474,5.45,,5.05,,3.994,,9,,39.18,5.79,,5.89,10.36,5.81,6.236,11.165,1.08,3.606,3.07,4.981,5.313,,,30.52,,10.27,,,21.59,,17.86,4.48,,2.99,10.7,8.601,,,28.942,21.38,7.62,23,11.81,31.17,6.539,5.006,37.08,10.48,0.18,22.755,4.76,,,7.41,4.19,23.002,13.731,,,,4.49,8.08,10.804,4.741,12.32,4.789,8.35,,,7.772,1.98,,7.71,,26.3,,3.44,,,,9.84,,,,,,,,,,,,,,,,,,,,,20.324,,,8.662,9.084,,4.85,,,28.31,9.7,,,,5.71,22.78,,,,,,,,6.423,,29.69,,,,,,,,,,
,,"Youth unemployed, 15-24, thousand",,metadata/UNEMP1524_NB.html,,,,,,UNEMP1524_NB,,,,,,,,,,,724.39,270.02,,,,,,,389.629,,,,,,,,10014.45,,,247.239,,,,,1360.1,,,,,563.151,21183.12,2242.31,,,,210.43,,239.749,,54.935,211.43,,,187.075,,,,,,,,,46.751,,,236.75,2810.2,,,,1770.644,,,1130.934,,,,,,,,,,234.61,5.86,14755.23,7410.931,,,187.7,188.33,3012.037,,2080,,,,,,,,95.331,,,,,,116.164,17.486,,,,,,,9.478,,,,2085.21,,,,,,,,,11198.31,,,538.3,,132.5,,,,,132.1,,,,,,,,,,1063.376,573,,1011.9,,529.869,4243.48,,,,,,,,,,,,,,265.995,79.567,,,5758.34,4481.17,,,,,366.4,238.151,,,,225.043,,,,,,,3328,,,,,,,1614.092,,7753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20675.847,23141.554,,,,,,,,,,,,,,,,,,,39125.483,,,,,,,,,,,,
,,"Youth unemployment rate, 15-24, % of civilian labour force",,metadata/UNEMP1524_XLF.html,,,,,,UNEMP1524_XLF,,39.796,24.8,,,,,18.31,37.25,23.24,12.674,11.248,13.42,30.79,,9.44,32.43,,20.123,18.93,,29.28,10.73,8.54,62.66,32.62,23.084,,,17.222,,,,,13.104,,13.79,,,15.647,6.402,18.418,,,,23.134,,31.271,6.08,29.139,10.506,,,12,,,10.84,9.7,34.25,11.44,,,12.821,26.73,,19.102,24.116,35.7,44.34,30.8,7.02,,,47.305,,7.15,,,,,,7.46,9.86,12.924,6.497,10.677,21.583,26.14,,18.951,8.631,37.769,32.84,5.119,,3.91,,,,13.97,,16.354,,34.43,,48.7,,14.455,9.985,4.54,,8.61,10.66,,10.71,6.759,,,26.66,7.726,,,17.42,37.69,,19.13,,,9.887,,,10.814,24.72,13.212,8.6,,7.66,,11.03,,7.73,,40.67,12.57,,12.33,16.7,14.96,17.659,27.952,0.78,10.706,9.82,20.603,16.323,,,40.76,,19.1,,,28.65,,43.16,11,,6.71,22.209,15.225,,,53.348,44.437,20.7,,16.36,,18.91,8.584,35.8,16.72,0.95,48.23,11.11,,,,8.42,37.63,19.622,,,,,22.36,12.1,13.185,,10.432,19.39,,,14.658,7.03,,,,,,12,,,,24.53,,,,,,,,,,,,,,,,,,,,,8188.314,,,18.589,18.361,,,,,,28.22,,,,5.85,50.57,,,,,,,,12.931,,56.22,,,,,,,,,,
,,"Youth unemployed, 15-24, % of total unemployed",,metadata/UNEMP1524_XUN.html,,,,,,UNEMP1524_XUN,,,,,,,,,,,99.946,99.999,,,,,,,99.954,,,,,,,,100,,,,,,,,99.962,,,,,100,,99.392,,,,,,,,,100.001,,,100.006,,,,,,,,,99.917,,,99.603,100.31,,,,100.132,,,101.426,,,,,,,,,,100,100.027,,,,,100,100,100,,99.55,,,,,,,,99.959,,,,,,,102.768,,,,,,,,,,,100.269,,,,,,,,,,,,99.991,,100.139,,,,,100.496,,,,,,,,,,99.998,100.015,,99.996,,,100,,,,,,,,,,,,,,99.955,99.578,,,,100.022,,,,,99.974,104.383,,,,,,,,,,,100.033,,,,,,,100,,100.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.57,,,,,,,,,,,,,,,,,,,,99.882,,,,,,,,,,,,
,,"Long-term unemployed, thousand",,metadata/UNEMPLT_NB.html,,,,,,UNEMPLT_NB,,,,,,,,,,,171.952,87.193,,,,,,,200.898,,,,,,,,,,,146.114,,,,,151.8,,,,,,,152.626,,,,35.119,,121.45,,24.237,91.407,,,41.722,,,,,,,,,14.781,,,62.021,1238.3,,,,723.154,,,813.889,,,,,,,,,,110.996,0.447,,,,,92.127,17.804,1727.873,,790,,,,,,,,39.194,,,,,,44.044,5.564,,,,,,,3.674,,,,38.812,,,,,,,,,1512.612,,,223.408,,17.3,,,,,15.105,,,,,,,,,,371.925,317.256,,9.4,,265.018,1254.715,,,,,,,,,,,,,,150.649,42.392,,,2045.4,2166.777,,,,,54.88,92.014,,,,181.027,,,,,,,685,,,,,,,433.253,,1322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1006.643,,,9614.195,9763.031,,,,,,,,,,,,,,,,,,,12321.293,,,,,,,,,,,,
,,"Long-term unemployment rate, % of civilian labour force",,metadata/UMEMPLT_XLF.html,,,,,,UMEMPLT_XLF,,,,,,,,,,,14.7,20.25,,,,,,,44.19,,,,,,,,,,,,,,,,7.83,,,,,,,,,,,,,,,,31.16,,,9.1,,,,,,,,,,,,16.62,35.43,,,,45.52,,,40.83,,,,,,,,,,42.56,6.9,,,,,28.99,,44.41,,28.52,,,,,,,,,,,,,,,23.08,,,,,,,,,,,1.87,,,,,,,,,,,,24.78,,6.34,,,,,7.67,,,,,,,,,,25.21,44.17,,0.5,,,,,,,,,,,,,,,,,50.91,,,,,30.24,,,,,12.77,30.02,,,,,,,,,,,25.28,,,,,,,24.55,,16.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Long-term unemployment rate, 15-24, thousand",,metadata/UNEMPLT1524_NB.html,,,,,,UNEMPLT1524_NB,,,,,,,,,,,48.571,11.496,,,,,,,23.379,,,,,,,,,,,12.862,,,,,17.3,,,,,,,33.098,,,,12.082,,21.977,,2.042,8.489,,,4.719,,,,,,,,,1.555,,,5.129,175.1,,,,63.564,,,65.718,,,,,,,,,,12.581,0.021,,,,,11.504,4.78,300.745,,90,,,,,,,,3.428,,,,,,2.33,0.206,,,,,,,0.55,,,,10.015,,,,,,,,,256.315,,,24.208,,3.3,,,,,1.389,,,,,,,,,,59.795,29.921,,0.9,,52.693,200.413,,,,,,,,,,,,,,20.478,4.583,,,141.6,189.701,,,,,4.16,,,,,28.136,,,,,,,141,,,,,,,97.093,,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1210.006,1256.534,,,,,,,,,,,,,,,,,,,1663.828,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Unemployed persons, thousand",,,,,,,,,,,,,,,,,,,724.783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011.942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Unemployment rate, % civilian of labour force",,,,,,,,,,,,,,,,,,,5.723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Unemployment rate, women, % civilian of labour force",,,,,,,,,,,,,,,,,,,5.787,5.544,,,,,,,7.321,,,,,,,,,,,6.674,,,,,6.235,,,,,7.016,,12.075,,,,12.099,,13.677,,13.491,4.673,,,6.442,,,,,,,,,6.068,,,8.581,9.523,,,,3.719,,,28.096,,,,,,,,,,5.108,3.062,,,,,7.106,4.942,12.767,,2.876,,,,,,,,7.257,,,,,,5.198,0.458,,,,,,,0,,,,3.943,,,,,,,,,4.75,,,6.503,,5.474,,,,,3.994,,,,,,,,,,6.198,11.165,,3.606,,4.935,5.313,,,,,,,,,,,,,,10.7,8.348,,,28.942,21.38,,,,,6.539,5.006,,,,22.634,,,,,,,13.731,,,,,,,4.741,,4.789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.662,,,,,,,,,,,,,,,,,,,,6.423,,,,,,,,,,,,
,,"Youth unemployed, 15-24, thousand",,,,,,,,,,,,,,,,,,,724.39,270.02,,,,,,,379.547,,,,,,,,,,,237.906,,,,,1360.1,,,,,563.151,,2242.31,,,,210.43,,236.943,,54.632,211.43,,,180.891,,,,,,,,,46.751,,,236.75,2810.2,,,,1763.176,,,1130.934,,,,,,,,,,234.61,5.86,,,,,187.7,188.33,3011.167,,2080,,,,,,,,85.347,,,,,,100.882,0.528,,,,,,,0,,,,2085.21,,,,,,,,,11198.31,,,538.3,,132.5,,,,,132.1,,,,,,,,,,1058.121,573,,1011.9,,522.693,4243.48,,,,,,,,,,,,,,265.995,77.726,,,5758.34,4481.17,,,,,366.4,238.151,,,,224.392,,,,,,,3328,,,,,,,1614.092,,7753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20675.847,,,,,,,,,,,,,,,,,,,,39125.483,,,,,,,,,,,,
,,"Youth unemployment rate, 15-24, % of civilian labour force",,,,,,,,,,,,,,,,,,,12.674,11.248,,,,,,,20.123,,,,,,,,,,,17.222,,,,,13.104,,,,,15.647,,18.418,,,,23.134,,31.271,,29.139,10.506,,,12,,,,,,,,,12.821,,,19.102,24.116,,,,7.02,,,47.305,,,,,,,,,,12.924,6.497,,,,,18.951,8.631,37.769,,5.119,,,,,,,,16.354,,,,,,14.455,9.985,,,,,,,6.759,,,,7.726,,,,,,,,,9.887,,,10.814,,13.212,,,,,11.03,,,,,,,,,,17.659,27.952,,10.706,,20.603,16.323,,,,,,,,,,,,,,22.209,15.225,,,53.348,44.437,,,,,18.91,8.584,,,,48.23,,,,,,,19.622,,,,,,,13.185,,10.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.589,,,,,,,,,,,,,,,,,,,,12.931,,,,,,,,,,,,
,,"Youth unemployed, 15-24, % of total unemployed",,,,,,,,,,,,,,,,,,,99.946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Long-term unemployed, thousand",,,,,,,,,,,,,,,,,,,171.952,87.193,,,,,,,200.898,,,,,,,,,,,146.114,,,,,151.8,,,,,,,152.626,,,,35.119,,121.45,,24.237,91.407,,,41.722,,,,,,,,,14.781,,,62.021,1238.3,,,,723.154,,,813.889,,,,,,,,,,110.996,0.447,,,,,92.127,17.804,1727.873,,790,,,,,,,,39.194,,,,,,44.044,5.564,,,,,,,3.674,,,,38.812,,,,,,,,,1512.612,,,223.408,,17.3,,,,,15.105,,,,,,,,,,371.925,317.256,,9.4,,265.018,1254.715,,,,,,,,,,,,,,150.649,42.392,,,2045.4,2166.777,,,,,54.88,92.014,,,,181.027,,,,,,,685,,,,,,,433.253,,1322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9614.195,,,,,,,,,,,,,,,,,,,,12321.293,,,,,,,,,,,,
,,"Long-term unemployment rate, % of civilian labour force",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Long-term unemployment rate, 15-24, thousand",,,,,,,,,,,,,,,,,,,48.571,11.496,,,,,,,23.379,,,,,,,,,,,12.862,,,,,17.3,,,,,,,33.098,,,,12.082,,21.977,,2.042,8.489,,,4.719,,,,,,,,,1.555,,,5.129,175.1,,,,63.564,,,65.718,,,,,,,,,,12.581,0.021,,,,,11.504,4.78,300.745,,90,,,,,,,,3.428,,,,,,2.33,0.206,,,,,,,0.55,,,,10.015,,,,,,,,,256.315,,,24.208,,3.3,,,,,1.389,,,,,,,,,,59.795,29.921,,0.9,,52.693,200.413,,,,,,,,,,,,,,20.478,4.583,,,141.6,189.701,,,,,4.16,,,,,28.136,,,,,,,141,,,,,,,97.093,,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1210.006,,,,,,,,,,,,,,,,,,,,1663.828,,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Unemployed persons, thousand",,,,,,,,,,,,,,,,,,,758.266,251.809,,,,,,,422.044,,,,,,,,,,,,,,,,1331.4,,,,,531.786,,2156.143,,,,,,,,,268.047,,,180.9,,,,,,,,,42.3,,,252,,,,,1947,,,1180.141,,,,,,,,,,307.846,7.618,,,,,211.2,201.93,3033.253,,2220,,,,,,,,98.2,,,,,,,17.9,,,,,,,,,,,2287.633,,,,,,,,,,,,613.9,,144,,,,,121,,,,,,,,,,1304,646.5,,976.292,,,4263.927,,,,,,,,,,,,,,314.3,90.701,,,,5054.885,,,,,386.1,219.251,,,,,,,,,,,3057,,,,,,,1814.767,,8296.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Unemployment rate, % civilian of labour force",,,,,,,,,,17.083,,,,,,,18.2,,6.061,5.737,4.96,,,,11.34,,8.486,10.11,,,2.45,,,,,,,9.14,,,,,6.906,,4.24,,,6.213,,8.92,,,,9.61,,16.28,,15.02,5.062,,,6.168,,,5.39,,,,,,6.22,,,9.403,,,,11.95,4.639,,,24.557,,,,,,,,,3.28,6.838,3.981,,6.18,11.05,,9.754,5.251,12.013,13.51,3.365,,4.98,,,,,,9.877,,,,,,9.12,6.842,1.8,,,3.1,,,5.39,,,7.93,4.347,,,,17.55,,9.68,,,,,,6.873,,5.758,,,4.31,,4.39,,5.9,,25.9,4.53,,5.34,,6.29,7.499,12.512,,3.628,,6.81,5.567,,,27.24,,,,,5.66,,17.66,,,1.693,11.478,8.997,,,,22.14,4.67,,,,7.392,4.231,,,0.19,26.07,,,,,3.41,,10.301,,,,,9.14,,5.562,,5.28,,,,,2.12,,,,,,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Unemployment rate, women, % civilian of labour force",,,,,,,,,,17.096,,,,,,,19.246,,6.07,5.31,5.87,,,,10.34,,7.769,15.13,,,3.15,,,,11.705,,,8.417,,,,,6.279,,5.2,,,6.833,,11.832,,,,12.165,,16.973,,14.873,6.078,,,6.444,,,7.65,,,,,,6.133,,,8.819,9.511,,,10.22,4.221,,,28.853,,,,,,,,,3.14,7.039,4.1,,,19.44,,8.178,5.392,12.694,,3.027,,,,,,,,8.641,,,,,,8.161,7.344,1.58,,,3.39,,,5.2,,,11.57,4.474,,,,17.28,,,,,5.137,,,7.273,,6.33,,,5.05,,4.092,,9,,39.18,5.79,,5.89,,5.81,7.708,12.748,,3.559,,5.848,5.296,,,30.52,,,,,21.59,,17.86,,,,12.875,10.035,,,27.522,23.548,7.62,,,,7.241,4.912,,,0.18,25.063,,,,,4.19,,12.65,,,,,8.08,,5.327,,5.178,,,,,1.98,,,,,,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.481,,,,,,,,,,,,,,,,,,,,6.847,,,,,,,,,,,,
