CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>University graduates (ISCED2011 levels 5 to 8) all educational programmes,Latest available,,,,,,,,,UNIVG_TERABARP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"University graduates (ISCED2011 levels 5 to 8) all educational program, number",,metadata/UNIVG_TERABARP_NB.html,,,,,,UNIVG_TERABARP_NB,9623,25011,257773,82,172,,254,222000,37815,,370805,81412,47038,,7340,302965,2389,126028,65443,1785,16713,113,,,20244,1598,928084,,1939,64091,12140,2786,32177,36310,353321,,224,615,715,147549,,266413,1339,136,,44575,,39820,145275,6173,107773,,,58070,637,,,70193,510390,21666,,3021,11437,114895,1679,53296,207389,,2623,17906,240325,72071,,65291,,6073,,,1838,,,18024,,69917,4105,,867822,570730,87849,60022,62363,388837,25477,980902,62168,,38683,,,49945,31496,21472,34007,6461,4390,,211,42379,1289,,22219,1299,204782,,,3463,121,2602,6258,533867,,,35847,,,82346,10070,134624,5525,,48162,152154,,71931,4298,2969,,,40346,13734,,94,,22172,,,,469654,638957,94264,1969,613842,35574,259634,1970883,16048,,,,406,,,137119,,47523,131,6236,,72374,20596,,,,391956,27050,88979,,2211,69046,54850,66438,37800,443648,12105,4923,,,,3176,72807,607981,,,,21164,642387,22750,780606,,3734144,7551,77217,914,,417436,26527,,,,,,,,,,,,,,,,,,,,,45127,,,,,,,,,,,,4840784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Women university graduates (ISCED2011 levels 5 to 8) all educational program, number",,metadata/WUNIVG_TERABARP_NB.html,,,,,,WUNIVG_TERABARP_NB,1851,16334,164956,63,70,,223,135399,23113,,11201,2297,24508,,4053,62232,1634,76266,1508,1116,4957,72,,,12229,,16152,,1266,38988,3736,791,13355,,15881,,138,81,91,82692,,143836,584,35,,25749,,23604,90353,3725,67023,,,1814,126,,,41253,,12615,,180,7716,32977,,1721,2535,,1332,10573,13259,28377,,39053,,3016,,,1376,,,11778,,1635,2739,,294810,219621,29108,32741,35730,235003,14363,473821,29092,,14479,,,30652,13972,14493,19111,3968,1675,,44,27069,747,,10511,448,119493,,,1989,56,645,3531,13851,,,22888,,,35836,2494,88075,3224,,,2442,,42711,2637,845,,,24599,8057,,54,,14103,,,,269748,18932,57033,1186,17186,21150,159912,,6853,,,,175,,,72592,,27888,116,2731,,46319,12413,,,,220099,15298,47256,,406,2079,2007,32021,14528,253248,6709,1760,,,,1919,40651,25159,,,,8010,351290,13240,36625,,122861,4842,34194,331,,154590,8846,,,,,,,,,,,,,,,,,,,,,1313,,,,,,,,,,,,2850223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Women university graduates (ISCED2011 levels 5 to 8) all educational program, % total",,metadata/WUNIVG_TERABARP_XT.html,,,,,,WUNIVG_TERABARP_XT,19.235,65.307,63.993,76.829,40.698,,87.795,64.795,61.121,,57.282,54.989,52.103,,55.218,32.749,68.397,60.515,59.305,62.521,29.66,63.717,,,60.408,,60.822,,65.291,60.832,30.774,28.392,41.505,,58.374,,61.607,13.171,12.727,56.044,,53.99,43.615,25.735,,63.877,,59.277,62.194,60.343,62.189,,,57.646,45,,,58.771,,58.225,,14.354,67.465,28.702,,60.982,56.248,,50.782,59.047,57.337,39.374,,59.814,,49.662,,,74.864,,,65.346,,63.952,66.724,,48.095,38.481,33.134,54.548,57.294,60.437,56.376,48.305,46.796,,37.43,,,61.372,44.361,67.497,56.197,61.415,38.155,,20.853,63.874,57.952,,47.306,34.488,58.351,,,57.436,46.281,24.789,56.424,53.469,,,63.849,,,47.312,24.767,65.423,58.353,,,56.531,,59.378,61.354,28.461,,,60.97,58.665,,57.447,,63.607,,,,57.435,65.979,60.503,60.234,,59.454,61.591,,42.703,,,,43.103,,,52.941,,58.683,88.55,43.794,,64,60.269,,,,56.154,56.555,53.109,,18.363,62.889,47.776,48.197,38.434,57.083,55.423,35.751,,,,60.422,55.834,47.143,,,,37.847,54.685,58.198,,,,64.124,44.283,36.214,,37.033,33.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"University graduates(ISCED2011 levels 5 to 8) all educational program, science, % total",,metadata/UNIVG_TERABARP_SCI_XT.html,,,,,,UNIVG_TERABARP_SCI_XT,,8.112,11.703,7.317,9.884,,4.724,,7.517,,,,9.699,,7.636,11.093,13.144,2.008,,,3.889,11.504,,,,8.511,5.255,,8.922,5.216,12.998,8.794,9.415,17.023,,,17.411,,13.706,,,4.383,9.783,,,5.706,,8.418,2.148,8.343,,,,,27.787,,,5.508,,12.296,,11.899,,10.355,,,,,48.494,13.286,,8.436,,,,2.635,,,5.93,,,4.25,,,,,5.532,6.276,3.718,,,,,,9.721,,12.782,,,4.437,4.029,6.32,10.995,0.727,4.305,,6.693,5.382,,,11.589,,10.338,,,10.713,,,14.142,,,,5.931,,,22.505,3.446,32.285,1.267,,9.109,,,,,4.276,,,,21.523,,2.128,,11.569,,,,11.014,,,6.348,,,,,11.248,,,,12.808,,,20.648,,8.541,8.333,1.956,,,,,,,,10.913,7.395,,2.387,,,,10.841,,10.293,,,,,11.146,25.925,,,,,3.133,5.269,12.097,,,,7.787,7.594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"University graduates  (ISCED2011 levels 5 to 8) all educational program, engineering,% total",,,,,,,,UNIVG_TERABARP_ENG_XT,,9.132,13.248,,8.721,,,,8.4,,,,6.508,,10.274,4.474,1.842,25.166,,,8.784,19.469,,,,4.443,6.706,,9.335,16.263,6.944,0.79,3.076,3.997,,,17.857,,,,,17.068,2.166,,,6.192,,15.432,1.323,13.122,,,,,18.681,,,7.298,,9.24,,17.722,,4.879,,,,,5.642,7.456,,5.74,,,,14.128,,,7.508,,,9.881,,,,,16.152,40.947,25.686,,,,,,6.4,,17.455,,,11.2,7.795,12.439,12.353,11.825,2.939,,14.567,16.739,,,8.88,,27.337,,,8.403,,,6.296,,,,11.655,,,12.401,5.452,6.376,1.376,,2.668,,,,,,,,,17.417,,12.766,,10.464,,,,10.289,,,27.222,,,,,11.204,,,,5.665,,,8.305,,16.255,16.667,0.641,,,,,,,,5.789,8.626,,0.326,,,,14.661,,8.782,,,,,19.238,16.456,,,,,6.398,20.298,13.921,,,,7.814,13.541,,,24.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Women university graduates (ISCED2011 levels 5 to 8) all educational program, engineering, % total",,,,,,,,WUNIVG_TERABARP_ENG_XT,,39.886,35.552,,40,,,,29.184,,,,23.979,,25.676,10.575,9.091,30.82,,,16.757,9.091,,,,,29.527,,41.436,33.354,16.607,18.182,4.864,,,,37.5,,,,,30.782,41.379,,,32.652,,29.878,26.795,50.37,,,,,,,,25.142,,18.831,,2.439,,13.701,,,,,14.189,26.966,,9.113,,,,26.107,,,18.116,,,37.675,,,,,,20.7,11.274,,,,,,13.38,,12.326,,,36.968,7.495,26.32,26.851,30.628,24.806,,62.162,23.203,,,21.541,,35.746,,,19.931,,,25.635,,,,39.78,,,25.753,16.758,61.184,18.421,,,,,,,,,,,28.637,,8.333,,49.871,,,,26.204,,,27.239,,,,,19.633,,,,,,,2.836,,34.68,10,25,,,,,,,,28.416,30.528,,33.333,,,,,,33.396,,,,,26.187,33.286,,,,,19.276,25.726,30.913,,,,43.22,10.597,,,25.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"University graduates (ISCED2011 levels 5 to 8) all educational program, number",,,,,,,,,,,,,,,,,,,,81412,,,,,,,65443,,,,,,,,928084,,,,,,,,353321,,,,,,,,,,,,,,,,,,,58070,,,,,,,,,,,,53296,207389,,,,,,,,,,,,,,,,,69917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533867,,,,,,,,,,,,152154,,,,,,,,,,,,,,,,,638957,,,613842,,,,,,,,,,,,,47523,,,,,,,,,,27050,88979,,,,54850,,37800,443648,,,,,,,72807,607981,,,,,642387,22750,780606,,3734144,,,,,417436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Women university graduates (ISCED2011 levels 5 to 8) all educational program, number",,,,,,,,,,,,,,,,,,,,2297,,,,,,,1508,,,,,,,,16152,,,,,,,,15881,,,,,,,,,,,,,,,,,,,1814,,,,,,,,,,,,1721,2535,,,,,,,,,,,,,,,,,1635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13851,,,,,,,,,,,,2442,,,,,,,,,,,,,,,,,18932,,,17186,,,,,,,,,,,,,27888,,,,,,,,,,15298,47256,,,,2007,,14528,253248,,,,,,,40651,25159,,,,,351290,13240,36625,,122861,,,,,154590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
