CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
">>>University graduates, (ISCED2011 levels 6 to 8) general/ academic programmes, all fields",Latest available,,,,,,,,,UNIVG_TERARP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"University graduates, (ISCED2011 levels 6 to 8) general/ academic programmes, number",,metadata/UGTARP_NB.html,,,,,,UGTARP_NB,,,,,,,,94714,,,271050,53945,,,,,,,63414,,,,,,,,922428,,,,,,,,232349,,,,,75404,4550744,176074,,,,,,,,,99957,,,50332,,,,,,,,,7611,,,53271,0,,,,489703,,,46149,,,,,,,,,,58754,4005,0,659149,,,45015,69526,372383,,678244,,,,,,,,18012,,,,,,,854,,,,,,,,,,,498441,,,,,,,,,,,,150893,,50116,,,,,40107,,,,,,,,,,634977,94209,,420673,,,1452874,,,,,,,,98259,,,,,,71551,14625,,,,284626,,,,,60409,52468,,,,,,,,,,,374943,,,,,,,652174,,2715337,,,,,,,,,,,,,,,,,,,,,,,,,,,21707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Women university graduates, (ISCED2011 levels 6 to 8) general/ academic programmes, number",,metadata/WUGTARP_NB.html,,,,,,WUGTARP_NB,,,,,,,,58044,,,153494,29821,,,,,,,35042,,,,,,,,580074,,,,,,,,138512,,,,,42433.16,2238534,100768,,,,,,,,,61026,,,29809,,,,,,,,,5008,,,32496,0,,,,267052,,,28818,,,,,,,,,,36608,2596,0,315482,,,25756,40906,232194,,286207,,,,,,,,12266,,,,,,,518,,,,,,,,,,,270561,,,,,,,,,,,,85351,,30991,,,,,24461,,,,,,,,,,418131,56997,,201434,,,879487,,,,,,,,62431,,,,,,45736,9317,,,,163603,,,,,37730,26886,,,,,,,,,,,181581,,,,,,,363465,,1565218,,,,,,,,,,,,,,,,,,,,,,,,,,,11529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Women university graduates, % of total",,,,,,,,WUGTARP_XT,,,,,,,,49.471,,,29.655,21.308,,,,,,,21.202,,,,,,,,27.627,,,,,,,,32.745,,,,,15.463,,33.289,,,,30.521,,,,,28.069,,,32.246,,,,,,,,,33.886,,,26.383,27.919,,,,25.524,,,34.465,,,,,,,,,,24.421,,42.701,,,,24.64,36.425,37.184,,25.995,,,,,,,,27.208,,,,,,22.146,31.606,,,,,,,,,,,30.675,,,,,,,,,,,,22.555,,33.469,,,,,26.579,,,,,,,,,,38.057,37.392,,22.483,,,17.361,,,,,,,,57.038,,,,,,33.094,27.156,,,,26.655,,,,,29.935,19.474,,,,,,,,,,,31.554,,,,,,,37.856,,31.878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"University graduates, (ISCED2011 levels 6 to 8) general/ academic programmes, number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Women university graduates, (ISCED2011 levels 6 to 8) general/ academic programmes, number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Women university graduates, % of total",,,,,,,,,,,,,,,,49.471,,,29.655,21.308,,,,,,,21.202,,,,,,,,27.627,,,,,,,,32.745,,,,,15.463,,33.289,,,,30.521,,,,,28.069,,,32.246,,,,,,,,,33.886,,,26.383,27.919,,,,25.524,,,34.465,,,,,,,,,,24.421,,42.701,,,,24.64,36.425,37.184,,25.995,,,,,,,,27.208,,,,,,22.146,31.606,,,,,,,,,,,30.675,,,,,,,,,,,,22.555,,33.469,,,,,26.579,,,,,,,,,,38.057,37.392,,22.483,,,17.361,,,,,,,,57.038,,,,,,33.094,27.156,,,,26.655,,,,,29.935,19.474,,,,,,,,,,,31.554,,,,,,,37.856,,31.878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"University graduates, (ISCED2011 levels 6 to 8) general/ academic programmes, number",,,,,,,,,,,,,,,,94714,,,,53945,,,,,,,63414,,,,,,,,922428,,,,,,,,232349,,,,,75404,4550744,176074,,,,,,,,,99957,,,50332,,,,,,,,,7611,,,53271,0,,,,489703,,,46149,,,,,,,,,,58754,4005,0,659149,,,45015,69526,372383,,678244,,,,,,,,18012,,,,,,,854,,,,,,,,,,,498441,,,,,,,,,,,,150893,,50116,,,,,40107,,,,,,,,,,634977,94209,,420673,,,1452874,,,,,,,,98259,,,,,,71551,14625,,,,284626,,,,,60409,52468,,,,,,,,,,,374943,,,,,,,652174,,2715337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
