CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Urbanisation,Latest available,,,,,,,,,URBAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Urban population, % total",,,,,,,,URBNP_XPOP,26.282,56.409,70.129,85.633,43.274,,24.19,91.604,62.812,41.779,89.289,65.919,54.355,82.801,88.719,33.516,31.554,76.277,97.818,44.124,43.514,100,37.898,68.107,39.616,57.187,85.433,,76.887,73.626,29.024,11.761,20.514,53.819,81.65,64.84,,39.759,22.341,89.356,54.41,76.161,28.193,64.957,,75.915,53.479,58.656,76.97,67.019,73.019,60.715,41.976,87.502,77.262,69.256,78.061,63.516,43.069,66.255,39.756,22.193,67.622,19.028,53.354,84.086,79.289,86.92,59.015,53.468,75.094,53.392,,77.678,35.58,51.115,36.68,48.55,28.459,57.436,,54.137,100,70.771,94.042,32.366,53.003,72.855,69.361,62.952,92.076,68.821,54.556,93.021,83.447,53.29,25.197,44.173,98.326,35.585,37.551,67.421,87.67,26.789,49.308,78.359,14.305,66.522,89.872,100,34.468,16.102,74.01,44.494,39.143,95.277,72.424,59.255,39.814,78.971,22.378,100,71.222,63.832,,59.699,31.934,33.551,45.678,,18.243,89.91,,86.251,58.459,18.469,46.942,,80.208,77.178,38.303,86.452,75.026,66.292,12.985,59.416,78.285,44.488,60.568,62.908,99.159,82.36,44.925,54.393,73.924,27.841,31.96,18.477,50.2,19.26,94.166,,82.926,43.393,55.455,53.559,39.578,100,53.757,49.695,21.876,39.078,64.298,79.355,18.32,33.623,66.085,21.315,85.665,73.844,57.255,26.692,49.174,57.029,32.131,39.469,,23.632,8.55,66.645,72.891,49.688,91.847,58.782,15.766,69.482,85.266,82.345,30.901,81.447,95.152,36.278,25.817,88.941,32.951,34.027,40.472,,,,,86.045,,,93.636,52.138,,,95.203,,,79.518,,87.264,,,,,,,,,,,,,,,,,,41.743,,34.735,,94.437,,,,89.272,,,69.663,,,80.546,,,80.042,55.976,,,,,,,34.318,53.469,,,
,,"Population in mega cities, million",,,,,,,,MGPOP_NB,4436255,,2559445,,6492631,,,17894292,1048641,,13867796,1743284,2317140,,,22463974,,1905252,2028657,,,,,5039912,,,81213541,,,1221933,2565194,,1684308,5768541,16157226,,,,1212075,6471801,316153747,20259405,,1826886,,1170188,4707564,,2146128,,1302883,2856046,18945982,1254808,,,2872818,4363083,23113442,1096531,,,,3168043,,1169903,14981623,,,1149575,7822685,4723348,,3059914,,2846890,1885989,,,2375913,,1100588,7259569,1717321,,183378086,25637976,20406469,9257104,1154896,4649577,10758861,,82953769,1147703,1510486,4836060,,2680322,,,,2178834,,1223881,1126013,,,,,2486592,,6629176,,2386064,,,,,44910177,,,1333617,,,7670806,1173989,6859430,,,1141733,1083573,,1328793,,1057564,27277591,,,,40234014,,,1637866,,2307329,9722071,14361406,1718208,4164951,,23129899,,1871518,28986915,1222571,,,,,,,14226609,3392848,1180795,,,5517102,,,,2013926,19999485,11339500,,4999787,,,1463748,1233760,8884128,,10750017,,,,,,,1978066,28927418,,,,1862764,5371282,4673386,18409907,4838145,144192509,1697731,2241461,,8965891,12719621,2833199,2078426,,,,,,,,2466219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Population in mega cities, % of total population",,,,,,,,MGPOP_XPOP,14.182,,6.41,,29.329,,,42.806,35.142,,59.035,20.426,24.294,,,14.172,,20.119,18.072,,,,,46.461,,,40.198,,,16.91,14.726,,10.931,25.28,45.462,,,,9.175,36.414,23.174,41.405,,40.076,,23.699,22.627,,19.062,,12.396,11.412,27.315,22.25,,,27.285,27.299,27.718,17.177,,,,3.283,,21.413,22.63,,,25.523,9.671,17.863,,27.925,,17.95,15.659,,,22.711,,13.323,100,17.414,,14.469,10.141,26.005,27.006,25.037,56.597,17.541,,65.25,17.371,8.737,10.618,,77.035,,,,48.308,,27.835,18.006,,,,,10.549,,21.96,,15.132,,,,,36.277,,,46.283,,,22.903,4.435,12.769,,,4.06,6.429,,29.465,,5.706,15.28,,,,21.733,,,41.718,,33.355,31.597,14.348,4.522,40.058,,45.871,,9.399,20.155,10.104,,,,,,,48.44,23.321,16.562,,,100,,,,18.638,37.035,24.436,,12.898,,,15.106,15.064,38.128,,15.992,,,,,,,17.988,38.144,,,,4.795,11.841,49.477,28.538,9.532,45.222,49.66,7.291,,29.062,14.019,11.347,13.837,,,,,,,,69.502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1,,,,,,,,,22.565,,,
,,"Population in the largest city, % of urban population",,,,,,,,LGCTPOP_XURP,53.718,,9.272,,55.698,,,39.114,56.168,,21.57,31.009,44.175,,31.16,31.954,,26.321,18.39,,15.266,,,26.837,21.514,,12.031,,,22.84,49.948,57.127,53.291,23.396,20.242,,,41.913,40.897,40.863,3.076,25.317,,60.951,,31.487,42.552,27.676,24.835,,16.824,18.903,38.063,25.262,76.042,,34.944,26.3,51.06,26.232,,54.185,43.954,17.743,,25.355,20.508,46.807,44.095,47.823,5.843,17.233,,35.987,,35.458,42.99,55.96,,39.945,,24.705,100,24.752,,6.031,7.687,14.78,27.347,39.595,47.137,8.872,39.734,31.908,21.168,16.306,33.002,,76.164,41.923,36.282,46.98,54.462,,56.152,23.067,,26.431,,100,30.442,31.856,29.453,,38.565,,,39.86,,21.465,,,64.159,,,17.753,14.205,26.233,33.557,,22.064,7.178,,34.299,26.757,31.629,15.156,,23.429,28.303,22.605,,18.867,62.874,34.864,55.581,40.223,28.554,7.435,43.787,30.325,23.679,44.204,17.309,11.237,37.145,,,,,,,24.899,53.715,29.636,,40.221,100,13.895,,,45.583,26.142,16.385,18.665,38.373,,,17.505,20.469,26.2,35.693,27.604,41.501,,34.019,,,,27.124,25.243,27.762,,,30.885,9.166,27.424,19.124,30.766,7.205,52.163,20.389,,10.764,23.671,32.909,34.059,,,,,,,,73.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.767,,,17.823,,,,,,,,,16.401,,,
,,"Population density, inhabitant per km2",,metadata/POPDNS_XURP.html,,,,,,POPDNS_XURP,,,,,,,,15.458,,,3.034,101.372,,,,,,,369.593,,,,,,,,23.426,,,,,,,,3.577,,,,,23.424,145.186,41.745,,,,93.104,,,,,133.445,,,130.392,,,,,,,,,29.09,,,16.149,117.212,,,,226.408,,,86.245,,,,,,,,,,105.805,3.155,385.55,132.298,,,65.593,370.921,203.815,,335.877,,,,,,,,31.65,,,,,,48.442,212.239,,,,,,,,,,,60.942,,,,,,,,,,,,407.282,,16.846,,,,,13.337,,,,,,,,,,121.649,112.97,,502.832,,,8.409,,,,,,,,14.368,,,,,,110.451,101.708,,,43.59,91.837,,,,,21.675,195.566,,,,,,,,,,,97.922,,,,,,,261.278,,32.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.924,,,,,,,,,53.791,,,
,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Urban population, % total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.832,,,,,,,,,,,,,,,,,,,75.026,,,,,,,,,,,,,,,,,,,,,,55.455,,,,,,21.876,39.078,,,18.32,33.623,66.085,21.315,,,57.255,26.692,49.174,,32.131,39.469,,23.632,8.55,66.645,,49.688,91.847,58.782,15.766,69.482,85.266,,30.901,,95.152,36.278,,88.941,32.951,34.027,40.472,,,,,,,,,52.138,,,95.203,,,79.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Population in mega cities, million",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1180795,,,,,,,2013926,,,,4999787,,,,,8884128,,10750017,,,,,,,1978066,,,,,1862764,5371282,4673386,,4838145,,1697731,2241461,,8965891,12719621,2833199,2078426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Population in mega cities, % of total population",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.562,,,,,,,18.638,,,,12.898,,,,,38.128,,15.992,,,,,,,17.988,,,,,4.795,11.841,49.477,,9.532,,49.66,7.291,,29.062,14.019,11.347,13.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
