CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
">>>Short-cycle tertiary education (ISCED2011 level 5), science and engineering",Latest available,,,,,,,,,VHETB_SCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Short-cycle tertiary education (ISCED2011 level 5), science, number",,,,,,,,VHETB_SCI_NB,,,,,,,,11659,,,5787,1053,,,,,,,0,,,,,,,,71,,,61,,,,,6051,,,,,2346,0,6651,,,,327,,734,,89,0,,,435,,,,,,,,,192,,,0,6051,,,,0,,,1644,,,,,,,,,,869,3,0,12203,,,623,0,167,,0,,,,,,,,195,,,,,,112,10,,,,,,,147,,,,365,,,,,,,,,,,,33,,2082,,,,,144,,,,,,,,,,0,0,,4549,,6,28419,,,,,,,,7905,,,,,,9,129,,,,8957,,,,,734,21,,,,1,,,,,,,15926,,,,,,,5955,,51166,,,,,,,,,,,,,,,,,,,,,,,,,,,901,,,,,,,,21383,,,36361,37095,21591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Short-cycle tertiary education (ISCED2011 level 5), engineering, number",,,,,,,,VHETB_ENG_NB,,,,,,,,5719,,,4020,5861,,,,,,,0,,,,,,,,8,,,636,,,,,11219,,,,,5140,0,16023,,,,,,1420,,41,0,,,1059,,,,,,,,,392,,,0,36988,,,,0,,,5242,,,,,,,,,,329,0,0,37237,,,390,0,326,,41669,,,,,,,,222,,,,,,2341,1,,,,,,,103,,,,18412,,,,,,,,,,,,48,,537,,,,,995,,,,,,,,,,0,1,,35784,,10,61132,,,,,,,,7229,,,,,,20,314,,,,20141,,,,,1290,0,,,,46,,,,,,,31705,,,,,,,4479,,49519,,,,,,,,,,,,,,,,,,,,,,,,,,,2664,,,,,,,,95453,,,113679,115099,95931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Women short-cycle tertiary education (ISCED2011 level 5), science, number",,,,,,,,WVHETB_SCI_NB,,,,,,,,5657,,,1272,115,,,,,,,0,,,,,,,,10,,,23,,,,,1707,,,,,358,0,2230,,,,90,,66,,4,0,,,34,,,,,,,,,37,,,0,2015,,,,0,,,663,,,,,,,,,,99,0,0,7122,,,203,0,49,,0,,,,,,,,32,,,,,,3,0,,,,,,,25,,,,114,,,,,,,,,,,,2,,549,,,,,17,,,,,,,,,,0,0,,1591,,3,0,,,,,,,,0,,,,,,0,16,,,,1095,,,,,198,1,,,,1,,,,,,,5425,,,,,,,2411,,14200,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,5042,,,9458,9524,5075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Women short-cycle tertiary education (ISCED2011 level 5),engineering, number",,,,,,,,WVHETB_ENG_NB,,,,,,,,167,,,266,399,,,,,,,0,,,,,,,,0,,,211,,,,,1047,,,,,149,0,3253,,,,,,292,,9,0,,,268,,,,,,,,,89,,,0,4794,,,,0,,,1262,,,,,,,,,,97,0,0,21729,,,46,0,19,,6400,,,,,,,,7,,,,,,446,0,,,,,,,8,,,,3706,,,,,,,,,,,,3,,34,,,,,59,,,,,,,,,,0,1,,4168,,10,0,,,,,,,,44,,,,,,11,7,,,,1947,,,,,234,0,,,,11,,,,,,,2191,,,,,,,362,,4761,,,,,,,,,,,,,,,,,,,,,,,,,,,538,,,,,,,,13493,,,17401,17693,13550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Short-cycle tertiary education (ISCED2011 level 5), science, number",,,,,,,,,,,,,,,,,,,5787,1053,,,,,,,,,,,,,,,71,,,,,,,,,,,,,2346,,6651,,,,327,,,,,0,,,435,,,,,,,,,,,,,6051,,,,0,,,,,,,,,,,,,869,,,,,,623,,167,,0,,,,,,,,195,,,,,,,10,,,,,,,,,,,365,,,,,,,,,,,,33,,2082,,,,,144,,,,,,,,,,0,,,4549,,,28419,,,,,,,,7905,,,,,,9,129,,,,8957,,,,,734,21,,,,,,,,,,,15926,,,,,,,5955,,51166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Short-cycle tertiary education (ISCED2011 level 5), engineering, number",,,,,,,,,,,,,,,,,,,4020,5861,,,,,,,,,,,,,,,8,,,,,,,,,,,,,5140,,,,,,,,,,,0,,,1059,,,,,,,,,,,,,36988,,,,0,,,,,,,,,,,,,329,,,,,,390,,326,,,,,,,,,,222,,,,,,,1,,,,,,,,,,,18412,,,,,,,,,,,,48,,537,,,,,995,,,,,,,,,,0,,,35784,,,61132,,,,,,,,,,,,,,20,314,,,,20141,,,,,1290,0,,,,,,,,,,,31705,,,,,,,4479,,49519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Women short-cycle tertiary education (ISCED2011 level 5), science, number",,,,,,,,,,,,,,,,,,,1272,115,,,,,,,,,,,,,,,10,,,,,,,,,,,,,358,,2230,,,,90,,,,,0,,,34,,,,,,,,,,,,,2015,,,,0,,,,,,,,,,,,,99,,,,,,203,,49,,0,,,,,,,,32,,,,,,,0,,,,,,,,,,,114,,,,,,,,,,,,2,,549,,,,,17,,,,,,,,,,0,,,1591,,,,,,,,,,,0,,,,,,0,16,,,,1095,,,,,198,1,,,,,,,,,,,5425,,,,,,,2411,,14200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Women short-cycle tertiary education (ISCED2011 level 5),engineering, number",,,,,,,,,,,,,,,,,,,266,399,,,,,,,,,,,,,,,0,,,,,,,,,,,,,149,,,,,,,,,,,0,,,268,,,,,,,,,,,,,4794,,,,0,,,,,,,,,,,,,97,,,,,,46,,19,,,,,,,,,,7,,,,,,,0,,,,,,,,,,,3706,,,,,,,,,,,,3,,34,,,,,59,,,,,,,,,,0,,,4168,,,,,,,,,,,,,,,,,11,7,,,,1947,,,,,234,0,,,,,,,,,,,2191,,,,,,,362,,4761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
