CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
">>>Short-cycle tertiary education (ISCED2011 level 5), all fields,",Latest available,,,,,,,,,VHE_TERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Short-cycle tertiary education (ISCED2011 level 5), all fields, number",,metadata/VHETB_NB.html,,,,,,VHETB_NB,,300,,4,,,224,124509,7736,,118173,27392,14673,,765,27489,1030,46154,2480,928,,113,,,,396,3428,,617,4151,932,1028,,5943,127182,,211,16,196,62731,4584977,84137,617,,,2815,,11504,,2198,387,,,8625,201,,,,27,6960,,1165,3886,33232,,25,218389,,2539,969,233,26463,,20184,,1968,,,1463,,,1661,,9386,89,0,208673,204871,28397,7738,0,1235,2678,302326,4935,,21550,,,7635,23893,3525,4203,5179,4251,,,12698,285,,8543,,93520,,,537,,317,2163,41918,,,1387,,,22388,,12094,2699,,,1500,,19572,536,731,,,3192,3087,,,,2944,,2464,84175,57651,2478,55,512,186930,7167,146,439015,2095,,,,352,,,34437,,10751,107,4868,,877,2194,,,59074,120574,3969,7292,,13,8229,1981,10435,9465,118679,215,,,,,1106,49419,287830,,,,10529,96783,4493,69422,,1004346,617,,,,156828,,,,,,,,,,,,,,,,,,,,,,23420,,,,,,,,596187,,,784953,796457,599647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Women short-cycle tertiary education (ISCED2011 level 5), number",,metadata/WVHETB_NB.html,,,,,,WVHETB_NB,,136,,2,,,198,84986,5532,,69056,14834,9833,,521,,691,27177,2203,551,,72,,,,,2463,,357,2457,474,261,,,72975,,129,6,38,37515,2366141,43975,265,,,1843,,6482,,1106,253,,,4362,61,,,,26,3784,,,2708,13671,,5,114897,,1303,397,155,10636,,10356,,1165,,,1147,,,1280,,6504,43,0,121780,48006,6111,4093,0,279,831,187840,4723,,8428,,,5522,11086,2343,2365,3190,2087,,,7897,181,,4007,,50451,,,209,,40,1167,16945,,,1048,,,9153,,7783,1515,,,791,,10217,376,232,,,706,1973,,,,1781,,1736,50707,31128,2112,36,138,105072,4051,123,0,939,,,,154,,,1992,,6026,98,1984,,610,986,,,36614,61846,2027,3491,,5,4621,1257,5201,5616,55419,183,,,,,647,29061,141920,,,,3580,53508,3167,44629,,613289,436,,,,43351,,,,,,,,,,,,,,,,,,,,,,14317,,,,,,,,350026,,,467573,474055,352253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Women short-cycle tertiary education (ISCED2011 level 5), % of total",,metadata/WVHETB_XT.html,,,,,,WVHETB_XT,,45.333,,50,,,88.393,,71.51,,,,67.014,,68.105,,67.087,58.883,,59.375,,63.717,,,,,50.753,,57.861,59.191,50.858,25.389,,,,,61.137,37.5,19.388,,,47.674,42.95,,,65.441,,56.346,,50.318,,,,,44.203,,,,96.296,54.368,,,,41.138,,,,,51.319,40.97,,40.192,,,,59.197,,,78.401,,,77.062,,,,,58.359,23.432,21.52,,,,31.031,,59.067,,39.109,,,72.325,46.399,64.364,56.269,61.595,49.094,,,62.191,,,46.904,,53.947,,,38.92,,12.618,53.953,,,,75.559,,,40.884,,64.354,56.132,,,,,,70.149,31.737,,,,63.913,,,,60.496,,70.455,60.24,53.994,,,26.953,,56.523,,,44.821,,,,43.75,,,26.148,,56.051,91.589,40.756,,,,,,,,51.071,47.874,,38.462,,,49.842,59.334,46.697,85.116,,,,,58.499,58.805,,,,,34.001,55.287,70.487,,,,70.665,,,,27.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Short-cycle tertiary education (ISCED2011 level 5), all fields, number",,,,,,,,,,,,,,,,,,,118173,27392,,,,,,,,,,,,,,,3428,,,,,,,,,,,,,62731,,84137,,,,2815,,,,,387,,,8625,,,,,,,,,,,,,218389,,,,233,,,,,,,,,,,,,9386,,,,,,7738,,1235,,302326,,,,,,,,3525,,,,,,,285,,,,,,,,,,,41918,,,,,,,,,,,,1500,,19572,,,,,3192,,,,,,,,,,2478,,,186930,,,439015,,,,,,,,34437,,,,,,877,2194,,,,120574,,,,,8229,1981,,,,,,,,,,,287830,,,,,,,69422,,1004346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Women short-cycle tertiary education (ISCED2011 level 5), number",,,,,,,,,,,,,,,,,,,69056,14834,,,,,,,,,,,,,,,2463,,,,,,,,,,,,,37515,,43975,,,,1843,,,,,253,,,4362,,,,,,,,,,,,,114897,,,,155,,,,,,,,,,,,,6504,,,,,,4093,,279,,187840,,,,,,,,2343,,,,,,,181,,,,,,,,,,,16945,,,,,,,,,,,,791,,10217,,,,,706,,,,,,,,,,2112,,,105072,,,,,,,,,,,1992,,,,,,610,986,,,,61846,,,,,4621,1257,,,,,,,,,,,141920,,,,,,,44629,,613289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Women short-cycle tertiary education (ISCED2011 level 5), % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Short-cycle tertiary education (ISCED2011 level 5), all fields, number",,,,,,,,,,,,,,,,124509,,,103315,27358,,,,,,,2480,,,,,,,,3802,,,,,,,,127182,,,,,57735,,116391,,,,2523,,,,,416,,,8251,,,,,,,,,,,,,213708,,,,211,,,,,,,,,,,,,9752,89,,,,,14687,,1034,,300637,,,,,,,,4194,,,,,,,120,,,,,,,,,,,38011,,,,,,,,,,,,1381,,18490,,,,,3089,,,,,,,,,,3267,,,188887,,,486332,,,,,,,,153119,,,,,,792,2349,,,59074,112835,,,,,9049,2298,,,,,,,,,,,233038,,,,,,,128640,,1008016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
